ID:type,TR:NoLif,TR:Activin,TR:Fgf4,TR:Jaki,TR:Bmp4ri,TR:Gsk3i,TR:Fgfri,TR:Meki,TR:Igfri,TR:Pi3ki,DA:ALL,DV:Smad2,DV:Gsk3,DV:Mek,DV:p38,DV:Erk,DV:Src,DV:mTor,DV:Stat3,DV:Pi3kp85,DV:cJun,DV:Akt
c,0,0,0,0,0,0,0,0,0,0,0,48,235,229,44,49,41,220,178,35,28,127
c,0,0,0,0,0,0,0,0,0,0,0,49,221,204,44,46,39,177,166,31,28,131
c,0,0,0,0,0,0,0,0,0,0,0,49,278,269,43,48,40,213,176,35,27,227
c,0,0,0,0,0,0,0,0,0,0,0,47,286,166,41,45,42,210,166,34,32,172
c,0,0,0,0,0,0,0,0,0,0,0,53,273,199,41,49,36,219,168,35,29,237
c,0,0,0,0,0,0,0,0,0,0,0,51,279,350,46,48,40,194,158,35,29,148
c,0,0,0,0,0,0,0,0,0,0,0,51,315,314,41,50,40,233,165,35,30,182
c,0,0,0,0,0,0,0,0,0,0,0,48,186,220,42,46,38,204,158,34,29,56
c,0,0,0,0,0,0,0,0,0,0,0,49,225,264,40,45,37,208,169,33,28,96
t,0,0,0,1,0,0,0,0,0,0,0,48,146,264,39,48,38,173,151,34,27,83
t,0,0,0,0,1,0,0,0,0,0,0,48,263,220,41,49,36,234,159,34,30,133
t,0,0,0,0,0,1,0,0,0,0,0,46,163,227,41,48,39,201,168,34,29,86
t,1,0,0,0,0,0,0,0,0,0,0,51,224,179,40,45,36,207,146,30,27,163
t,1,0,0,1,0,0,0,0,0,0,0,69,156,220,50,76,63,167,141,38,39,114
t,1,0,0,0,1,0,0,0,0,0,0,44,252,199,39,43,32,222,151,30,25,135
t,1,0,0,0,0,1,0,0,0,0,0,48,164,183,37,44,37,181,141,32,28,79
t,0,1,0,0,0,0,0,0,0,0,0,61,276,198,37,42,33,224,157,31,25,158
t,0,1,0,1,0,0,0,0,0,0,0,62,142,249,37,44,37,156,142,33,24,126
t,0,1,0,0,1,0,0,0,0,0,0,47,262,195,38,42,31,213,148,33,23,154
t,0,1,0,0,0,1,0,0,0,0,0,62,150,202,35,38,37,179,147,30,24,80
t,0,0,1,0,0,0,0,0,0,0,0,48,220,293,42,50,38,210,162,34,29,106
t,0,0,1,1,0,0,0,0,0,0,0,47,115,258,42,51,41,159,141,34,28,67
t,0,0,1,0,1,0,0,0,0,0,0,46,217,230,41,44,35,218,156,32,28,94
t,0,0,1,0,0,1,0,0,0,0,0,47,173,312,40,45,34,195,147,33,32,66
t,0,0,0,1,0,0,1,0,0,0,0,47,115,104,38,43,36,130,140,32,22,91
t,0,0,0,0,1,0,1,0,0,0,0,42,226,99,42,40,36,192,147,32,24,114
t,0,0,0,0,0,1,1,0,0,0,0,51,140,111,41,47,36,162,170,37,29,89
t,0,0,0,1,0,0,0,1,0,0,0,45,173,1682,33,40,36,153,133,32,23,137
t,0,0,0,0,1,0,0,1,0,0,0,42,279,1842,38,39,30,201,141,32,22,227
t,0,0,0,0,0,1,0,1,0,0,0,50,178,2652,37,38,35,169,153,31,22,121
t,0,0,0,0,0,0,0,0,1,0,0,47,206,237,42,45,41,149,170,36,28,65
t,0,0,0,0,0,0,0,0,0,1,0,48,84,232,40,47,36,111,164,30,28,41
t,0,0,0,0,0,0,1,0,0,0,0,59,238,131,48,63,45,243,179,39,33,268
t,0,0,0,0,0,0,0,1,0,0,0,49,242,2298,39,46,35,223,163,32,29,144
t,1,0,0,0,0,0,0,0,1,0,0,52,200,233,39,48,39,145,153,32,28,78
t,1,0,0,0,0,0,0,0,0,1,0,50,97,250,38,45,37,110,140,33,28,39
t,1,0,0,0,0,0,1,0,0,0,0,45,212,109,37,41,31,179,144,31,27,109
t,1,0,0,0,0,0,0,1,0,0,0,49,293,2167,39,41,37,204,144,33,29,173
t,0,1,0,0,0,0,0,0,1,0,0,59,222,283,36,43,35,151,152,32,23,81
t,0,1,0,0,0,0,0,0,0,1,0,62,86,216,37,42,34,112,145,31,26,42
t,0,1,0,0,0,0,1,0,0,0,0,57,227,102,34,38,34,190,146,31,24,104
t,0,1,0,0,0,0,0,1,0,0,0,56,288,2421,36,39,35,221,143,32,25,155
t,0,0,1,0,0,0,0,0,1,0,0,48,188,405,36,46,38,155,161,30,27,69
t,0,0,1,0,0,0,0,0,0,1,0,47,79,316,40,49,37,128,151,31,30,39
t,0,0,1,0,0,0,1,0,0,0,0,48,217,111,38,47,32,192,161,35,25,109
t,0,0,1,0,0,0,0,1,0,0,0,46,247,4937,40,44,34,203,151,34,27,126
t,0,0,0,0,0,0,1,0,1,0,0,46,214,153,36,40,36,140,150,31,23,111
t,0,0,0,0,0,0,1,0,0,1,0,48,86,146,37,44,35,105,147,30,28,40
t,0,0,0,0,0,0,0,1,1,0,0,55,241,2329,38,49,42,161,163,36,27,204
t,0,0,0,0,0,0,0,1,0,1,0,48,77,3964,37,45,33,87,155,33,23,42
t,1,0,1,0,0,0,0,0,0,0,0,49,235,487,43,52,37,208,142,35,28,95
t,1,1,0,0,0,0,0,0,0,0,0,68,233,242,39,43,38,214,140,33,26,150
t,0,1,1,0,0,0,0,0,0,0,0,61,203,498,41,46,35,197,150,32,25,99
t,0,0,0,0,1,1,0,0,0,0,0,44,161,289,35,44,34,177,154,34,25,93
t,0,0,0,1,0,0,0,0,1,0,0,48,109,224,39,42,41,120,148,32,27,49
t,0,0,0,0,1,0,0,0,1,0,0,43,151,235,41,46,32,141,162,33,24,48
t,0,0,0,0,0,1,0,0,1,0,0,47,115,237,37,42,33,133,145,31,26,44
t,0,0,0,1,0,0,0,0,0,1,0,47,49,225,40,49,38,83,136,31,24,41
t,0,0,0,0,1,0,0,0,0,1,0,44,74,220,37,44,32,105,148,32,25,36
t,0,0,0,0,0,1,0,0,0,1,0,48,70,229,38,40,34,106,147,30,25,38
t,0,0,0,1,1,0,0,0,0,0,0,44,122,264,36,42,33,154,130,33,23,57
t,0,0,0,1,0,1,0,0,0,0,0,55,106,357,37,49,41,175,131,34,25,62
