ID:type,TR:NoLif,TR:Activin,TR:Fgf4,TR:Jaki,TR:Bmp4ri,TR:Gsk3i,TR:Fgfri,TR:Meki,TR:Igfri,TR:Pi3ki,DA:ALL,DV:Gsk3,DV:Mek,DV:mTor,DV:Akt
blank,0,0,0,0,0,0,0,0,0,0,0,125,41,12,18
blank,0,0,0,0,0,0,0,0,0,0,0,89,35,28,17
blank,0,0,0,0,0,0,0,0,0,0,0,93,35,29,17
blank,0,0,0,0,0,0,0,0,0,0,0,95,37,27,17
c,0,0,0,0,0,0,0,0,0,0,0,1425,102,361,46
c,0,0,0,0,0,0,0,0,0,0,0,1462,120,330,45
t,0,0,0,1,0,0,0,0,0,0,0,576,106,250,42
t,0,0,0,0,1,0,0,0,0,0,0,1371,100,360,45
t,0,0,0,0,0,1,0,0,0,0,0,642,93,303,39
t,1,0,0,0,0,0,0,0,0,0,0,1060,92,331,46
t,1,0,0,1,0,0,0,0,0,0,0,483,90,254,44
t,1,0,0,0,1,0,0,0,0,0,0,850,90,359,51
t,1,0,0,0,0,1,0,0,0,0,0,604,97,304,51
t,0,1,0,0,0,0,0,0,0,0,0,1069,99,374,46
t,0,1,0,1,0,0,0,0,0,0,0,527,97,300,42
t,0,1,0,0,1,0,0,0,0,0,0,879,92,390,46
t,0,1,0,0,0,1,0,0,0,0,0,683,110,400,44
t,0,0,1,0,0,0,0,0,0,0,0,1097,119,344,44
t,0,0,1,1,0,0,0,0,0,0,0,511,123,250,46
t,0,0,1,0,1,0,0,0,0,0,0,945,107,343,45
t,0,0,1,0,0,1,0,0,0,0,0,599,122,308,45
t,0,0,0,1,0,0,1,0,0,0,0,438,78,228,45
t,0,0,0,0,1,0,1,0,0,0,0,845,76,317,50
t,0,0,0,0,0,1,1,0,0,0,0,509,80,266,49
t,0,0,0,1,0,0,0,1,0,0,0,656,298,283,53
t,0,0,0,0,1,0,0,1,0,0,0,1101,379,355,55
t,0,0,0,0,0,1,0,1,0,0,0,773,367,301,57
t,0,0,0,0,0,0,0,0,1,0,0,871,92,232,47
t,0,0,0,0,0,0,0,0,0,1,0,233,82,174,44
t,0,0,0,0,0,0,1,0,0,0,0,797,75,273,49
t,0,0,0,0,0,0,0,1,0,0,0,798,229,285,49
t,1,0,0,0,0,0,0,0,1,0,0,684,88,227,52
t,1,0,0,0,0,0,0,0,0,1,0,227,78,170,46
t,1,0,0,0,0,0,1,0,0,0,0,633,89,253,53
t,1,0,0,0,0,0,0,1,0,0,0,625,177,243,53
t,0,1,0,0,0,0,0,0,1,0,0,494,90,188,50
t,0,1,0,0,0,0,0,0,0,1,0,117,59,62,32
t,0,1,0,0,0,0,1,0,0,0,0,598,78,256,50
t,0,1,0,0,0,0,0,1,0,0,0,799,259,281,57
t,0,0,1,0,0,0,0,0,1,0,0,1056,125,250,42
t,0,0,1,0,0,0,0,0,0,1,0,371,157,203,49
t,0,0,1,0,0,0,1,0,0,0,0,989,83,302,42
t,0,0,1,0,0,0,0,1,0,0,0,1156,790,364,50
t,0,0,0,0,0,0,1,0,1,0,0,678,82,226,47
t,0,0,0,0,0,0,1,0,0,1,0,326,95,195,46
t,0,0,0,0,0,0,0,1,1,0,0,510,223,209,51
t,0,0,0,0,0,0,0,1,0,1,0,264,234,158,46
t,1,0,1,0,0,0,0,0,0,0,0,899,113,296,59
t,1,1,0,0,0,0,0,0,0,0,0,1511,84,359,52
t,0,1,1,0,0,0,0,0,0,0,0,1079,123,321,56
t,0,0,0,0,1,1,0,0,0,0,0,865,105,280,54
t,0,0,0,1,0,0,0,0,1,0,0,650,133,212,43
t,0,0,0,0,1,0,0,0,1,0,0,1054,103,277,43
t,0,0,0,0,0,1,0,0,1,0,0,702,113,238,43
t,0,0,0,1,0,0,0,0,0,1,0,251,93,169,46
t,0,0,0,0,1,0,0,0,0,1,0,293,89,158,44
t,0,0,0,0,0,1,0,0,0,1,0,276,114,180,48
t,0,0,0,1,1,0,0,0,0,0,0,412,93,201,50
t,0,0,0,1,0,1,0,0,0,0,0,388,97,196,47
