ID:type,TR:NoLif,TR:Activin,TR:Fgf4,TR:Jaki,TR:Bmp4ri,TR:Gsk3i,TR:Fgfri,TR:Meki,TR:Igfri,TR:Pi3ki,DA:ALL,DV:Smad2,DV:Gsk3,DV:Mek,DV:p38,DV:Erk,DV:Src,DV:mTor,DV:Stat3,DV:Pi3kp85,DV:cJun,DV:Akt
c,0,0,0,0,0,0,0,0,0,0,0,47,299,6170,34,50,38,182,122,32,22,190
c,0,0,0,0,0,0,0,0,0,0,0,45,222,6448,31,44,35,151,117,31,25,121
c,0,0,0,0,0,0,0,0,0,0,0,50,304,7217,35,48,37,178,128,29,22,196
c,0,0,0,0,0,0,0,0,0,0,0,40,298,6947,32,46,28,160,119,27,22,169
c,0,0,0,0,0,0,0,0,0,0,0,44,372,7822,32,57,34,184,123,30,25,320
c,0,0,0,0,0,0,0,0,0,0,0,44,334,7420,31,51,35,181,129,33,22,478
c,0,0,0,0,0,0,0,0,0,0,0,46,372,7852,36,51,35,200,136,33,21,510
c,0,0,0,0,0,0,0,0,0,0,0,47,292,5965,36,46,36,190,133,29,22,119
c,0,0,0,0,0,0,0,0,0,0,0,43,318,6665,37,46,37,186,134,28,22,167
t,0,0,0,1,0,0,0,0,0,0,0,47,241,6605,35,53,37,170,103,30,23,113
t,0,0,0,0,1,0,0,0,0,0,0,46,293,7607,33,50,32,187,117,29,21,154
t,0,0,0,0,0,1,0,0,0,0,0,50,225,7604,35,54,36,173,117,33,24,104
t,1,0,0,0,0,0,0,0,0,0,0,48,316,7471,35,53,36,187,114,33,24,252
t,1,0,0,1,0,0,0,0,0,0,0,51,220,8972,37,52,37,160,109,32,24,151
t,1,0,0,0,1,0,0,0,0,0,0,44,293,8356,34,54,31,176,114,31,21,229
t,1,0,0,0,0,1,0,0,0,0,0,48,231,8692,38,52,33,170,110,34,22,154
t,0,1,0,0,0,0,0,0,0,0,0,56,357,8410,38,54,38,193,122,34,25,352
t,0,1,0,1,0,0,0,0,0,0,0,51,291,8544,35,52,35,172,105,33,25,229
t,0,1,0,0,1,0,0,0,0,0,0,49,358,8813,37,53,33,187,119,33,22,326
t,0,1,0,0,0,1,0,0,0,0,0,50,269,8527,38,53,37,166,117,32,20,173
t,0,0,1,0,0,0,0,0,0,0,0,54,280,7246,38,56,41,178,121,34,29,113
t,0,0,1,1,0,0,0,0,0,0,0,46,201,8698,36,51,33,160,110,35,24,88
t,0,0,1,0,1,0,0,0,0,0,0,48,255,8860,35,52,33,186,123,34,24,128
t,0,0,1,0,0,1,0,0,0,0,0,62,205,8703,43,63,52,183,128,37,35,80
t,0,0,0,1,0,0,1,0,0,0,0,53,159,4319,41,45,42,137,112,36,26,99
t,0,0,0,0,1,0,1,0,0,0,0,49,251,5564,40,48,38,183,129,33,23,142
t,0,0,0,0,0,1,1,0,0,0,0,50,186,4835,38,44,35,169,129,33,23,79
t,0,0,0,1,0,0,0,1,0,0,0,58,236,9865,45,52,45,163,118,36,30,146
t,0,0,0,0,1,0,0,1,0,0,0,48,362,12224,36,40,36,180,119,34,22,212
t,0,0,0,0,0,1,0,1,0,0,0,50,250,13335,37,43,34,171,125,33,22,125
t,0,0,0,0,0,0,0,0,1,0,0,47,232,7045,35,50,33,143,130,32,25,72
t,0,0,0,0,0,0,0,0,0,1,0,43,137,8872,30,51,29,105,115,32,22,38
t,0,0,0,0,0,0,1,0,0,0,0,47,237,5209,36,42,32,157,122,32,24,121
t,0,0,0,0,0,0,0,1,0,0,0,46,261,12086,32,39,30,166,130,32,24,151
t,1,0,0,0,0,0,0,0,1,0,0,46,253,8856,34,49,37,138,118,32,22,102
t,1,0,0,0,0,0,0,0,0,1,0,45,192,9283,39,68,38,119,117,33,27,42
t,1,0,0,0,0,0,1,0,0,0,0,48,273,6036,35,46,35,163,122,34,23,137
t,1,0,0,0,0,0,0,1,0,0,0,54,360,12981,39,46,37,183,125,35,27,252
t,0,1,0,0,0,0,0,0,1,0,0,51,257,8481,38,56,37,139,137,35,25,113
t,0,1,0,0,0,0,0,0,0,1,0,52,155,10657,36,59,39,109,122,34,26,45
t,0,1,0,0,0,0,1,0,0,0,0,50,262,6087,35,47,30,157,131,32,24,149
t,0,1,0,0,0,0,0,1,0,0,0,50,309,10939,36,40,35,162,125,34,21,204
t,0,0,1,0,0,0,0,0,1,0,0,45,257,7936,32,53,30,137,133,29,22,83
t,0,0,1,0,0,0,0,0,0,1,0,41,129,8966,31,48,30,99,118,29,19,37
t,0,0,1,0,0,0,1,0,0,0,0,47,278,4517,38,42,33,173,124,34,25,122
t,0,0,1,0,0,0,0,1,0,0,0,49,338,9821,39,45,42,181,133,35,30,214
t,0,0,0,0,0,0,1,0,1,0,0,51,251,5107,36,49,40,140,142,32,23,126
t,0,0,0,0,0,0,1,0,0,1,0,50,117,5883,38,53,37,97,128,33,26,46
t,0,0,0,0,0,0,0,1,1,0,0,48,285,10680,40,45,37,136,131,33,25,211
t,0,0,0,0,0,0,0,1,0,1,0,48,131,12654,36,43,39,86,131,31,24,49
t,1,0,1,0,0,0,0,0,0,0,0,48,334,7865,34,48,37,179,119,32,24,304
t,1,1,0,0,0,0,0,0,0,0,0,52,329,7023,38,53,40,168,119,35,24,332
t,0,1,1,0,0,0,0,0,0,0,0,51,356,9499,37,59,35,187,132,35,22,239
t,0,0,0,0,1,1,0,0,0,0,0,44,224,6382,38,58,40,167,127,30,23,129
t,0,0,0,1,0,0,0,0,1,0,0,47,174,6702,33,39,31,131,118,30,22,67
t,0,0,0,0,1,0,0,0,1,0,0,47,229,6185,36,49,33,157,129,32,23,70
t,0,0,0,0,0,1,0,0,1,0,0,44,161,5946,34,45,31,138,128,30,22,50
t,0,0,0,1,0,0,0,0,0,1,0,45,78,6837,33,46,36,94,117,29,23,39
t,0,0,0,0,1,0,0,0,0,1,0,46,123,7190,34,51,35,105,130,30,22,41
t,0,0,0,0,0,1,0,0,0,1,0,48,96,8547,35,53,37,114,136,32,25,42
t,0,0,0,1,1,0,0,0,0,0,0,45,223,7439,32,46,33,178,116,31,22,113
t,0,0,0,1,0,1,0,0,0,0,0,48,140,7716,37,48,35,155,123,35,21,70
