ID:type,TR:NoLif,TR:Activin,TR:Fgf4,TR:Jaki,TR:Bmp4ri,TR:Gsk3i,TR:Fgfri,TR:Meki,TR:Igfri,TR:Pi3ki,DA:ALL,DV:Gsk3,DV:Mek,DV:mTor,DV:Akt
blank,0,0,0,0,0,0,0,0,0,0,0,1546,1659,497,72
blank,0,0,0,0,0,0,0,0,0,0,0,77,34,18,16
blank,0,0,0,0,0,0,0,0,0,0,0,79,32,21,16
blank,0,0,0,0,0,0,0,0,0,0,0,81,30,19,15
c,0,0,0,0,0,0,0,0,0,0,0,1725,1695,543,82
c,0,0,0,0,0,0,0,0,0,0,0,1962,1681,494,92
t,0,0,0,1,0,0,0,0,0,0,0,1094,1863,509,67
t,0,0,0,0,1,0,0,0,0,0,0,1491,1762,520,72
t,0,0,0,0,0,1,0,0,0,0,0,778,1683,559,62
t,1,0,0,0,0,0,0,0,0,0,0,1388,1399,498,76
t,1,0,0,1,0,0,0,0,0,0,0,1239,1691,477,61
t,1,0,0,0,1,0,0,0,0,0,0,1663,1787,602,64
t,1,0,0,0,0,1,0,0,0,0,0,1187,1976,540,57
t,0,1,0,0,0,0,0,0,0,0,0,1566,2005,601,63
t,0,1,0,1,0,0,0,0,0,0,0,850,1556,450,63
t,0,1,0,0,1,0,0,0,0,0,0,2057,2127,636,70
t,0,1,0,0,0,1,0,0,0,0,0,655,1547,483,60
t,0,0,1,0,0,0,0,0,0,0,0,1740,1518,566,70
t,0,0,1,1,0,0,0,0,0,0,0,1430,1860,456,72
t,0,0,1,0,1,0,0,0,0,0,0,1815,2146,557,71
t,0,0,1,0,0,1,0,0,0,0,0,645,1546,488,66
t,0,0,0,1,0,0,1,0,0,0,0,952,585,467,61
t,0,0,0,0,1,0,1,0,0,0,0,1688,749,515,77
t,0,0,0,0,0,1,1,0,0,0,0,1056,691,477,61
t,0,0,0,1,0,0,0,1,0,0,0,1337,2247,362,82
t,0,0,0,0,1,0,0,1,0,0,0,1336,2165,449,84
t,0,0,0,0,0,1,0,1,0,0,0,1308,3334,558,70
t,0,0,0,0,0,0,0,0,1,0,0,1182,1199,445,70
t,0,0,0,0,0,0,0,0,0,1,0,630,1766,310,65
t,0,0,0,0,0,0,1,0,0,0,0,1363,546,563,72
t,0,0,0,0,0,0,0,1,0,0,0,1855,2523,541,74
t,1,0,0,0,0,0,0,0,1,0,0,1043,1066,358,63
t,1,0,0,0,0,0,0,0,0,1,0,619,1756,299,56
t,1,0,0,0,0,0,1,0,0,0,0,1703,461,472,55
t,1,0,0,0,0,0,0,1,0,0,0,1796,2222,492,62
t,0,1,0,0,0,0,0,0,1,0,0,1073,1501,422,66
t,0,1,0,0,0,0,0,0,0,1,0,470,1742,275,56
t,0,1,0,0,0,0,1,0,0,0,0,1104,502,476,59
t,0,1,0,0,0,0,0,1,0,0,0,923,2288,468,64
t,0,0,1,0,0,0,0,0,1,0,0,822,906,325,71
t,0,0,1,0,0,0,0,0,0,1,0,454,1892,241,64
t,0,0,1,0,0,0,1,0,0,0,0,1404,302,468,58
t,0,0,1,0,0,0,0,1,0,0,0,1448,2059,503,62
t,0,0,0,0,0,0,1,0,1,0,0,790,454,280,61
t,0,0,0,0,0,0,1,0,0,1,0,609,656,268,49
t,0,0,0,0,0,0,0,1,1,0,0,943,1931,304,61
t,0,0,0,0,0,0,0,1,0,1,0,504,2581,207,49
t,1,0,1,0,0,0,0,0,0,0,0,1818,2104,432,76
t,1,1,0,0,0,0,0,0,0,0,0,1377,2814,432,78
t,0,1,1,0,0,0,0,0,0,0,0,2698,3686,432,94
t,0,0,0,0,1,1,0,0,0,0,0,1737,3162,523,66
t,0,0,0,1,0,0,0,0,1,0,0,936,1938,274,67
t,0,0,0,0,1,0,0,0,1,0,0,1638,1987,427,64
t,0,0,0,0,0,1,0,0,1,0,0,670,2294,333,63
t,0,0,0,1,0,0,0,0,0,1,0,428,2398,255,59
t,0,0,0,0,1,0,0,0,0,1,0,692,2385,287,59
t,0,0,0,0,0,1,0,0,0,1,0,513,2903,293,60
t,0,0,0,1,1,0,0,0,0,0,0,1330,4076,664,54
t,0,0,0,1,0,1,0,0,0,0,0,875,2750,405,51
