"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"1","c","0","0","0","0","0","0","0","0","0","0","0","0.9203655"," 0.9304740","1.0543131","0.8306686","0.59744015","1.08977506","1.1671697"
"2","c","0","0","0","0","0","0","0","0","0","0","0","0.8655352"," 0.8288939","0.8482428","0.8568314","0.53227069","1.31196144","0.7420005"
"3","c","0","0","0","0","0","0","0","0","0","0","0","1.0887728"," 1.0930023","1.0207668","1.4847384","0.85552841","1.24733507","1.0326018"
"4","c","0","0","0","0","0","0","0","0","0","0","0","1.1201044"," 0.6744921","1.0063898","1.1250000","1.08534417","1.02698553","0.8469147"
"5","c","0","0","0","0","0","0","0","0","0","0","0","1.0691906"," 0.8085779","1.0495208","1.5501453","0.80751629","1.05764197","1.1460852"
"6","c","0","0","0","0","0","0","0","0","0","0","0","1.0926893"," 1.4221219","0.9297125","0.9680233","0.84776195","1.34146273","1.0853150"
"7","c","0","0","0","0","0","0","0","0","0","0","0","1.2336815"," 1.2758465","1.1166134","1.1904070","0.74919955","1.10220770","0.8354722"
"8","c","0","0","0","0","0","0","0","0","0","0","0","0.7284595"," 0.8939052","0.9776358","0.3662791",NA,NA,NA
"9","c","0","0","0","0","0","0","0","0","0","0","0","0.8812010"," 1.0726862","0.9968051","0.6279070",NA,NA,NA
"10","t","1","0","0","0","0","0","0","0","0","0","0","1.0809399"," 0.8045147","1.0734824","1.0334302","0.28533676","0.81811910","4.3831158"
"11","t","1","1","0","0","0","0","0","0","0","0","0","1.0261097"," 0.7923251","1.0207668","1.0072674","0.34460362","1.27306948","0.9712585"
"12","t","1","0","1","0","0","0","0","0","0","0","0","0.7950392"," 2.0234763","0.9440895","0.6475291","0.73934770","0.90304442","3.2618038"
"13","t","1","0","0","1","0","0","0","0","0","0","0","0.8890339"," 0.4144470","0.9105431","0.6802326","0.14489871","0.99499589","2.8335407"
"14","t","1","0","0","0","1","0","0","0","0","0","0","0.5874674"," 0.8207675","0.8578275","0.5232558","0.28095801","1.13206057","2.8746501"
"15","t","1","0","0","0","0","1","0","0","0","0","0","0.8694517"," 1.1498871","0.7236422","0.5297965","0.35539250","1.09799383","2.6745967"
"16","t","1","0","0","0","0","0","1","0","0","0","0","0.5561358"," 1.0117381","0.7476038","0.8241279","0.33498514","0.41286218","2.0868963"
"17","t","1","0","0","0","0","0","0","1","0","0","0","1.1279373"," 9.8370203","1.0591054","1.0138081","0.29983399","0.90267674","2.8139028"
"18","t","1","0","0","0","0","0","0","0","1","0","0","0.3368146"," 0.8776524","0.5367412","0.2747093","0.23880570","0.83730443","3.9703524"
"19","t","0","1","0","0","0","0","0","0","0","0","0","1.0300261"," 0.8939052","1.1214058","0.8699128","0.29128296","1.04266453","0.4777335"
"20","t","0","1","0","1","0","0","0","0","0","0","0","0.8851175"," 0.4022573","0.9201278","0.7456395","0.13200886","0.84366056","0.7750916"
"21","t","0","1","0","0","1","0","0","0","0","0","0","0.6305483"," 1.1742664","0.8482428","0.6082849","1.30109137","0.71000552","0.8008738"
"22","t","0","1","0","0","0","1","0","0","0","0","0","0.5913838"," 0.9548533","0.6757188","0.3139535","0.40258687","0.96268199","0.3891561"
"23","t","0","1","0","0","0","0","0","1","0","0","0","1.0926893"," 7.4844244","0.9632588","1.4847384","0.13536646","0.76633407","0.8665356"
"24","t","0","1","0","0","0","0","0","0","1","0","0","0.2898172"," 0.8939052","0.5031949","0.2354651","0.43927665","0.90880726","0.3533986"
"25","t","0","0","1","0","0","0","0","0","0","0","0","0.8616188"," 1.1905192","1.0063898","0.6933140","1.00651732","0.99410876","1.0817275"
"26","t","0","1","1","0","0","0","0","0","0","0","0","0.8498695"," 0.9345372","1.0447284","0.6148256","0.79777278","1.23530014","0.7138906"
"27","t","0","0","1","1","0","0","0","0","0","0","0","0.8498695"," 0.4510158","0.9201278","0.7129360","0.10526058","1.08879411","1.0024723"
"28","t","0","0","1","0","1","0","0","0","0","0","0","0.6775457"," 1.2677201","0.9345048","0.4316860","2.66738407","0.52631177","0.9403171"
"29","t","0","0","1","0","0","1","0","0","0","0","0","0.7362924"," 1.6455982","0.7428115","0.4513081","1.31650510","1.09761943","1.5458639"
"30","t","0","0","1","0","0","0","1","0","0","0","0","0.4503916"," 1.0483070","0.7619808","0.4382267","0.79851769","0.09035720","1.0716680"
"31","t","0","0","1","0","0","0","0","1","0","0","0","0.9673629","20.0600451","0.9728435","0.8241279","0.53031990","1.00370133","0.7859602"
"32","t","0","0","1","0","0","0","0","0","1","0","0","0.3093995"," 1.2839729","0.6134185","0.2550872","1.16220847","1.02603754","0.9572694"
"33","t","0","0","0","1","0","0","0","0","0","0","0","0.9321149"," 0.5322799","1.1645367","1.7529070","0.14529008","1.21949221","0.7332061"
"34","t","0","0","0","1","0","1","0","0","0","0","0","0.8381201"," 0.6216704","0.6709265","0.7260174","0.30579811","0.79956115","0.9691317"
"35","t","0","0","0","1","0","0","0","0","1","0","0","0.3368146"," 0.5932280","0.5031949","0.2616279","0.23277852","0.66882677","1.0038850"
"36","t","0","0","0","0","1","0","0","0","0","0","0","0.6383812"," 0.9223476","0.9632588","0.5625000","1.15419672","0.74611975","1.1369221"
"37","t","0","0","0","1","1","0","0","0","0","0","0","0.5483029"," 0.4510158","0.7763578","0.5821221","0.08990450","0.73714045","1.0375141"
"38","t","0","0","0","0","1","1","0","0","0","0","0","0.4503916"," 0.9629797","0.6373802","0.2877907","1.08914097","0.65470449","0.9337531"
"39","t","0","0","0","0","1","0","0","1","0","0","0","0.6971279","10.7756208","0.8099042","0.7914244","0.30790040","0.83175014","0.8402553"
"40","t","0","0","0","0","1","0","0","0","1","0","0","0.2741514"," 0.9304740","0.5079872","0.2485465","1.50323898","0.67137089","0.9966194"
"41","t","0","0","0","0","0","1","0","0","0","0","0","0.8067885"," 0.9629797","0.7140575","0.4251453","0.38538538","1.01144891","0.6842914"
"42","t","0","0","0","0","0","0","1","0","0","0","0","0.5718016"," 1.0726862","0.8290735","0.5428779","2.14292331","0.36716801","0.9354134"
"43","t","0","1","0","0","0","0","1","0","0","0","0","0.4778068"," 1.0726862","0.7380192","0.3728198","1.64366349","0.28045866","0.7674854"
"44","t","0","0","0","1","0","0","1","0","0","0","0","0.4503916"," 0.4225734","0.6230032","0.5952035","0.05127179","0.34906628","0.7075682"
"45","t","0","0","0","0","1","0","1","0","0","0","0","0.4151436"," 1.4505643","0.8386581","0.4055233","1.85037277","0.23382498","0.8027321"
"46","t","0","0","0","0","0","1","1","0","0","0","0","0.4268930"," 0.9101580","0.5750799","0.3204942","0.96876420","0.58417369","0.9554542"
"47","t","0","0","0","0","0","0","1","1","0","0","0","0.6775457"," 6.8343115","0.7332268","0.8960756","0.17385751","0.32793855","0.8403171"
"48","t","0","0","0","0","0","0","1","0","1","0","0","0.1919060"," 0.9142212","0.3977636","0.2681686","0.82979842","0.43894689","0.9663962"
"49","t","0","0","0","0","0","0","0","1","0","0","0","0.9477807"," 9.3372460","1.0686901","0.9418605","0.25735787","0.93367354","0.8695512"
"50","t","0","0","0","0","0","1","0","1","0","0","0","0.9438642"," 9.4632054","0.7715655","1.3343023","0.43108639","0.96609693","0.8729223"
"51","t","0","0","0","0","0","0","0","1","1","0","0","0.3015666","16.1065463","0.4169329","0.2747093","0.59970815","0.78852304","2.4365751"
"52","t","0","0","0","0","0","0","0","0","0","1","0","0.8772846"," 0.7273138","0.9920128","1.0661337","0.26969881","0.32373890","0.9054665"
"53","t","1","0","0","0","0","0","0","0","0","1","0","0.9125326"," 0.9832957","1.0255591","0.9811047","0.62243145","0.46920856","2.3710856"
"54","t","0","1","0","0","0","0","0","0","0","1","0","0.9869452"," 0.8085779","1.0638978","0.8829942","0.24522561","0.40828809","0.5725336"
"55","t","0","0","1","0","0","0","0","0","0","1","0","0.9203655"," 1.9787810","0.9968051","0.6213663","1.41933697","0.04832437","1.0864120"
"56","t","0","0","0","1","0","0","0","0","0","1","0","0.8302872"," 0.4428894","0.8578275","0.7129360","0.09207455","0.38815526","0.8501643"
"57","t","0","0","0","0","1","0","0","0","0","1","0","0.6422977"," 0.7435666","0.8674121","0.5167151","0.32659371","0.41437359","0.8171709"
"58","t","0","0","0","0","0","1","0","0","0","1","0","0.7832898"," 0.9467269","0.6948882","0.5101744","0.38947899","0.50020691","0.7835732"
"59","t","0","0","0","0","0","0","1","0","0","1","0","0.6109661"," 0.8939052","0.8003195","0.7456395","0.29223427","0.24704519","0.7917914"
"60","t","0","0","0","0","0","0","0","1","0","1","0","1.1475196"," 8.8049661","0.9776358","1.1315407","0.05250088","0.34851091","1.0258178"
"61","t","0","0","0","0","0","0","0","0","1","1","0","0.3798956"," 1.0158014","0.5271565","0.2550872","0.45982805","0.49067316","1.0152495"
"62","t","0","0","0","0","0","0","0","0","1","0","0","0.3289817"," 0.9426637","0.5319489","0.2681686","0.61155577","0.84955699","0.8371808"
"63","c","0","0","0","0","0","0","0","0","0","0","0","0.7941176"," 0.9127660","1.0198098",NA,"0.88007515","1.0884183","1.0769767"
"64","c","0","0","0","0","0","0","0","0","0","0","0","0.8428793"," 0.7595745","0.7987322",NA,"1.03407098","0.9051507","1.5685018"
"65","c","0","0","0","0","0","0","0","0","0","0","0","1.0657895"," 0.9893617","1.0625990",NA,"0.94407889","0.8252421","1.1895730"
"66","c","0","0","0","0","0","0","0","0","0","0","0","0.8219814"," 1.0148936","0.9128368",NA,"1.32623756","0.9818117","1.3161067"
"67","c","0","0","0","0","0","0","0","0","0","0","0","0.8777090"," 1.1680851","0.8486529",NA,"1.13149094","0.9277348","0.9685210"
"68","c","0","0","0","0","0","0","0","0","0","0","0","1.1911765"," 1.0723404","1.0198098",NA,"0.88477592","0.6310326","1.0887317"
"69","c","0","0","0","0","0","0","0","0","0","0","0","1.3095975"," 1.3723404","1.0625990",NA,"1.56097107","0.6790754","1.1243888"
"70","c","0","0","0","0","0","0","0","0","0","0","0","0.9404025"," 0.8361702","1.1053883",NA,NA,NA,NA
"71","c","0","0","0","0","0","0","0","0","0","0","0","1.1563467"," 0.8744681","1.1695721",NA,NA,NA,NA
"72","t","1","0","0","0","0","0","0","0","0","0","0","0.9334365"," 0.8425532","0.9342314",NA,"0.42054046","0.9943312","2.4206257"
"73","t","1","1","0","0","0","0","0","0","0","0","0","0.8707430"," 0.7404255","0.9556260",NA,"0.26017911","0.9334197","1.0621048"
"74","t","1","0","1","0","0","0","0","0","0","0","0","1.3165635"," 2.8404255","1.0625990",NA,"5.28256225","0.8103862","2.1752880"
"75","t","1","0","0","1","0","0","0","0","0","0","0","0.8010836"," 0.4723404","0.7345483",NA,"0.11999237","0.8638098","2.5894308"
"76","t","1","0","0","0","1","0","0","0","0","0","0","0.6199690"," 0.8106383","0.7630745",NA,"0.37787250","0.8802878","3.5871841"
"77","t","1","0","0","0","0","1","0","0","0","0","0","0.8359133"," 1.1553191","0.6917591",NA,"0.64635453","1.1505663","2.9778661"
"78","t","1","0","0","0","0","0","1","0","0","0","0","0.4806502"," 0.7659574","0.7131537",NA,"0.28677131","0.2270045","3.0174193"
"79","t","1","0","0","0","0","0","0","1","0","0","0","1.2190402","19.4425532","1.1624406",NA,"0.13402612","1.1889491","2.3515236"
"80","t","1","0","0","0","0","0","0","0","1","0","0","0.4318885"," 1.7297872","0.5919176",NA,"0.91542141","1.2546583","3.4646042"
"81","t","0","1","0","0","0","0","0","0","0","0","0","0.7383901"," 0.8297872","0.9627575",NA,"0.19266792","1.2400158","0.9435028"
"82","t","0","1","0","1","0","0","0","0","0","0","0","0.7871517"," 0.4148936","0.8629160",NA,"0.13878093","0.7274149","0.6474045"
"83","t","0","1","0","0","1","0","0","0","0","0","0","0.3900929"," 1.3851064","1.3906498",NA,"2.95217028","0.7421694","0.7973278"
"84","t","0","1","0","0","0","1","0","0","0","0","0","0.7592879"," 0.9574468","0.8771791",NA,"1.06611503","0.8657373","1.0363019"
"85","t","0","1","0","0","0","0","0","1","0","0","0","1.1633127","12.0319149","0.9342314",NA,"0.14631530","0.6258696","0.5616159"
"86","t","0","1","0","0","0","0","0","0","1","0","0","0.4527864"," 0.9638298","0.6347068",NA,"1.28199296","0.8829220","0.7269051"
"87","t","0","0","1","0","0","0","0","0","0","0","0","0.7453560"," 1.5382979","0.8914422",NA,"2.64682477","1.1770819","1.0564880"
"88","t","0","1","1","0","0","0","0","0","0","0","0","0.7105263"," 1.0212766","0.9199683",NA,"1.14404939","1.0076184","0.7636417"
"89","t","0","0","1","1","0","0","0","0","0","0","0","0.8010836"," 0.5553191","0.8771791",NA,"0.26160787","0.8841640","0.8712695"
"90","t","0","0","1","0","1","0","0","0","0","0","0","0.4040248"," 1.8957447","1.5618067",NA,"2.47147187","0.6999295","0.9947257"
"91","t","0","0","1","0","0","1","0","0","0","0","0","0.7035604"," 1.2063830","0.6988906",NA,"2.47305293","1.0334602","1.1084614"
"92","t","0","0","1","0","0","0","1","0","0","0","0","0.4597523"," 1.2446809","0.7060222",NA,"1.55865003","0.1866679","0.9055282"
"93","t","0","0","1","0","0","0","0","1","0","0","0","0.9543344","31.4234043","1.5832013",NA,"0.39749316","1.1300753","0.8577082"
"94","t","0","0","1","0","0","0","0","0","1","0","0","0.4667183"," 1.6085106","0.6774960",NA,"2.24494745","0.8610263","1.1283860"
"95","t","0","0","0","1","0","0","0","0","0","0","0","0.6269350"," 0.4404255","0.8272583",NA,"0.16172439","0.8743786","0.9234120"
"96","t","0","0","0","1","0","1","0","0","0","0","0","0.8986068"," 0.6829787","0.6489699",NA,"0.39958055","0.9214460","0.9502526"
"97","t","0","0","0","1","0","0","0","0","1","0","0","0.3622291"," 0.6063830","0.4920761",NA,"0.39307924","0.8137096","1.1096514"
"98","t","0","0","0","0","1","0","0","0","0","0","0","0.6199690"," 0.8872340","0.9057052",NA,"1.07052127","0.8053874","1.3524552"
"99","t","0","0","0","1","1","0","0","0","0","0","0","0.6269350"," 0.5425532","0.7274168",NA,"0.13267832","0.7790163","0.8812513"
"100","t","0","0","0","0","1","1","0","0","0","0","0","0.6547988"," 0.9829787","0.8415214",NA,"0.82896383","0.6551990","1.0671199"
"101","t","0","0","0","0","1","0","0","1","0","0","0","0.8777090","17.1765957","0.7916006",NA,"0.18953843","0.8897056","0.9881152"
"102","t","0","0","0","0","1","0","0","0","1","0","0","0.4388545"," 1.1361702","0.6632330",NA,"1.41229793","0.6341366","0.9591094"
"103","t","0","0","0","0","0","1","0","0","0","0","0","0.6826625"," 0.9000000","0.6561014",NA,"0.73475428","0.8107541","0.9634851"
"104","t","0","0","0","0","0","0","1","0","0","0","0","0.4109907"," 0.8425532","0.6846276",NA,"0.47814444","0.3947861","0.7282503"
"105","t","0","1","0","0","0","0","1","0","0","0","0","0.6687307"," 0.8425532","0.8629160",NA,"1.37542409","0.2251888","0.6775334"
"106","t","0","0","0","1","0","0","1","0","0","0","0","0.4527864"," 0.4595745","0.6347068",NA,"0.05980112","0.2289874","0.9041326"
"107","t","0","0","0","0","1","0","1","0","0","0","0","0.6756966"," 0.9957447","0.8985737",NA,"0.96953938","0.2774070","1.2860982"
"108","t","0","0","0","0","0","1","1","0","0","0","0","0.5642415"," 1.0085106","0.6917591",NA,"0.85989419","0.1658432","0.6553457"
"109","t","0","0","0","0","0","0","1","1","0","0","0","0.6130031"," 9.6382979","0.6204437",NA,"0.14402658","0.1915621","0.9097650"
"110","t","0","0","0","0","0","0","1","0","1","0","0","0.4040248"," 0.9893617","0.9841521",NA,"1.00045150","0.1231505","0.6924615"
"111","t","0","0","0","0","0","0","0","1","0","0","0","0.9055728"," 9.8808511","0.9270998",NA,"0.15847699","1.1703198","0.9702123"
"112","t","0","0","0","0","0","1","0","1","0","0","0","1.0030960","13.0531915","0.6347068",NA,"0.23954285","1.0055530","1.3113984"
"113","t","0","0","0","0","0","0","0","1","1","0","0","0.3761610","16.2574468","0.4564184",NA,"0.43191614","1.0631304","1.2413620"
"114","t","0","0","0","0","0","0","0","0","0","1","0","1.0309598"," 0.7468085","1.0269414",NA,"0.25702096","0.3369582","1.3250050"
"115","t","1","0","0","0","0","0","0","0","0","1","0","1.2120743"," 1.5255319","0.8415214",NA,"4.14648277","0.4158847","1.8937072"
"116","t","0","1","0","0","0","0","0","0","0","1","0","0.8916409"," 0.7085106","0.9841521",NA,"0.13199313","0.3522961","0.5147467"
"117","t","0","0","1","0","0","0","0","0","0","1","0","1.1075851"," 1.4680851","1.0055468",NA,"3.23887964","0.3654665","1.0741922"
"118","t","0","0","0","1","0","0","0","0","0","1","0","0.7383901"," 0.4085106","0.8129952",NA,"0.06356878","0.3752926","1.1817614"
"119","t","0","0","0","0","1","0","0","0","0","1","0","0.5503096"," 0.7404255","0.7630745",NA,"0.41140043","0.3272259","0.8325170"
"120","t","0","0","0","0","0","1","0","0","0","1","0","0.6547988"," 0.8361702","0.6204437",NA,"0.38193473","0.3661142","1.0120277"
"121","t","0","0","0","0","0","0","1","0","0","1","0","0.5294118"," 0.9765957","1.2908082",NA,"0.27686605","0.2600696","0.6007198"
