"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"1","c","0","0","0","0","0","0","0","0","0","0","0","0.9573106","0.8883947","1.0161290","0.7533040","1.449374019","1.0385052","0.8720084"
"2","c","0","0","0","0","0","0","0","0","0","0","0","0.7107791","0.9284229","0.8430521","0.4797357","1.244308307","1.1424183","0.5374130"
"3","c","0","0","0","0","0","0","0","0","0","0","0","0.9733191","1.0391482","0.9937965","0.7770925","0.856418051","1.0090240","0.9875131"
"4","c","0","0","0","0","0","0","0","0","0","0","0","0.9541089","1.0002720","0.8933002","0.6700441","0.894565957","0.9144458","0.7941687"
"5","c","0","0","0","0","0","0","0","0","0","0","0","1.1910352","1.1262599","1.0272953","1.2687225","0.728603162","1.1267520","0.8975282"
"6","c","0","0","0","0","0","0","0","0","0","0","0","1.0693703","1.0683774","1.0105459","1.8951542","0.802642069","1.0289594","1.1879212"
"7","c","0","0","0","0","0","0","0","0","0","0","0","1.1910352","1.1305795","1.1166253","2.0220264","1.044787131","0.9943970","0.8720520"
"8","c","0","0","0","0","0","0","0","0","0","0","0","0.9348986","0.8588775","1.0607940","0.4718062",NA,NA,NA
"9","c","0","0","0","0","0","0","0","0","0","0","0","1.0181430","0.9596679","1.0384615","0.6621145",NA,NA,NA
"10","t","1","0","0","0","0","0","0","0","0","0","0","1.1430096","1.2109238","1.0775434","1.3955947","0.701486552","0.7378969","1.4167528"
"11","t","1","1","0","0","0","0","0","0","0","0","0","1.1462113","1.2689502","1.0440447","1.2925110","0.404175809","1.1359551","1.1280599"
"12","t","1","0","1","0","0","0","0","0","0","0","0","1.1398079","1.3677247","1.0440447","0.9475771","1.256363225","0.9273431","1.5482071"
"13","t","1","0","0","1","0","0","0","0","0","0","0","0.8388474","0.8764439","0.8765509","0.5907489","0.191077141","0.7282240","1.5386884"
"14","t","1","0","0","0","1","0","0","0","0","0","0","0.8612593","1.2277701","0.9267990","0.6859031","0.598710874","1.0003210","1.7702927"
