"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"1","c","0","0","0","0","0","0","0","0","0","0","0","0.9514012","0.8882507","1.0167598","0.7549669","1.449374019","1.0385052","0.8720084"
"2","c","0","0","0","0","0","0","0","0","0","0","0","0.7087620","0.9284229","0.8435754","0.4807947","1.244308307","1.1424183","0.5374130"
"3","c","0","0","0","0","0","0","0","0","0","0","0","0.9641717","1.0390043","0.9888268","0.7748344","0.856418051","1.0090240","0.9875131"
"4","c","0","0","0","0","0","0","0","0","0","0","0","0.9609791","1.0001280","0.8938547","0.6675497","0.894565957","0.9144458","0.7941687"
"5","c","0","0","0","0","0","0","0","0","0","0","0","1.1908478","1.1258279","1.0279330","1.2754967","0.728603162","1.1267520","0.8975282"
"6","c","0","0","0","0","0","0","0","0","0","0","0","1.0695282","1.0682334","1.0111732","1.8913907","0.802642069","1.0289594","1.1879212"
"7","c","0","0","0","0","0","0","0","0","0","0","0","1.1972331","1.1307235","1.1173184","2.0225166","1.044787131","0.9943970","0.8720520"
"8","c","0","0","0","0","0","0","0","0","0","0","0","0.9386307","0.8588775","1.0614525","0.4688742",NA,NA,NA
"9","c","0","0","0","0","0","0","0","0","0","0","0","1.0184463","0.9605318","1.0391061","0.6635762",NA,NA,NA
"10","t","1","0","0","0","0","0","0","0","0","0","0","1.1493437","1.2107798","1.0782123","1.3986755","0.701486552","0.7378969","1.4167528"
"11","t","1","1","0","0","0","0","0","0","0","0","0","1.1397659","1.2690942","1.0446927","1.2953642","0.404175809","1.1359551","1.1280599"
"12","t","1","0","1","0","0","0","0","0","0","0","0","1.1365733","1.3678687","1.0446927","0.9496689","1.256363225","0.9273431","1.5482071"
"13","t","1","0","0","1","0","0","0","0","0","0","0","0.8364668","0.8764439","0.8770950","0.5880795","0.191077141","0.7282240","1.5386884"
"14","t","1","0","0","0","1","0","0","0","0","0","0","0.8588152","1.2274822","0.9273743","0.6874172","0.598710874","1.0003210","1.7702927"
"15","t","1","0","0","0","0","1","0","0","0","0","0","0.8236963","1.2208588","0.7765363","0.4490066","1.033789530","0.7826138","1.4101159"
"16","t","1","0","0","0","0","0","1","0","0","0","0","0.9290529","1.2299299","0.9608939","0.9099338","0.359994391","0.3918359","1.9224018"
"17","t","1","0","0","0","0","0","0","1","0","0","0","0.9833274","1.5749208","0.9050279","0.8105960","0.005654095","0.8784275","1.2518748"
"18","t","1","0","0","0","0","0","0","0","1","0","0","0.4980490","1.5343167","0.6089385","0.1788079","1.439928605","0.7039522","1.5032336"
"19","t","0","1","0","0","0","0","0","0","0","0","0","0.9290529","1.0951589","1.0446927","0.6119205","0.312765883","0.6456657","0.4310118"
"20","t","0","1","0","1","0","0","0","0","0","0","0","0.8013480","0.8011391","1.0167598","0.5642384","0.150050186","0.7507343","1.0185664"
"21","t","0","1","0","0","1","0","0","0","0","0","0","0.7183398","0.9183438","0.9329609","0.5125828","1.342930109","0.9307138","1.5155207"
"22","t","0","1","0","0","0","1","0","0","0","0","0","0.7279177","0.8914184","0.8770950","0.2781457","0.531253606","0.7360129","0.6826522"
"23","t","0","1","0","0","0","0","0","1","0","0","0","1.1557290","1.7599430","1.0055866","0.8423841","0.010542356","0.9019877","1.0628435"
"24","t","0","1","0","0","0","0","0","0","1","0","0","0.3926924","1.0346847","0.5865922","0.1629139","0.370378840","0.8088727","0.5258720"
"25","t","0","0","1","0","0","0","0","0","0","0","0","0.8939340","1.0431799","0.9944134","0.4490066","0.716731845","1.1071382","0.8174464"
"26","t","0","1","1","0","0","0","0","0","0","0","0","0.8141185","1.2749976","1.0446927","0.5086093","0.683371187","1.1444474","0.7332919"
"27","t","0","0","1","1","0","0","0","0","0","0","0","0.8875488","0.6503856","0.9664804","0.4847682","0.099895522","0.8306659","0.8417783"
"28","t","0","0","1","0","1","0","0","0","0","0","0","0.6544874","1.2536876","1.0223464","0.3178808","1.079470282","0.8080976","0.8691673"
"29","t","0","0","1","0","0","1","0","0","0","0","0","0.8205037","1.1429623","0.7653631","0.3298013","0.958022384","0.9423797","0.6700196"
"30","t","0","0","1","0","0","0","1","0","0","0","0","0.6417169","1.2523918","0.8938547","0.3496689","0.478507701","0.2977172","0.6270991"
"31","t","0","0","1","0","0","0","0","1","0","0","0","1.0727208","1.4140882","1.0111732","0.8463576","0.007635311","0.9128407","0.9293712"
"32","t","0","0","1","0","0","0","0","0","1","0","0","0.4118482","1.2914120","0.5530726","0.1470199","1.318640718","0.9088227",NA
"33","t","0","0","0","1","0","0","0","0","0","0","0","0.7566513","0.7500240","0.8770950","0.4807947","0.201504643","0.9665861","0.8243330"
"34","t","0","0","0","1","0","1","0","0","0","0","0","0.8013480","0.7349054","0.7821229","0.5006623","0.189092227","0.7168836","0.6689405"
"35","t","0","0","0","1","0","0","0","0","1","0","0","0.3735367","0.8469267","0.5418994","0.1827815","0.284255296","0.6064633","1.0007951"
"36","t","0","0","0","0","1","0","0","0","0","0","0","0.7183398","1.0951589","0.9720670","0.4132450","1.142185701","0.9320243","0.9421923"
"37","t","0","0","0","1","1","0","0","0","0","0","0","0.5938276","0.6963172","0.9441341","0.3139073","0.069738978","0.8817365","0.8775567"
"38","t","0","0","0","0","1","1","0","0","0","0","0","0.5140121","0.8565738","0.7709497","0.1986755","0.630013069","0.8458208","0.8335626"
"39","t","0","0","0","0","1","0","0","1","0","0","0","0.7981554","1.9199117","0.9553073","0.4966887","0.014099026","1.1512277","1.0188252"
"40","t","0","0","0","0","1","0","0","0","1","0","0","0.3064917","1.2306499","0.6368715","0.1668874","0.760926493","0.8227147","0.7748046"
"41","t","0","0","0","0","0","1","0","0","0","0","0","0.7406882","1.0165424","0.7988827","0.2860927","0.750443528","0.7630467","0.8839892"
"42","t","0","0","0","0","0","0","1","0","0","0","0","0.7694218","0.9508847","0.9553073","0.4490066","0.915315010","0.2661604","1.1531078"
"43","t","0","1","0","0","0","0","1","0","0","0","0","0.7119546","1.0715451","0.9944134","0.4490066","0.838265595","0.2924023","0.7297059"
"44","t","0","0","0","1","0","0","1","0","0","0","0","0.5108194","0.6215883","0.7653631","0.3933775","0.049180288","0.3505905","1.1110217"
"45","t","0","0","0","0","1","0","1","0","0","0","0","0.4469670","1.1109973","0.8659218","0.2781457","0.599046906","0.2495554","0.8768680"
"46","t","0","0","0","0","0","1","1","0","0","0","0","0.5555161","0.9649954","0.7318436","0.2662252","0.757778100","0.3807717","1.0192270"
"47","t","0","0","0","0","0","0","1","1","0","0","0","0.7534587","1.4215755","0.9106145","0.5801325","0.003872715","0.3814751","0.9026657"
"48","t","0","0","0","0","0","0","1","0","1","0","0","0.2490245","0.9850094","0.5251397","0.1549669","0.667872206","0.3467239","1.0650160"
