"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"1","c","0","0","0","0","0","0","0","0","0","0","0","0.9215686"," 0.9313150","1.0548748","0.8306686","0.59744015","1.08977506","1.1671697"
"2","c","0","0","0","0","0","0","0","0","0","0","0","0.8666667"," 0.8296430","0.8486947","0.8568314","0.53227069","1.31196144","0.7420005"
"3","c","0","0","0","0","0","0","0","0","0","0","0","1.0941176"," 1.1061907","1.0213106","1.4847384","0.85552841","1.24733507","1.0326018"
"4","c","0","0","0","0","0","0","0","0","0","0","0","1.1176471"," 0.6751017","1.0069259","1.1250000","1.08534417","1.02698553","0.8469147"
"5","c","0","0","0","0","0","0","0","0","0","0","0","1.0549020"," 0.8093086","1.0452850","1.5501453","0.80751629","1.05764197","1.1460852"
"6","c","0","0","0","0","0","0","0","0","0","0","0","1.0980392"," 1.4112065","0.9302078","0.9680233","0.84776195","1.34146273","1.0853150"
"7","c","0","0","0","0","0","0","0","0","0","0","0","1.2352941"," 1.2688658","1.1172083","1.1904070","0.74919955","1.10220770","0.8354722"
"8","c","0","0","0","0","0","0","0","0","0","0","0","0.7294118"," 0.8947131","0.9781566","0.3662791",NA,NA,NA
"9","c","0","0","0","0","0","0","0","0","0","0","0","0.8823529"," 1.0736557","0.9973362","0.6279070",NA,NA,NA
"10","t","1","0","0","0","0","0","0","0","0","0","0","1.0823529"," 0.8052418","1.0740543","1.0334302","0.28533676","0.81811910","4.3831158"
"11","t","1","1","0","0","0","0","0","0","0","0","0","1.0313725"," 0.7971080","1.0213106","1.0072674","0.34460362","1.27306948","0.9712585"
"12","t","1","0","1","0","0","0","0","0","0","0","0","0.7960784"," 2.0375056","0.9445924","0.6475291","0.73934770","0.90304442","3.2618038"
"13","t","1","0","0","1","0","0","0","0","0","0","0","0.8901961"," 0.4148215","0.9110282","0.6802326","0.14489871","0.99499589","2.8335407"
"14","t","1","0","0","0","1","0","0","0","0","0","0","0.5882353"," 0.8215093","0.8582845","0.5232558","0.28095801","1.13206057","2.8746501"
"15","t","1","0","0","0","0","1","0","0","0","0","0","0.8705882"," 1.1468595","0.7240277","0.5232558","0.35539250","1.09799383","2.6745967"
"16","t","1","0","0","0","0","0","1","0","0","0","0","0.5568627"," 1.0167194","0.7480021","0.8241279","0.33498514","0.41286218","2.0868963"
"17","t","1","0","0","0","0","0","0","1","0","0","0","1.1333333"," 9.8499774","1.0596697","1.0138081","0.29983399","0.90267674","2.8139028"
"18","t","1","0","0","0","0","0","0","0","1","0","0","0.3372549"," 0.8784455","0.5370272","0.2747093","0.23880570","0.83730443","3.9703524"
"19","t","0","1","0","0","0","0","0","0","0","0","0","1.0313725"," 0.8947131","1.1220032","0.8699128","0.29128296","1.04266453","0.4777335"
"20","t","0","1","0","1","0","0","0","0","0","0","0","0.8862745"," 0.4026209","0.9206180","0.7456395","0.13200886","0.84366056","0.7750916"
"21","t","0","1","0","0","1","0","0","0","0","0","0","0.6313725"," 1.1834614","0.8486947","0.6082849","1.30109137","0.71000552","0.8008738"
"22","t","0","1","0","0","0","1","0","0","0","0","0","0.5921569"," 0.9557162","0.6760788","0.3139535","0.40258687","0.96268199","0.3891561"
"23","t","0","1","0","0","0","0","0","1","0","0","0","1.0862745"," 7.5033891","0.9637720","1.4847384","0.13536646","0.76633407","0.8665356"
"24","t","0","1","0","0","0","0","0","0","1","0","0","0.2901961"," 0.8987799","0.5034630","0.2354651","0.43927665","0.90880726","0.3533986"
"25","t","0","0","1","0","0","0","0","0","0","0","0","0.8627451"," 1.1875282","1.0069259","0.6933140","1.00651732","0.99410876","1.0817275"
"26","t","0","1","1","0","0","0","0","0","0","0","0","0.8509804"," 0.9353818","1.0452850","0.6148256","0.79777278","1.23530014","0.7138906"
"27","t","0","0","1","1","0","0","0","0","0","0","0","0.8509804"," 0.4514234","0.9206180","0.7129360","0.10526058","1.08879411","1.0024723"
"28","t","0","0","1","0","1","0","0","0","0","0","0","0.6784314"," 1.2688658","0.9350027","0.4316860","2.66738407","0.52631177","0.9403171"
"29","t","0","0","1","0","0","1","0","0","0","0","0","0.7372549"," 1.6511523","0.7432072","0.4513081","1.31650510","1.09761943","1.5458639"
"30","t","0","0","1","0","0","0","1","0","0","0","0","0.4509804"," 1.0492544","0.7623868","0.4382267","0.79851769","0.09035720","1.0716680"
"31","t","0","0","1","0","0","0","0","1","0","0","0","0.9686275","20.0822413","0.9733617","0.8241279","0.53031990","1.00370133","0.7859602"
"32","t","0","0","1","0","0","0","0","0","1","0","0","0.3098039"," 1.2932671","0.6137453","0.2550872","1.16220847","1.02603754","0.9572694"
"33","t","0","0","0","1","0","0","0","0","0","0","0","0.9333333"," 0.5327610","1.1603623","1.7529070","0.14529008","1.21949221","0.7332061"
"34","t","0","0","0","1","0","1","0","0","0","0","0","0.8431373"," 0.6181654","0.6712840","0.7260174","0.30579811","0.79956115","0.9691317"
"35","t","0","0","0","1","0","0","0","0","1","0","0","0.3372549"," 0.5937641","0.5034630","0.2616279","0.23277852","0.66882677","1.0038850"
"36","t","0","0","0","0","1","0","0","0","0","0","0","0.6392157"," 0.9191143","0.9589771","0.5625000","1.15419672","0.74611975","1.1369221"
"37","t","0","0","0","1","1","0","0","0","0","0","0","0.5490196"," 0.4514234","0.7767714","0.5821221","0.08990450","0.73714045","1.0375141"
"38","t","0","0","0","0","1","1","0","0","0","0","0","0.4549020"," 0.9638500","0.6377198","0.2877907","1.08914097","0.65470449","0.9337531"
"39","t","0","0","0","0","1","0","0","1","0","0","0","0.6980392","10.7853592","0.8103356","0.7979651","0.30790040","0.83175014","0.8402553"
