"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"1","c","0","0","0","0","0","0","0","0","0","0","0","0.9199652"," 0.9287968","1.0506397","0.8300654","0.55677884","1.08371621","1.0725741"
"2","c","0","0","0","0","0","0","0","0","0","0","0","0.8651588"," 0.8273997","0.8491471","0.8562092","0.53227069","1.31196144","0.7420005"
"3","c","0","0","0","0","0","0","0","0","0","0","0","1.0922140"," 1.0950879","1.0218550","1.4836601","0.85826121","1.21952187","1.0321906"
"4","c","0","0","0","0","0","0","0","0","0","0","0","1.1117877"," 0.6732763","1.0074627","1.1241830","1.08534417","1.02698553","0.8469147"
"5","c","0","0","0","0","0","0","0","0","0","0","0","1.0648108"," 0.8030644","1.0458422","1.5490196","0.80751629","1.05764197","1.1460852"
"6","c","0","0","0","0","0","0","0","0","0","0","0","1.0961288"," 1.4236142","0.9307036","0.9673203","0.84776195","1.34146273","1.0853150"
"7","c","0","0","0","0","0","0","0","0","0","0","0","1.2409743"," 1.2816584","1.1178038","1.1895425","0.74919955","1.10220770","0.8354722"
"8","c","0","0","0","0","0","0","0","0","0","0","0","0.7281427"," 0.8922938","0.9786780","0.3725490",NA,NA,NA
"9","c","0","0","0","0","0","0","0","0","0","0","0","0.8808177"," 1.0748085","0.9978678","0.6274510",NA,NA,NA
"10","t","1","0","0","0","0","0","0","0","0","0","0","1.0765550"," 0.8030644","1.0746269","1.0326797","0.28533676","0.81811910","4.3831158"
"11","t","1","1","0","0","0","0","0","0","0","0","0","1.0256633"," 0.7949527","1.0218550","1.0065359","0.34460362","1.27306948","0.9712585"
"12","t","1","0","1","0","0","0","0","0","0","0","0","0.7946933"," 2.0319964","0.9498934","0.6470588","0.73934770","0.90304442","3.2618038"
"13","t","1","0","0","1","0","0","0","0","0","0","0","0.8886472"," 0.4136999","0.9163113","0.6797386","0.14489871","0.99499589","2.8335407"
"14","t","1","0","0","0","1","0","0","0","0","0","0","0.5872118"," 0.8192880","0.8587420","0.5228758","0.28095801","1.13206057","2.8746501"
"15","t","1","0","0","0","0","1","0","0","0","0","0","0.8651588"," 1.1478143","0.7244136","0.5228758","0.35539250","1.09799383","2.6745967"
"16","t","1","0","0","0","0","0","1","0","0","0","0","0.5558939"," 1.0099144","0.7484009","0.8235294","0.33498514","0.41286218","2.0868963"
"17","t","1","0","0","0","0","0","0","1","0","0","0","1.1274467"," 9.8233438","1.0602345","1.0130719","0.29983399","0.90267674","2.8139028"
"18","t","1","0","0","0","0","0","0","0","1","0","0","0.3327534"," 0.8760703","0.5373134","0.2745098","0.23880570","0.83730443","3.9703524"
"19","t","0","1","0","0","0","0","0","0","0","0","0","1.0256633"," 0.8922938","1.1226013","0.8692810","0.29128296","1.04266453","0.4777335"
"20","t","0","1","0","1","0","0","0","0","0","0","0","0.8847325"," 0.4015322","0.9211087","0.7450980","0.13200886","0.84366056","0.7750916"
"21","t","0","1","0","0","1","0","0","0","0","0","0","0.6302740"," 1.1802614","0.8491471","0.6078431","1.30524742","0.69417375","0.8005549"
"22","t","0","1","0","0","0","1","0","0","0","0","0","0.5911266"," 0.9531320","0.6764392","0.3137255","0.40258687","0.96268199","0.3891561"
"23","t","0","1","0","0","0","0","0","1","0","0","0","1.0922140"," 7.4384858","0.9690832","1.4836601","0.13536646","0.76633407","0.8665356"
"24","t","0","1","0","0","0","0","0","0","1","0","0","0.2896912"," 0.8963497","0.5037313","0.2352941","0.43927665","0.90880726","0.3533986"
"25","t","0","0","1","0","0","0","0","0","0","0","0","0.8612440"," 1.1883731","1.0074627","0.6928105","0.93801453","0.98858178","0.9940567"
"26","t","0","1","1","0","0","0","0","0","0","0","0","0.8494998"," 0.9328526","1.0458422","0.6143791","0.74347699","1.22843221","0.6560319"
"27","t","0","0","1","1","0","0","0","0","0","0","0","0.8494998"," 0.4502028","0.9211087","0.7124183","0.10526058","1.08879411","1.0024723"
"28","t","0","0","1","0","1","0","0","0","0","0","0","0.6772510"," 1.2694908","0.9355011","0.4313725","2.67590444","0.51457602","0.9399427"
"29","t","0","0","1","0","0","1","0","0","0","0","0","0.7359722"," 1.6547995","0.7388060","0.4509804","1.22690479","1.09151696","1.4205763"
"30","t","0","0","1","0","0","0","1","0","0","0","0","0.4501957"," 1.0464173","0.7627932","0.4379085","0.74417120","0.08985483","0.9848125"
"31","t","0","0","1","0","0","0","0","1","0","0","0","0.9708569","20.0238846","0.9738806","0.8235294","0.53031990","1.00370133","0.7859602"
"32","t","0","0","1","0","0","0","0","0","1","0","0","0.3092649"," 1.2897702","0.6140725","0.2549020","1.08310947","1.02033305","0.8796856"
"33","t","0","0","0","1","0","0","0","0","0","0","0","0.9317094"," 0.5313204","1.1609808","1.7647059","0.14529008","1.21949221","0.7332061"
"34","t","0","0","0","1","0","1","0","0","0","0","0","0.8416703"," 0.6205498","0.6716418","0.7254902","0.30579811","0.79956115","0.9691317"
"35","t","0","0","0","1","0","0","0","0","1","0","0","0.3366681"," 0.5921586","0.5037313","0.2614379","0.23277852","0.66882677","1.0038850"
"36","t","0","0","0","0","1","0","0","0","0","0","0","0.6381035"," 0.9166291","0.9594883","0.5620915","1.15788355","0.72948270","1.1364693"
"37","t","0","0","0","1","1","0","0","0","0","0","0","0.5480644"," 0.4502028","0.7771855","0.5816993","0.08990450","0.73714045","1.0375141"
"38","t","0","0","0","0","1","1","0","0","0","0","0","0.4541105"," 0.9612438","0.6380597","0.2875817","1.09261999","0.64010582","0.9333813"
"39","t","0","0","0","0","1","0","0","1","0","0","0","0.6968247","10.7561965","0.8107676","0.7973856","0.30790040","0.83175014","0.8402553"
"40","t","0","0","0","0","1","0","0","0","1","0","0","0.2740322"," 0.9328526","0.5085288","0.2483660","1.50804075","0.65640059","0.9962225"
"41","t","0","0","0","0","0","1","0","0","0","0","0","0.8064376"," 0.9652997","0.7148188","0.4248366","0.38538538","1.01144891","0.6842914"
"42","t","0","0","0","0","0","0","1","0","0","0","0","0.5715528"," 1.0666967","0.8299574","0.5424837","2.14292331","0.36716801","0.9354134"
"43","t","0","1","0","0","0","0","1","0","0","0","0","0.4775990"," 1.0666967","0.7388060","0.3725490","1.64891382","0.27420496","0.7671798"
"44","t","0","0","0","1","0","0","1","0","0","0","0","0.4501957"," 0.4218116","0.6236674","0.5947712","0.05127179","0.34906628","0.7075682"
"45","t","0","0","0","0","1","0","1","0","0","0","0","0.4149630"," 1.4560613","0.8347548","0.4052288","1.85628338","0.22861113","0.8024125"
"46","t","0","0","0","0","0","1","1","0","0","0","0","0.4267073"," 0.9085174","0.5756930","0.3202614","0.96876420","0.58417369","0.9554542"
"47","t","0","0","0","0","0","0","1","1","0","0","0","0.6772510"," 6.8503831","0.7340085","0.8954248","0.17385751","0.32793855","0.8403171"
"48","t","0","0","0","0","0","0","1","0","1","0","0","0.1957373"," 0.9125732","0.3981876","0.2679739","0.82979842","0.43894689","0.9663962"
