"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"1","c","0","0","0","0","0","0","0","0","0","0","0","0.9552716","0.8882934","1.0161290","0.7533040","1.385504372","1.0362035","0.7908385"
"2","c","0","0","0","0","0","0","0","0","0","0","0","0.7092652","0.9288994","0.8430521","0.4797357","1.244308307","1.1424183","0.5374130"
"3","c","0","0","0","0","0","0","0","0","0","0","0","0.9680511","1.0391981","0.9937965","0.7770925","0.859395192","0.9838045","0.9832142"
"4","c","0","0","0","0","0","0","0","0","0","0","0","0.9584665","1.0001760","0.8933002","0.6700441","0.894565957","0.9144458","0.7941687"
"5","c","0","0","0","0","0","0","0","0","0","0","0","1.1884984","1.1260260","1.0272953","1.2806167","0.728603162","1.1267520","0.8975282"
"6","c","0","0","0","0","0","0","0","0","0","0","0","1.0734824","1.0677087","1.0105459","1.8872247","0.802642069","1.0289594","1.1879212"
"7","c","0","0","0","0","0","0","0","0","0","0","0","1.1884984","1.1309217","1.1166253","2.0220264","1.044787131","0.9943970","0.8720520"
"8","c","0","0","0","0","0","0","0","0","0","0","0","0.9456869","0.8589188","1.0607940","0.4678414",NA,NA,NA
"9","c","0","0","0","0","0","0","0","0","0","0","0","1.0127796","0.9598579","1.0384615","0.6621145",NA,NA,NA
"10","t","1","0","0","0","0","0","0","0","0","0","0","1.1437700","1.2114139","1.0775434","1.3995595","0.701486552","0.7378969","1.4167528"
"11","t","1","1","0","0","0","0","0","0","0","0","0","1.1501597","1.2688671","1.0440447","1.2845815","0.404175809","1.1359551","1.1280599"
"12","t","1","0","1","0","0","0","0","0","0","0","0","1.1405751","1.3677903","1.0440447","0.9475771","1.256363225","0.9273431","1.5482071"
"13","t","1","0","0","1","0","0","0","0","0","0","0","0.8370607","0.8766299","0.8765509","0.5907489","0.191077141","0.7282240","1.5386884"
"14","t","1","0","0","0","1","0","0","0","0","0","0","0.8626198","1.2279731","0.9267990","0.6859031","0.598710874","1.0003210","1.7702927"
"15","t","1","0","0","0","0","1","0","0","0","0","0","0.8210863","1.2212054","0.7760546","0.4480176","1.033789530","0.7826138","1.4101159"
"16","t","1","0","0","0","0","0","1","0","0","0","0","0.9297125","1.2305649","0.9602978","0.9079295","0.359994391","0.3918359","1.9224018"
"17","t","1","0","0","0","0","0","0","1","0","0","0","0.9840256","1.5747084","0.9044665","0.8088106","0.005654095","0.8784275","1.2518748"
"18","t","1","0","0","0","0","0","0","0","1","0","0","0.4952077","1.5346783","0.6085608","0.1784141","1.439928605","0.7039522","1.5032336"
"19","t","0","1","0","0","0","0","0","0","0","0","0","0.9297125","1.0954994","1.0440447","0.6105727","0.312765883","0.6456657","0.4310118"
"20","t","0","1","0","1","0","0","0","0","0","0","0","0.8019169","0.8008896","1.0217122","0.5629956","0.150050186","0.7507343","1.0185664"
"21","t","0","1","0","0","1","0","0","0","0","0","0","0.7156550","0.9185319","0.9323821","0.5114537","1.347598498","0.9074517","1.5089232"
"22","t","0","1","0","0","0","1","0","0","0","0","0","0.7284345","0.8911732","0.8765509","0.2775330","0.531253606","0.7360129","0.6826522"
"23","t","0","1","0","0","0","0","0","1","0","0","0","1.1597444","1.7595955","1.0049628","0.8405286","0.010542356","0.9019877","1.0628435"
"24","t","0","1","0","0","0","0","0","0","1","0","0","0.3929712","1.0354543","0.5862283","0.1625551","0.370378840","0.8088727","0.5258720"
"25","t","0","0","1","0","0","0","0","0","0","0","0","0.8913738","1.0435179","0.9937965","0.4480176","0.685147582","1.1046844","0.7413554"
"26","t","0","1","1","0","0","0","0","0","0","0","0","0.8146965","1.2759228","1.0384615","0.5074890","0.653257030","1.1419110","0.6650343"
"27","t","0","0","1","1","0","0","0","0","0","0","0","0.8849840","0.6504168","0.9658809","0.4837004","0.099895522","0.8306659","0.8417783"
"28","t","0","0","1","0","1","0","0","0","0","0","0","0.6549521","1.2533158","1.0217122","0.3171806","1.083222813","0.7879001","0.8653836"
"29","t","0","0","1","0","0","1","0","0","0","0","0","0.8242812","1.1424412","0.7648883","0.3290749","0.915805157","0.9402911","0.6076516"
"30","t","0","0","1","0","0","0","1","0","0","0","0","0.6421725","1.2524519","0.8933002","0.3488987","0.457421275","0.2970574","0.5687263"
