"";"Cell_type.XX";"path_name";"lv.XX";"hv.XX";"value.XX";"CI.XX";"Cell_type.XO";"lv.XO";"hv.XO";"value.XO";"CI.XO";"non_overlap"
"1";"XX";"NoLif->Lifr->Jak->Gsk3";-0,017;0,003;-0,005;"-0.017  :  0.003";"XO";-0,549;-0,089;-0,248;"-0.549  :  -0.089";"yes"
"2";"XX";"NoLif->Lifr->Jak->Fgfr->Ras->Raf->Mek->Erk";-0,489;2,244;0,327;"-0.489  :  2.244";"XO";-14,528;1,078;-3,256;"-14.528  :  1.078";""
"3";"XX";"NoLif->Lifr->Jak->Bmp4r";-17,12;-1,075;-6,242;"-17.12  :  -1.075";"XO";-18,587;-0,685;-5,753;"-18.587  :  -0.685";""
"4";"XX";"NoLif->Lifr->Akt->mTor";0;0,009;0,002;"0  :  0.009";"XO";0,004;0,569;0,104;"0.004  :  0.569";""
"5";"XX";"NoLif->Lifr->Akt->Gsk3";0;0,014;0,004;"0  :  0.014";"XO";0,007;0,924;0,17;"0.007  :  0.924";""
"6";"XX";"Gsk3->Lifr->Jak->Stat3";0,024;0,532;0,22;"0.024  :  0.532";"XO";0,047;0,435;0,197;"0.047  :  0.435";""
"7";"XX";"Gsk3->Lifr->Akt->mTor";-0,003;0;-0,001;"-0.003  :  0";"XO";-0,118;-0,001;-0,02;"-0.118  :  -0.001";""
"8";"XX";"Gsk3->Igfr";0,721;1,321;0,981;"0.721  :  1.321";"XO";0,488;1,938;0,958;"0.488  :  1.938";""
"9";"XX";"Fgf4->Fgfr->Pi3k->Akt->mTor";-0,007;0,003;-0,001;"-0.007  :  0.003";"XO";-0,013;0,304;0,02;"-0.013  :  0.304";""
"10";"XX";"Fgf4->Fgfr->Pi3k->Akt->Gsk3";-0,011;0,004;-0,001;"-0.011  :  0.004";"XO";-0,021;0,493;0,032;"-0.021  :  0.493";""
"11";"XX";"Bmp4r->Smad2";0,007;0,057;0,027;"0.007  :  0.057";"XO";0,005;0,045;0,025;"0.005  :  0.045";""
"12";"XX";"Bmp4r->Fgfr->Ras->Raf->Mek->Erk";0,039;0,233;0,1;"0.039  :  0.233";"XO";-0,131;1,124;0,282;"-0.131  :  1.124";""
"13";"XX";"Activin->Actr->Ras->Raf->Mek->Erk";-1,141;-0,159;-0,552;"-1.141  :  -0.159";"XO";-7,946;-0,62;-3,018;"-7.946  :  -0.62";""
