"",".id","Gsk3_p.a_mean","Gsk3_p.a_pvalue","Mek_p.a_mean","Mek_p.a_pvalue","mTor_p.a_mean","mTor_p.a_pvalue","Akt_p.a_mean","Akt_p.a_pvalue","Erk_p.a_mean","Erk_p.a_pvalue","Stat3_p.a_mean","Stat3_p.a_pvalue","Smad2_p.a_mean","Smad2_p.a_pvalue","bCatenin.a_mean","bCatenin.a_pvalue","x_status","Perturbation1","Perturbation2"
"1","Activin+Bmp4ri",0.111090782219343,0.240738008868709,0.174058635648129,0.401013331173673,0.170797277218273,0.127239858202937,-0.613011193648438,0.645074759289762,-1.45661717042476,0.0107878702502497,-0.0645601506004153,0.6575196948379,0.143690661072829,0.0108428841705348,-0.202897906003867,0.609955729627706,"XX","Activin","Bmp4ri"
"2","Activin+Fgf4",0.26022296406774,0.226260120202719,0.716048478835556,0.0751030671842112,-0.0652096884902287,0.58262496766431,-0.00545936041239195,0.951970641761026,0.656441359624022,0.0626405867891364,-0.126829559700164,0.386559526155394,0.90242015890425,0.0224754932800249,-0.149226916990923,0.211630464001102,"XX","Activin","Fgf4"
"3","Activin+Fgfri",-0.276832493226039,0.399663708542969,-1.31852623079685,0.146545996647652,0.000682937626989002,0.996955046192933,-1.13123630833716,0.202182442493909,-3.07354419125308,0.0122193526785582,-0.241259163224797,0.311627312485647,0.294346888380111,0.404071183123211,-0.254942884979268,0.642832438724023,"XX","Activin","Fgfri"
"4","Activin+Gsk3i",-0.662617935872458,0.251846598948015,0.0187776064570673,0.904688159220608,-0.012921590533677,0.902326807643472,-1.22107542567044,0.322341421564585,-1.41860356350135,0.0567256862145412,-0.0811438340307538,0.491472302981199,0.803276811356186,0.0148231438453409,-0.372405069679665,0.2014029472443,"XX","Activin","Gsk3i"
"5","Activin+Igfri",-0.392889928507403,0.18801358787288,-0.021394434208683,0.902777087926442,-0.256793242640095,0.0797749618352642,-1.33828453355575,0.0850737478340766,-0.679999477850093,0.208729134628107,0.066836232823369,0.782645191848457,0.792495623042619,0.0454185064778911,-0.242051765006152,0.531981711269865,"XX","Activin","Igfri"
"6","Activin+Jaki",-0.44751824973901,0.313048509732463,0.0346759295019364,0.818200609067605,-0.0478029641018552,0.660487437552993,-0.859802604780995,0.444007418181723,-1.5992464909964,0.00153243565103716,-1.56244441041252,0.00453297991188374,0.814377790161189,0.0154374745733369,-0.0302735593357731,0.931211913260487,"XX","Activin","Jaki"
"7","Activin+Meki",-0.307253864599248,0.469081091679436,0.477104551150394,0.036589200196512,-0.05169758968214,0.639732427818655,-0.463286372901568,0.20820468939267,-7.99927334118667,0.00168723455729425,-0.150228292744183,0.225053790684904,0.544466722624818,0.0832324742271322,-0.249223799587531,0.11848205101513,"XX","Activin","Meki"
"8","Activin",0.084150540541612,0.656068526298646,0.196004362883904,0.098864507075466,0.193128709142062,0.0495645011079735,-0.147144531967988,0.853484481050818,-0.907934634007736,0.079640943543696,-0.272745472560007,0.21768551438323,0.562514511245629,0.00714061746822909,-0.369161285972832,0.218089308049987,"XX","Activin",NA
"9","Activin+Pi3ki",-1.31756595221728,0.0565224232940256,0.188990001234646,0.477780097102649,-0.719183990153688,0.0235031715312766,-2.57424289341293,0.0216417150428523,-0.307164600405994,0.569988691661012,-0.0671418138513923,0.792911646934485,0.869786166946277,0.0297275727741401,-0.265915007549284,0.326589462054852,"XX","Activin","Pi3ki"
"10","Bmp4ri+Gsk3i",-0.289548791601542,0.126063767422172,0.340085758830531,0.375924832601146,-0.0343130520795017,0.421793986871278,-0.848912188908146,0.0882308387148297,0.398377111175409,0.00124424073255414,-0.228862401423022,0.161938800917419,0.0256056776555283,0.938703412661373,0.492075731261402,0.161992391051484,"XX","Bmp4ri","Gsk3i"
