"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","Replicate","x_status","Perturbation1","Perturbation2","Category","Treatment_id"
"...1",0.0371849203336458,-0.335835668250457,0.029653274014377,0.0104467874351226,-1.53699025419395,0.348311158684724,-0.0420728461619625,"R3","XO","Activin","Bmp4ri","Exp_XO","Activin+Bmp4ri"
"...2",-0.330902164018624,1.01683595006801,-0.0830045267550867,-0.626983133180176,-0.435675110194754,-0.147131132674311,1.70567002674272,"R3","XO","Activin","Fgf4","Exp_XO","Activin+Fgf4"
"...3",-0.169689593912885,-1.27074064002857,-0.135200737880515,-0.555900035118693,-2.7868833576111,-0.00723752997507087,1.50260591164384,"R3","XO","Activin","Fgfri","Exp_XO","Activin+Fgfri"
"...4",-0.76741939070792,-0.284954499248274,-0.221240568947205,-0.934411658372424,-1.83157354223829,0.178951148237684,1.52338635609664,"R3","XO","Activin","Gsk3i","Exp_XO","Activin+Gsk3i"
"...5",-0.201822214853695,0.201492260831809,-0.466651606886383,-0.916489750375161,-1.49251487699959,0.134869941900557,1.41932138322729,"R3","XO","Activin","Igfri","Exp_XO","Activin+Igfri"
"...6",-0.846490961699119,0.0168359500680144,-0.419654127349213,-0.279059829759869,-1.57783099120153,-1.27626783943601,1.06135894440561,"R3","XO","Activin","Jaki","Exp_XO","Activin+Jaki"
"...7",0.17368692023851,3.29822138199887,0.0828462131799637,0.0197846520144466,-1.73776417531343,-0.147718660364936,1.49257247144486,"R3","XO","Activin","Meki","Exp_XO","Activin+Meki"
"...8",0.11228637557437,-0.313809361920459,0.102298575846147,0.0474409949173179,-1.80926247490127,-0.289617217730636,2.13195680176872,"R3","XO","Activin",NA,"Exp_XO","Activin+NA"
"...9",-1.5699733265017,-0.1882784798366,-0.897701424153858,-1.86402233048103,-2.06609082162065,-0.256175835982946,1.98926707931312,"R3","XO","Activin","Pi3ki","Exp_XO","Activin+Pi3ki"
"...10",-0.665321203089183,0.231759700500613,-0.237450796128466,-0.717180942151755,0.379722277011362,-0.494097849676142,-0.320353236045509,"R3","XO","Bmp4ri","Gsk3i","Exp_XO","Bmp4ri+Gsk3i"
"...11",0.0426809080884954,-0.161806268475409,0.16530837337194,-0.201057317758597,-1.77950676726909,0.0602750607417997,-1.06572190819985,"R3","XO","Bmp4ri",NA,"Exp_XO","Bmp4ri+NA"
"...12",-0.234686848759321,-0.0976759310556936,0.063127978565461,-0.701750901582148,-0.325950199827014,0.304861612635549,-0.486225016182597,"R3","XO","Fgf4","Bmp4ri","Exp_XO","Fgf4+Bmp4ri"
"...13",-0.234686848759321,-1.14875011564996,-0.120093845490305,-0.488155428482859,-3.24796286495607,0.122731163203135,0.00356232151962008,"R3","XO","Fgf4","Fgfri","Exp_XO","Fgf4+Fgfri"
"...14",-0.561609853567077,0.342236236862176,-0.097726032461852,-1.21194563390133,1.41542556766969,-0.926010444110059,-0.0887806999994845,"R3","XO","Fgf4","Gsk3i","Exp_XO","Fgf4+Gsk3i"
"...15",-0.441649229526162,0.718612115771923,-0.428931940937225,-1.14781529648162,0.396713105784287,0.134377921029597,0.628413328969247,"R3","XO","Fgf4","Igfri","Exp_XO","Fgf4+Igfri"
"...16",-1.15074803025943,0.0680612734231808,-0.392173390927108,-1.19025056280201,-0.32460371717379,-3.46821668723439,0.0998580432340811,"R3","XO","Fgf4","Jaki","Exp_XO","Fgf4+Jaki"
"...17",-0.0478708496191237,4.32625294774103,-0.0397204290262862,-0.279059829759869,-0.915065212404683,0.00533003401414341,-0.347471816087069,"R3","XO","Fgf4","Meki","Exp_XO","Fgf4+Meki"
"...18",-0.214878367679141,0.251590872422184,0.0091891714546641,-0.528419298696587,0.00937199350597443,-0.00852440237519332,0.11333707874625,"R3","XO","Fgf4",NA,"Exp_XO","Fgf4+NA"
"...19",-1.6924573330267,0.360614766177032,-0.705056346211461,-1.97093753439754,0.216868878131315,0.0370835150110298,-0.0630030476863686,"R3","XO","Fgf4","Pi3ki","Exp_XO","Fgf4+Pi3ki"
"...20",-0.254771094802654,-0.685778139307417,-0.575773329266496,-0.46192388690968,-1.70934859187577,-0.322719721712849,-0.0452354189979643,"R3","XO","Fgfri","Igfri","Exp_XO","Fgfri+Igfri"
"...21",-0.101420317895858,-0.909742980462619,0.219756157394322,0.80974943719799,-2.78299188074887,0.286280537764523,-0.447709318171451,"R3","XO","Fgfri",NA,"Exp_XO","Fgfri+NA"
"...22",-1.5699733265017,-0.75334142312005,-0.990810828545339,-1.93441165837242,-2.10297015573081,-0.580295510287191,0.00559400813763813,"R3","XO","Fgfri","Pi3ki","Exp_XO","Fgfri+Pi3ki"
"...23",-0.647509926972724,-0.116617494709153,-0.0540046550325335,-0.830074998557688,0.206889131725076,-0.422520894787238,0.185133356751264,"R3","XO","Gsk3i",NA,"Exp_XO","Gsk3i+NA"
"...24",-0.309737554020583,-0.0544227331018091,-0.485887825749301,-1.23397194023133,-1.37562626462978,0.0164234438288697,-0.547317270870528,"R3","XO","Igfri",NA,"Exp_XO","Igfri+NA"
"...25",-1.06550074364092,0.101228137358389,-0.438269805516562,-1.42344973909505,0.716914963763407,-1.83413996973418,-0.381788737890929,"R3","XO","Jaki","Bmp4ri","Exp_XO","Jaki+Bmp4ri"
"...26",-1.2683176266406,0.536614282029032,-0.253845234379134,-1.30214344287291,0.887815940118325,-2.09649902134716,-0.317009520492882,"R3","XO","Jaki","Gsk3i","Exp_XO","Jaki+Gsk3i"
"...27",-0.806413522323782,0.101228137358389,-0.270428118574738,-0.881300321912861,1.09958022017522,-1.4454877251889,-0.0963239453083537,"R3","XO","Jaki",NA,"Exp_XO","Jaki+NA"
"...28",-0.0833487449738393,3.2423289422108,-0.374139468096845,0.416085588711715,-1.21395106391229,-0.0497601442511369,-0.196074809247087,"R3","XO","Meki","Igfri","Exp_XO","Meki+Igfri"
"...29",-0.0773748439292063,3.22299710064605,0.0958435537088489,-0.0864147518174734,-1.95815218218958,-0.0990099034355591,-0.201657065215874,"R3","XO","Meki",NA,"Exp_XO","Meki+NA"
"...30",-1.7294515405089,4.00957526518642,-1.26211285036273,-1.86402233048103,-0.737667517274114,-0.34277518508355,1.28485467778875,"R3","XO","Meki","Pi3ki","Exp_XO","Meki+Pi3ki"
"...31",-0.188883159146197,-0.459350204735812,-0.0115693887121363,0.0923884009712884,-1.89057891415594,-1.62709736012767,-0.14326679492161,"R3","XO","NoLif",NA,"Exp_XO","NoLif+NA"
"...32",-1.60392065842504,-0.085184986872496,-0.910640479861357,-1.8987877486417,-0.709444028412274,-0.23521736945441,-0.256388923893555,"R3","XO","Pi3ki",NA,"Exp_XO","Pi3ki+NA"
"...33",-0.199681068589525,-0.433573450716271,-0.0654820030824636,NA,-1.94242297361403,-0.099402142220948,0.0869260634898494,"R4","XO","Activin","Bmp4ri","Exp_XO","Activin+Bmp4ri"
"...34",0.39677707096946,1.50610708000991,0.0875973269219282,NA,2.4012378634841,-0.303318494177403,1.12120641986672,"R4","XO","Activin","Fgf4","Exp_XO","Activin+Fgf4"
"...35",-0.319975302307238,-1.08210108021489,-0.445070666357019,NA,-3.05898544226248,-0.21121433209316,1.37263497943182,"R4","XO","Activin","Fgfri","Exp_XO","Activin+Fgfri"
"...36",-0.689731922285215,-0.302869759071677,-0.390104207139091,NA,-1.40402858290875,-0.183952765992445,1.84285179604068,"R4","XO","Activin","Gsk3i","Exp_XO","Activin+Gsk3i"
"...37",-0.258574757643093,0.208291441239362,-0.531658351353109,NA,-0.629602374821116,0.202344060093259,1.57427886373554,"R4","XO","Activin","Igfri","Exp_XO","Activin+Igfri"
"...38",-1.05694089647344,-0.384663850235324,-0.487715003765511,NA,-1.80202741505204,-2.13920733647785,1.59331517415403,"R4","XO","Activin","Jaki","Exp_XO","Activin+Jaki"
"...39",0.285745758580718,4.28114578064345,0.217156960690842,NA,-2.89941393546658,0.249686941136269,1.23359580837049,"R4","XO","Activin","Meki","Exp_XO","Activin+Meki"
"...40",-0.0993761627938401,-0.24716032648539,-0.0981481920027862,NA,-1.24968348933411,-0.00820157934948132,1.27538001015941,"R4","XO","Activin",NA,"Exp_XO","Activin+NA"
"...41",-1.21126904286474,0.790594595510025,-0.756531762193312,NA,-0.1274920682496,0.327294479878654,1.79269056200517,"R4","XO","Activin","Pi3ki","Exp_XO","Activin+Pi3ki"
"...42",-1.35811043119401,0.469996786600632,0.475759120209372,NA,1.56177593825824,-0.43017959585493,-0.326755046637454,"R4","XO","Bmp4ri","Gsk3i","Exp_XO","Bmp4ri+Gsk3i"
"...43",-0.437544898688413,-0.269186632815389,-0.0547555964894057,NA,-2.3758117288163,0.310358461789368,-0.0839013268897628,"R4","XO","Bmp4ri",NA,"Exp_XO","Bmp4ri+NA"
"...44",-0.493040011280116,0.0303736490435178,-0.120343938116983,NA,0.194149331306371,0.0109494249464235,-0.389032258554342,"R4","XO","Fgf4","Bmp4ri","Exp_XO","Fgf4+Bmp4ri"
"...45",-0.319975302307238,-0.848610949995116,-0.189056688200996,NA,-1.93452213107887,-0.177614046468698,-0.198808999517691,"R4","XO","Fgf4","Fgfri","Exp_XO","Fgf4+Fgfri"
"...46",-1.30748435812404,0.922764674956919,0.64321586606094,NA,1.3053704866117,-0.514718441684066,-0.00762936725529208,"R4","XO","Fgf4","Gsk3i","Exp_XO","Fgf4+Gsk3i"
"...47",-0.507253870499818,0.270687978377224,-0.516861349425029,NA,1.30629311577337,0.0474828296743137,0.148558541709962,"R4","XO","Fgf4","Igfri","Exp_XO","Fgf4+Igfri"
