"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Perturbation1","Perturbation2","Category"
"Activin...1",0,-0.172224083330944,0,0,-0.594827986342759,0,0.615393734078602,"XX","Activin",NA,"Sim_Final"
"Bmp4ri...2",-0.162589347763188,-0.296118807721676,-0.0811481008601622,-0.352805956192932,-1.02273590724727,-0.0358298425895071,-0.376102763012118,"XX","Bmp4ri",NA,"Sim_Final"
"Activin+Bmp4ri...3",-0.162589347763188,-0.46834289105262,-0.0811481008601622,-0.352805956192932,-1.61756389359003,-0.0358298425895071,0.239290971066485,"XX","Activin","Bmp4ri","Sim_Final"
"Fgf4...4",-0.0827749910543981,-0.150755458444309,-0.0413128745221656,-0.179615148652563,-0.520679593946759,-0.0182411390452631,-0.0033806183931236,"XX","Fgf4",NA,"Sim_Final"
"Activin+Fgf4...5",-0.0827749910543981,-0.322979541775253,-0.0413128745221656,-0.179615148652563,-1.11550758028952,-0.0182411390452631,0.612013115685479,"XX","Activin","Fgf4","Sim_Final"
"Fgf4+Bmp4ri...6",-0.243902995941793,-0.444212768866157,-0.121731621333569,-0.529250107005151,-1.53422321490692,-0.0537489452533633,-0.376102993324132,"XX","Fgf4","Bmp4ri","Sim_Final"
"Fgfri...7",-0.489037709704784,-0.890668826223723,-0.244077991193785,-1.06117294374104,-3.07619430543217,-0.107769324375276,-0.0199728185445833,"XX","Fgfri",NA,"Sim_Final"
"Activin+Fgfri...8",-0.489037709704784,-1.06289290955467,-0.244077991193785,-1.06117294374104,-3.67102229177493,-0.107769324375276,0.595420915534019,"XX","Activin","Fgfri","Sim_Final"
"Bmp4ri+Fgfri...9",-0.535959610022641,-0.976126190862374,-0.267496641627697,-1.16298973638937,-3.37134717338786,-0.118109511635502,-0.376103820542546,"XX","Bmp4ri","Fgfri","Sim_Final"
"Fgf4+Fgfri...10",-0.51395417362607,-0.936048389463978,-0.256513761157682,-1.1152396891929,-3.23292635882011,-0.113260169824063,-0.020990433347689,"XX","Fgf4","Fgfri","Sim_Final"
"Gsk3i...11",-0.623005514299116,-0.00985413416398506,-0.310932133352674,-1.35183334490644,-0.034034234170672,-0.140336267082905,-0.0260084287798883,"XX","Gsk3i",NA,"Sim_Final"
"Activin+Gsk3i...12",-0.623005514299116,-0.182078217494929,-0.310932133352674,-1.35183334490644,-0.628862220513432,-0.140336267082905,0.589385305298714,"XX","Activin","Gsk3i","Sim_Final"
"Bmp4ri+Gsk3i...13",-0.710213659149698,-0.286610608364392,-0.354458530767831,-1.54107218225337,-0.989896463610525,-0.159235156001294,-0.376104349125375,"XX","Bmp4ri","Gsk3i","Sim_Final"
"Fgf4+Gsk3i...14",-0.670333073481533,-0.160048917395287,-0.334553758984004,-1.45453260871367,-0.552777366610444,-0.150592628863097,-0.0279092336142033,"XX","Fgf4","Gsk3i","Sim_Final"
"Fgfri+Gsk3i...15",-0.901179266681724,-0.892643087608791,-0.449771244279938,-1.9554613382723,-3.08301301453186,-0.200619338753534,-0.0371806511053705,"XX","Fgfri","Gsk3i","Sim_Final"
"Igfri...16",-0.685156955855443,-0.0106020886957634,-0.341960814307341,-1.48673611327167,-0.0366175214752628,-0.150988156451444,-0.0279825364839875,"XX","Igfri",NA,"Sim_Final"
"Activin+Igfri...17",-0.685156955855443,-0.182826172026708,-0.341960814307341,-1.48673611327167,-0.631445507818022,-0.150988156451444,0.587411197594615,"XX","Activin","Igfri","Sim_Final"
"Bmp4ri+Igfri...18",-0.766886093621327,-0.285858332249574,-0.382751705013784,-1.66408184345022,-0.987298250411203,-0.16899882062726,-0.376104474616551,"XX","Bmp4ri","Igfri","Sim_Final"
"Fgf4+Igfri...19",-0.729743839705878,-0.16076662604347,-0.364214061506569,-1.58348610585684,-0.555256190603714,-0.160813775730294,-0.0298035120916778,"XX","Fgf4","Igfri","Sim_Final"
"Fgfri+Igfri...20",-0.94710384324361,-0.892815191685059,-0.47269811493752,-2.05514002993754,-3.0836074280375,-0.208713437172783,-0.0386807250823279,"XX","Fgfri","Igfri","Sim_Final"
"Gsk3i+Igfri...21",-0.90339464693852,-0.014120803162381,-0.450876961201772,-1.96026864136074,-0.0487704666395655,-0.201099434109959,-0.0372696268644148,"XX","Gsk3i","Igfri","Sim_Final"
"Jaki...22",-0.502516596111076,-0.121149471767307,-0.246037919879142,-1.06969408602999,-0.418426360263223,-1.72533317934996,-0.319754871990377,"XX","Jaki",NA,"Sim_Final"
"Activin+Jaki...23",-0.502516596111076,-0.293373555098251,-0.246037919879142,-1.06969408602999,-1.01325434660599,-1.72533317934996,0.295638862088225,"XX","Activin","Jaki","Sim_Final"
"Bmp4ri+Jaki...24",-0.526152679515348,-0.165793873045884,-0.257844240306254,-1.12102418646679,-0.572619309358413,-1.72729515633672,-0.376124503206968,"XX","Bmp4ri","Jaki","Sim_Final"
"Fgf4+Jaki...25",-0.581897887117552,-0.271086758291875,-0.285689199725737,-1.24208515313159,-0.936280149908458,-1.73192243796231,-0.320976054988144,"XX","Fgf4","Jaki","Sim_Final"
"Fgfri+Jaki...26",-0.928530550432826,-0.925814847232071,-0.458833634173935,-1.99486170744981,-3.19758172407898,-1.7606956190622,-0.326308569860905,"XX","Fgfri","Jaki","Sim_Final"
"Gsk3i+Jaki...27",-0.900374902345436,-0.123522115375913,-0.44476751576154,-1.93370672903622,-0.42662100292132,-1.75912284991957,-0.326017089582258,"XX","Gsk3i","Jaki","Sim_Final"
"Igfri+Jaki...28",-0.945634064611404,-0.123732242264909,-0.467376909528321,-2.03200513284701,-0.427346739716315,-1.7621153424841,-0.32657168627602,"XX","Igfri","Jaki","Sim_Final"
"Meki...29",0,0.636864854123174,0,0,-6.48920867991664,0,0,"XX","Meki",NA,"Sim_Final"
"Activin+Meki...30",0,0.423886631477349,0,0,-6.6687804107564,0,0.615393734078602,"XX","Activin","Meki","Sim_Final"
