"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Perturbation1","Perturbation2","Category"
"Activin...1",0,0,0,0,0,0,0.473088900369067,"XX","Activin",NA,"Sim_Init"
"Bmp4ri...2",0,0,0,0,0,0,0,"XX","Bmp4ri",NA,"Sim_Init"
"Activin+Bmp4ri...3",0,0,0,0,0,0,0.473088900369067,"XX","Activin","Bmp4ri","Sim_Init"
"Fgf4...4",-0.343555699846334,-0.477425969613162,-0.179336643469613,-0.743577173752551,-1.4983038414762,0,0,"XX","Fgf4",NA,"Sim_Init"
"Activin+Fgf4...5",-0.343555699846334,-0.477425969613162,-0.179336643469613,-0.743577173752551,-1.4983038414762,0,0.473088900369067,"XX","Activin","Fgf4","Sim_Init"
"Fgf4+Bmp4ri...6",-0.343555699846334,-0.477425969613162,-0.179336643469613,-0.743577173752551,-1.4983038414762,0,0,"XX","Fgf4","Bmp4ri","Sim_Init"
"Fgfri...7",-0.682469312600676,-0.948401011671013,-0.356250109800428,-1.47710721394941,-2.97636276509625,0,0,"XX","Fgfri",NA,"Sim_Init"
"Activin+Fgfri...8",-0.682469312600676,-0.948401011671013,-0.356250109800428,-1.47710721394941,-2.97636276509625,0,0.473088900369067,"XX","Activin","Fgfri","Sim_Init"
"Bmp4ri+Fgfri...9",-0.682469312600676,-0.948401011671013,-0.356250109800428,-1.47710721394941,-2.97636276509625,0,0,"XX","Bmp4ri","Fgfri","Sim_Init"
"Fgf4+Fgfri...10",-0.739825585303324,-1.02810678898953,-0.386190179003243,-1.60124666258115,-3.22650305897457,0,0,"XX","Fgf4","Fgfri","Sim_Init"
"Gsk3i...11",0,0,0,0,0,0,0,"XX","Gsk3i",NA,"Sim_Init"
"Activin+Gsk3i...12",0,0,0,0,0,0,0.473088900369067,"XX","Activin","Gsk3i","Sim_Init"
"Bmp4ri+Gsk3i...13",0,0,0,0,0,0,0,"XX","Bmp4ri","Gsk3i","Sim_Init"
"Fgf4+Gsk3i...14",-0.343555699846334,-0.477425969613162,-0.179336643469613,-0.743577173752551,-1.4983038414762,0,0,"XX","Fgf4","Gsk3i","Sim_Init"
"Fgfri+Gsk3i...15",-0.682469312600676,-0.948401011671013,-0.356250109800428,-1.47710721394941,-2.97636276509625,0,0,"XX","Fgfri","Gsk3i","Sim_Init"
"Igfri...16",-0.801583159578431,0,-0.418427734905464,-1.73491209895096,0,0,0,"XX","Igfri",NA,"Sim_Init"
