"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Treatment_id","Perturbation1","Perturbation2","Category"
"Activin...1",0.433903112827476,0.772462342001224,0.775486964930284,-0.0512436233016737,-3.31013203174324,-1.18838409593008,0.374427847554188,"XX","Activin","Activin",NA,"Sim_Init"
"Bmp4ri...2",-1.04524142396177,0.0583851573137484,0.167422927881206,-6.69092784209922,-9.01717477200887,-1.85878262929878,-1.29666206937377,"XX","Bmp4ri","Bmp4ri",NA,"Sim_Init"
"Activin+Bmp4ri...3",0.463977378976241,0.750701552557812,0.682962217038779,-1.45955869355945,-6.978670845187,-0.230994891995352,-1.56982507055206,"XX","Activin+Bmp4ri","Activin","Bmp4ri","Sim_Init"
"Fgf4...4",0.942457986416636,1.86019721497942,1.1899261519411,-0.990599730741281,1.65283214884638,-0.195658846944259,0.0790774808508378,"XX","Fgf4","Fgf4",NA,"Sim_Init"
"Activin+Fgf4...5",2.13657470964846,3.49440202992742,0.474084358757913,2.45544732925733,3.16749252396741,-0.520361961345451,1.61615665666354,"XX","Activin+Fgf4","Activin","Fgf4","Sim_Init"
"Fgf4+Bmp4ri...6",0.71066933477351,2.46646106662826,1.14823327688232,-1.50275258315472,1.68563063324775,-0.157930003720519,-4.30194439017338,"XX","Fgf4+Bmp4ri","Fgf4","Bmp4ri","Sim_Init"
"Fgfri...7",1.31311805167629,-0.816454896640498,1.55001570724585,0.5935590636068,0.248837727950193,0.535669452950207,0.802553066451859,"XX","Fgfri","Fgfri",NA,"Sim_Init"
"Activin+Fgfri...8",1.6886202308678,-0.590472057114062,1.38868262253407,1.45969247530622,-0.0300700059295858,-0.999338675865621,-0.56819562843786,"XX","Activin+Fgfri","Activin","Fgfri","Sim_Init"
"Bmp4ri+Fgfri...9",1.65600668408133,0.507135993739506,1.53728031259456,1.62504500487638,0.742602085589253,-0.626504241774098,-0.549773667283809,"XX","Bmp4ri+Fgfri","Bmp4ri","Fgfri","Sim_Init"
"Fgf4+Fgfri...10",1.51968962766767,-1.39117790290052,0.988396998532518,1.68612071164779,-0.560391109728129,-0.661806885509039,-1.57894858955392,"XX","Fgf4+Fgfri","Fgf4","Fgfri","Sim_Init"
"Gsk3i...11",-4.69073113958626,0.0763769893615157,0.0560896503554356,-14.1777999701753,-1.6860442075441,0.0658279295980258,-0.250374165002713,"XX","Gsk3i","Gsk3i",NA,"Sim_Init"
"Activin+Gsk3i...12",-2.82857204837822,0.143156844544638,-0.0101587020409231,-6.71485094775419,-6.15257072307756,-0.325650430957827,1.27536361521719,"XX","Activin+Gsk3i","Activin","Gsk3i","Sim_Init"
"Bmp4ri+Gsk3i...13",-1.32769940517122,1.48021268122467,-0.155539426382653,-4.87378195037717,0.984179562374986,-1.01647885294877,0.345931299989544,"XX","Bmp4ri+Gsk3i","Bmp4ri","Gsk3i","Sim_Init"
"Fgf4+Gsk3i...14",-2.68983953027522,1.9564307684695,0.712045797369084,-6.94949891641629,2.65094036393883,-0.916256568047913,-0.767623053210181,"XX","Fgf4+Gsk3i","Fgf4","Gsk3i","Sim_Init"
"Fgfri+Gsk3i...15",-0.131730792810849,-0.484056928670398,1.14853718963829,-1.69171085039269,-0.979137527916325,-0.536985302638379,-1.47218056263886,"XX","Fgfri+Gsk3i","Fgfri","Gsk3i","Sim_Init"
"Igfri...16",0.9969703320106,-1.81953759746034,0.379164992470042,-1.31307677814899,-4.12391295327479,-0.642569933473389,-1.42915540503992,"XX","Igfri","Igfri",NA,"Sim_Init"
"Activin+Igfri...17",1.58594201242798,-0.024637304960863,0.649007951818623,1.50623548705207,-2.0109205729403,0.396250326954933,1.28781858296739,"XX","Activin+Igfri","Activin","Igfri","Sim_Init"
"Bmp4ri+Igfri...18",1.54808732682761,-0.179897379778937,0.655275660324295,-0.620330842921436,-2.0377893207183,-1.10540268306877,-2.95338706612852,"XX","Bmp4ri+Igfri","Bmp4ri","Igfri","Sim_Init"
"Fgf4+Igfri...19",2.18405542349614,1.26071560816643,0.672924284462221,2.95077215595837,2.12374917732417,0.476390625618905,-0.314579383753401,"XX","Fgf4+Igfri","Fgf4","Igfri","Sim_Init"
"Fgfri+Igfri...20",2.96344686949649,-0.756313492959923,1.05956173622317,4.72885361336617,1.68818828475256,-1.41113622456894,-3.03843179654761,"XX","Fgfri+Igfri","Fgfri","Igfri","Sim_Init"
"Gsk3i+Igfri...21",-1.42631715950072,0.451644991549975,-0.434384508924249,-3.51251820643065,-1.15765415613351,-0.601811483694387,-0.0729620579676864,"XX","Gsk3i+Igfri","Gsk3i","Igfri","Sim_Init"
"Jaki...22",-2.79709537123316,0.118000070400658,-0.0777306602888882,-11.6167475422304,-3.28378584280691,-0.516946111955459,0.171463601056192,"XX","Jaki","Jaki",NA,"Sim_Init"
"Activin+Jaki...23",-1.81194504631343,0.159847795517437,-0.183921243363498,-3.73671990950669,-8.23495588515802,0.828199775228122,1.31378686465099,"XX","Activin+Jaki","Activin","Jaki","Sim_Init"
"Bmp4ri+Jaki...24",-2.0123760146188,2.00100258846637,0.325043720660777,-7.65829587111198,-0.612431927060081,-0.198885926557255,-2.44439947753393,"XX","Bmp4ri+Jaki","Bmp4ri","Jaki","Sim_Init"
"Fgf4+Jaki...25",-0.872885460519496,2.27842889421338,0.247362820769989,-4.19705333899624,1.34131594206874,0.0272715080518744,-2.23225695689225,"XX","Fgf4+Jaki","Fgf4","Jaki","Sim_Init"
"Fgfri+Jaki...26",-0.59488962517828,-1.38179169660052,0.63398484197439,0.415603355112631,-2.90419148576059,0.482905706083775,-1.09266729614419,"XX","Fgfri+Jaki","Fgfri","Jaki","Sim_Init"
"Gsk3i+Jaki...27",-5.84165489944339,1.52824687083984,-0.730691942444277,-14.908921987695,-1.10050703199181,-0.90394257092329,-0.0564476308795789,"XX","Gsk3i+Jaki","Gsk3i","Jaki","Sim_Init"
"Igfri+Jaki...28",-0.623880896280063,0.238911627202607,-1.03800548640871,-1.22573265325243,-0.983173091330945,0.319968218232821,0.0908033046348315,"XX","Igfri+Jaki","Igfri","Jaki","Sim_Init"
"Meki...29",-0.314771630322136,2.12998239863329,0.17426658965693,-6.2736420578436,2.14012040428764,0.837934581383704,0.176979680735304,"XX","Meki","Meki",NA,"Sim_Init"
"Activin+Meki...30",-1.09760669460427,1.73585469457308,-0.148274838904278,-2.27213087489838,-0.0497454674853084,-0.647315969208385,0.376087436770874,"XX","Activin+Meki","Activin","Meki","Sim_Init"
"Bmp4ri+Meki...31",0.0582383702499745,1.92749970592156,-0.0416826419927513,-1.42404388356273,-1.69406173640794,-0.648052748684702,1.02649217127843,"XX","Bmp4ri+Meki","Bmp4ri","Meki","Sim_Init"
"Fgf4+Meki...32",1.18780233998842,2.71809877425685,0.843227627616798,1.43716992096558,-1.01573109165027,-0.30126092050897,-0.492202937626069,"XX","Fgf4+Meki","Fgf4","Meki","Sim_Init"
"Gsk3i+Meki...33",-1.76281777306486,2.54377898829324,0.310449082938858,-7.32721493598071,0.245191691029962,-0.109693823107335,-0.169856402178199,"XX","Gsk3i+Meki","Gsk3i","Meki","Sim_Init"
"Igfri+Meki...34",1.70924943224711,1.41330037975047,-0.015082157593054,3.7650033698578,1.86903113536431,-1.02813677595448,0.0660304786584981,"XX","Igfri+Meki","Igfri","Meki","Sim_Init"
