"","Treatment_id","pGsk3.XX_mean","pGsk3.XO_mean","pGsk3.XX_XO_pvalue","pGsk3.XX_0_pvalue","pGsk3.XO_0_pvalue","pMek.XX_mean","pMek.XO_mean","pMek.XX_XO_pvalue","pMek.XX_0_pvalue","pMek.XO_0_pvalue","pmTor.XX_mean","pmTor.XO_mean","pmTor.XX_XO_pvalue","pmTor.XX_0_pvalue","pmTor.XO_0_pvalue","pAkt.XX_mean","pAkt.XO_mean","pAkt.XX_XO_pvalue","pAkt.XX_0_pvalue","pAkt.XO_0_pvalue","pErk.XX_mean","pErk.XO_mean","pErk.XX_XO_pvalue","pErk.XX_0_pvalue","pErk.XO_0_pvalue","pStat3.XX_mean","pStat3.XO_mean","pStat3.XX_XO_pvalue","pStat3.XX_0_pvalue","pStat3.XO_0_pvalue","pSmad2.XX_mean","pSmad2.XO_mean","pSmad2.XX_XO_pvalue","pSmad2.XX_0_pvalue","pSmad2.XO_0_pvalue"
"1","Activin+Bmp4ri",0.111090782219343,-0.292710728449485,0.204486348117518,0.240738008868709,0.318472253262001,0.174058635648129,-0.346754343086607,0.0771559085389997,0.401013331173673,0.0180953619446496,0.170797277218273,0.0463198947644228,0.269510796661968,0.127239858202937,0.575494407452267,-0.613011193648438,0.013107051646719,0.638999900506916,0.645074759289762,0.127479457933133,-1.45661717042476,-1.81085886824325,0.15987625453411,0.0107878702502497,0.00567244605342393,-0.0645601506004153,-0.0159109396344057,0.843182450373704,0.6575196948379,0.941137550272888,0.143690661072829,0.246887916495774,0.694874661537204,0.0108428841705348,0.391267741430582
"2","Activin+Fgf4",0.26022296406774,-0.11800044526571,0.290208594030902,0.226260120202719,0.69300417465964,0.716048478835556,0.890347223022352,0.723224265001427,0.0751030671842112,0.154188886894834,-0.0652096884902287,-0.0338398710330378,0.805331218212245,0.58262496766431,0.635257033563478,-0.00545936041239195,-0.163711425660634,0.790732186095333,0.951970641761026,0.783750654665194,0.656441359624022,1.11506295609738,0.63872417877767,0.0626405867891364,0.311073426440882,-0.126829559700164,-0.19012279099798,0.65770350106626,0.386559526155394,0.079680503771156,0.90242015890425,1.26623304719203,0.251961165020446,0.0224754932800249,0.0298753087263069
"3","Activin+Fgfri",-0.276832493226039,-0.587006204752668,0.515582391909805,0.399663708542969,0.23088308559223,-1.31852623079685,-0.953951789243772,0.599622159322069,0.146545996647652,0.0530952739325683,0.000682937626989002,-0.337604434875264,0.159173953653374,0.996955046192933,0.0794047585110191,-1.13123630833716,-0.209919242771332,0.212015222870287,0.202182442493909,0.652814164865234,-3.07354419125308,-2.57384028400953,0.370456871676158,0.0122193526785582,0.0187844411720985,-0.241259163224797,-0.0758200458635077,0.462266421137932,0.311627312485647,0.379170574730301,0.294346888380111,1.44851730190153,0.0518024070023328,0.404071183123211,0.000726708433885001
"4","Activin+Gsk3i",-0.662617935872458,-0.845588312313008,0.708077228494691,0.251846598948015,0.0192801960689101,0.0187776064570673,-0.200293470381799,0.269687026138413,0.904688159220608,0.166166459083642,-0.012921590533677,-0.133343495566612,0.592695395240154,0.902326807643472,0.534138239617992,-1.22107542567044,-0.491387339966912,0.475168665066572,0.322341421564585,0.467079384578918,-1.41860356350135,-1.26414479854143,0.779123960146692,0.0567256862145412,0.0777021769456025,-0.0811438340307538,-0.0266926196089478,0.726358223340747,0.491472302981199,0.827096760573837,0.803276811356186,1.70681686501702,0.00277354679485209,0.0148231438453409,0.00309771135395887
"5","Activin+Igfri",-0.392889928507403,-0.669128377716029,0.609790791266624,0.18801358787288,0.267118780042985,-0.021394434208683,0.03574031068358,0.815626981180095,0.902777087926442,0.852244076532034,-0.256793242640095,-0.625421002316704,0.0825026510455641,0.0797749618352642,0.0392249298753927,-1.33828453355575,-0.390214100399565,0.301261966639061,0.0850737478340766,0.593826895062488,-0.679999477850093,-1.10087476836722,0.40841233042653,0.208729134628107,0.0487046466928173,0.066836232823369,0.148299860725161,0.739078834178408,0.782645191848457,0.0341671221732795,0.792495623042619,1.49250668473863,0.049507282672126,0.0454185064778911,0.000905323351029115
"6","Activin+Jaki",-0.44751824973901,-1.11904269959044,0.173233254416531,0.313048509732463,0.0243837690374658,0.0346759295019364,-0.187443641443429,0.277025905143192,0.818200609067605,0.247372391408357,-0.0478029641018552,-0.370364113669034,0.0643155879628553,0.660487437552993,0.0494925821636717,-0.859802604780995,-0.197268523589902,0.525577123165758,0.444007418181723,0.250220356370581,-1.5992464909964,-1.79847408932897,0.254826284535176,0.00153243565103716,0.00490131333811955,-1.56244441041252,-1.62858436869251,0.83151824888585,0.00453297991188374,0.0248047222884523,0.814377790161189,1.35558964421133,0.0528041178665464,0.0154374745733369,0.0130086400782643
"7","Activin+Meki",-0.307253864599248,-0.131290340162925,0.743476678308452,0.469081091679436,0.751876453857052,0.477104551150394,2.93391986132626,0.110871521653119,0.036589200196512,0.0828621492934941,-0.05169758968214,0.000629197901157559,0.789685049667679,0.639732427818655,0.997117020227752,-0.463286372901568,0.172440012990244,0.101184396971875,0.20820468939267,0.461304323548701,-7.99927334118667,-2.93797897037217,0.00875301924276157,0.00168723455729425,0.0529501614824059,-0.150228292744183,-0.179740935598353,0.921818317680668,0.225053790684904,0.557638137342849,0.544466722624818,1.25975615157854,0.0305100389957927,0.0832324742271322,0.0100945297794654
"8","Activin",0.084150540541612,-0.140133013911654,0.379446242204353,0.656068526298646,0.470650351336884,0.196004362883904,-0.242009644892115,0.00822436520357299,0.098864507075466,0.0301729552908149,0.193128709142062,0.0395009811142469,0.146543570200477,0.0495645011079735,0.624365189399881,-0.147144531967988,0.0316041553878166,0.823480072753502,0.853484481050818,0.295727170124705,-0.907934634007736,-1.27083942357997,0.425780616413812,0.079640943543696,0.0530361712321797,-0.272745472560007,-0.0285401893538291,0.312405683475529,0.21768551438323,0.862352839625299,0.562514511245629,1.65269154330847,0.0453953101242033,0.00714061746822909,0.0225505568011124
"9","Activin+Pi3ki",-1.31756595221728,-2.13541101400634,0.398606271550997,0.0565224232940256,0.104855895005582,0.188990001234646,-0.103152233771613,0.628800751989473,0.477780097102649,0.853721228729074,-0.719183990153688,-1.37752625878285,0.355006430147077,0.0235031715312766,0.129958640478675,-2.57424289341293,-1.18590848533986,0.285006312026982,0.0216417150428523,0.330681507116376,-0.307164600405994,-1.09679144493513,0.56137592632587,0.569988691661012,0.460765912038296,-0.0671418138513923,0.035559321947854,0.804703361137173,0.792911646934485,0.922783914168163,0.869786166946277,1.89097882065915,0.0114654805458165,0.0297275727741401,0.0330601219764308
"10","Bmp4ri+Gsk3i",-0.289548791601542,-0.920743567998363,0.0838366268461511,0.126063767422172,0.0524969668878984,0.340085758830531,0.207195379472421,0.722183220675137,0.375924832601146,0.323046122790179,-0.0343130520795017,-0.021650186454129,0.964310288041888,0.421793986871278,0.938739154259904,-0.848912188908146,-0.23504404009349,0.415709694222341,0.0882308387148297,0.711228283808326,0.398377111175409,0.53812238093808,0.823507998981797,0.00124424073255414,0.431752588276375,-0.228862401423022,-0.722086997419654,0.190068148200392,0.161938800917419,0.109305850809512,0.0256056776555283,-0.359444835833017,0.321070817083742,0.938703412661373,0.00984908587295538
