"","Pert1","Pert2","phospho_value","Category"
"1","None","None",NA,"Exp"
"2","None","Igfri",-0.900359162429068,"Exp"
"3","None","Pi3ki",-0.595882779059192,"Exp"
"4","None","Fgf4",0.743075904733799,"Exp"
"5","None","Fgfri",-2.55527624177968,"Exp"
"6","None","Meki",-2.14058130955281,"Exp"
"7","None","NoLif",-1.92531048865942,"Exp"
"8","None","Jaki",0.0175493198871051,"Exp"
"9","None","Activin",-1.27083942357997,"Exp"
"10","None","Bmp4ri",-1.79277649293011,"Exp"
"11","None","Gsk3i",0.152601292927312,"Exp"
"12","Igfri","None",-1.09600433894405,"Exp"
"13","Igfri","Igfri",NA,"Exp"
"14","Igfri","Pi3ki",NA,"Exp"
"15","Igfri","Fgf4",0.72493904465388,"Exp"
"16","Igfri","Fgfri",-1.86552019006815,"Exp"
"17","Igfri","Meki",-1.63779769212949,"Exp"
"18","Igfri","NoLif",-1.01232904062411,"Exp"
"19","Igfri","Jaki",-0.192463932117913,"Exp"
"20","Igfri","Activin",-1.10087476836722,"Exp"
"21","Igfri","Bmp4ri",-0.610132433861959,"Exp"
"22","Igfri","Gsk3i",-0.505444951501105,"Exp"
"23","Pi3ki","None",-0.386264625241897,"Exp"
"24","Pi3ki","Igfri",NA,"Exp"
"25","Pi3ki","Pi3ki",NA,"Exp"
"26","Pi3ki","Fgf4",0.935721586631622,"Exp"
"27","Pi3ki","Fgfri",-1.58068813869038,"Exp"
"28","Pi3ki","Meki",-1.20576665649041,"Exp"
"29","Pi3ki","NoLif",-1.54217091204037,"Exp"
"30","Pi3ki","Jaki",-0.301926120114412,"Exp"
"31","Pi3ki","Activin",-1.09679144493513,"Exp"
"32","Pi3ki","Bmp4ri",-0.431672095421694,"Exp"
"33","Pi3ki","Gsk3i",0.543059424050753,"Exp"
"34","Fgf4","None",-0.769157424569457,"Exp"
"35","Fgf4","Igfri",-0.467661852274645,"Exp"
"36","Fgf4","Pi3ki",-0.285992930654524,"Exp"
"37","Fgf4","Fgf4",NA,"Exp"
"38","Fgf4","Fgfri",-2.17869185811683,"Exp"
"39","Fgf4","Meki",-1.12303163376404,"Exp"
"40","Fgf4","NoLif",0.914806927294851,"Exp"
