"","Pert1","Pert2","phospho_value","Category"
"1","None","None",NA,"Exp"
"2","None","Igfri",-0.529773182264702,"Exp"
"3","None","Pi3ki",-1.90937663909562,"Exp"
"4","None","Fgf4",-0.344961438787465,"Exp"
"5","None","Fgfri",-0.543984017687768,"Exp"
"6","None","Meki",-0.358527613388666,"Exp"
"7","None","NoLif",-0.196800663184761,"Exp"
"8","None","Jaki",-1.13822207233574,"Exp"
"9","None","Activin",-0.140133013911654,"Exp"
"10","None","Bmp4ri",-0.156402175685558,"Exp"
"11","None","Gsk3i",-0.835389251457206,"Exp"
"12","Igfri","None",-0.541768797969046,"Exp"
"13","Igfri","Igfri",NA,"Exp"
"14","Igfri","Pi3ki",NA,"Exp"
"15","Igfri","Fgf4",-0.466621457634503,"Exp"
"16","Igfri","Fgfri",-0.499741040576884,"Exp"
"17","Igfri","Meki",-0.526630350720086,"Exp"
"18","Igfri","NoLif",-0.680253756784377,"Exp"
"19","Igfri","Jaki",-1.06824286370467,"Exp"
"20","Igfri","Activin",-0.669128377716029,"Exp"
"21","Igfri","Bmp4ri",-0.536270203650725,"Exp"
"22","Igfri","Gsk3i",-0.933884234588275,"Exp"
"23","Pi3ki","None",-1.3886498966537,"Exp"
"24","Pi3ki","Igfri",NA,"Exp"
"25","Pi3ki","Pi3ki",NA,"Exp"
"26","Pi3ki","Fgf4",-1.58397117047857,"Exp"
"27","Pi3ki","Fgfri",-1.72720873320571,"Exp"
"28","Pi3ki","Meki",-1.86366355482486,"Exp"
"29","Pi3ki","NoLif",-1.86224710247954,"Exp"
"30","Pi3ki","Jaki",-2.07094147783261,"Exp"
"31","Pi3ki","Activin",-2.13541101400634,"Exp"
"32","Pi3ki","Bmp4ri",-1.74349359787058,"Exp"
"33","Pi3ki","Gsk3i",-1.81399047648945,"Exp"
"34","Fgf4","None",-0.09417446084343,"Exp"
"35","Fgf4","Igfri",-0.565007079367542,"Exp"
"36","Fgf4","Pi3ki",-1.41002958678609,"Exp"
"37","Fgf4","Fgf4",NA,"Exp"
"38","Fgf4","Fgfri",-0.366730277514477,"Exp"
"39","Fgf4","Meki",-0.145244609881838,"Exp"
"40","Fgf4","NoLif",-0.218493873109195,"Exp"
"41","Fgf4","Jaki",-1.25666505848365,"Exp"
"42","Fgf4","Activin",-0.11800044526571,"Exp"
"43","Fgf4","Bmp4ri",-0.446303911055662,"Exp"
"44","Fgf4","Gsk3i",-1.04601247037944,"Exp"
"45","Fgfri","None",-0.343195271067583,"Exp"
"46","Fgfri","Igfri",-0.590373739103214,"Exp"
"47","Fgfri","Pi3ki",-1.41590349227838,"Exp"
"48","Fgfri","Fgf4",-0.318189997830019,"Exp"
"49","Fgfri","Fgfri",NA,"Exp"
"50","Fgfri","Meki",NA,"Exp"
"51","Fgfri","NoLif",-0.631718742712218,"Exp"
"52","Fgfri","Jaki",-1.3381379677058,"Exp"
"53","Fgfri","Activin",-0.587006204752668,"Exp"
"54","Fgfri","Bmp4ri",-0.431297790230491,"Exp"
"55","Fgfri","Gsk3i",-1.01480028911369,"Exp"
"56","Meki","None",-0.0776469307208635,"Exp"
"57","Meki","Igfri",-0.375836697775818,"Exp"
"58","Meki","Pi3ki",-1.40902885982579,"Exp"
"59","Meki","Fgf4",-0.039546887338616,"Exp"
"60","Meki","Fgfri",NA,"Exp"
"61","Meki","Meki",NA,"Exp"
"62","Meki","NoLif",-0.305733916675682,"Exp"
"63","Meki","Jaki",-0.801815658599764,"Exp"
"64","Meki","Activin",-0.131290340162925,"Exp"
"65","Meki","Bmp4ri",-0.0148781562745987,"Exp"
"66","Meki","Gsk3i",-0.536573622766745,"Exp"
"67","NoLif","None",-0.138098969458603,"Exp"
"68","NoLif","Igfri",-0.481632142725832,"Exp"
"69","NoLif","Pi3ki",-1.15985276017776,"Exp"
"70","NoLif","Fgf4",0.0561431057734246,"Exp"
"71","NoLif","Fgfri",-0.228448202451778,"Exp"
"72","NoLif","Meki",0.139825981305395,"Exp"
"73","NoLif","NoLif",NA,"Exp"
"74","NoLif","Jaki",-1.0692832385166,"Exp"
"75","NoLif","Activin",0.0704529196588115,"Exp"
"76","NoLif","Bmp4ri",-0.316153290722139,"Exp"
"77","NoLif","Gsk3i",-0.919107111523709,"Exp"
"78","Jaki","None",-0.536004922915316,"Exp"
"79","Jaki","Igfri",-0.930676997686318,"Exp"
"80","Jaki","Pi3ki",-1.95565529934466,"Exp"
"81","Jaki","Fgf4",-0.538517846977043,"Exp"
"82","Jaki","Fgfri",-0.827533663539981,"Exp"
"83","Jaki","Meki",-0.236933497044183,"Exp"
"84","Jaki","NoLif",-0.551030115498228,"Exp"
"85","Jaki","Jaki",NA,"Exp"
"86","Jaki","Activin",-1.11904269959044,"Exp"
"87","Jaki","Bmp4ri",-1.15161948707471,"Exp"
"88","Jaki","Gsk3i",-1.24310422925131,"Exp"
"89","Activin","None",0.084150540541612,"Exp"
"90","Activin","Igfri",-0.392889928507403,"Exp"
"91","Activin","Pi3ki",-1.31756595221728,"Exp"
"92","Activin","Fgf4",0.26022296406774,"Exp"
"93","Activin","Fgfri",-0.276832493226039,"Exp"
"94","Activin","Meki",-0.307253864599248,"Exp"
"95","Activin","NoLif",-0.0477826851972479,"Exp"
"96","Activin","Jaki",-0.44751824973901,"Exp"
"97","Activin","Activin",NA,"Exp"
"98","Activin","Bmp4ri",-0.292710728449485,"Exp"
"99","Activin","Gsk3i",-0.845588312313008,"Exp"
"100","Bmp4ri","None",-0.228569329222031,"Exp"
"101","Bmp4ri","Igfri",-0.391126093158097,"Exp"
"102","Bmp4ri","Pi3ki",-1.33549921266741,"Exp"
"103","Bmp4ri","Fgf4",-0.162921777611415,"Exp"
"104","Bmp4ri","Fgfri",-0.2277813519256,"Exp"
"105","Bmp4ri","Meki",-0.0257997065328837,"Exp"
"106","Bmp4ri","NoLif",-0.1381810982889,"Exp"
"107","Bmp4ri","Jaki",-0.412185612096653,"Exp"
"108","Bmp4ri","Activin",0.111090782219343,"Exp"
"109","Bmp4ri","Bmp4ri",NA,"Exp"
"110","Bmp4ri","Gsk3i",-0.920743567998363,"Exp"
"111","Gsk3i","None",-0.847847254317562,"Exp"
"112","Gsk3i","Igfri",-1.12460166941723,"Exp"
"113","Gsk3i","Pi3ki",-1.68834982915512,"Exp"
"114","Gsk3i","Fgf4",-0.915228227608276,"Exp"
"115","Gsk3i","Fgfri",-0.715074308853464,"Exp"
"116","Gsk3i","Meki",-0.360046433795876,"Exp"
"117","Gsk3i","NoLif",-0.591781292879112,"Exp"
"118","Gsk3i","Jaki",-0.98278138591361,"Exp"
"119","Gsk3i","Activin",-0.662617935872458,"Exp"
"120","Gsk3i","Bmp4ri",-0.289548791601542,"Exp"
"121","Gsk3i","Gsk3i",NA,"Exp"
"122","None","None",NA,"Initial_Model"
"123","None","Igfri",-0.780791908813308,"Initial_Model"
"124","None","Pi3ki",-1.74371773175456,"Initial_Model"
"125","None","Fgf4",-0.0285532028645483,"Initial_Model"
"126","None","Fgfri",-0.706027068985029,"Initial_Model"
"127","None","Meki",0,"Initial_Model"
"128","None","NoLif",0,"Initial_Model"
"129","None","Jaki",0,"Initial_Model"
"130","None","Activin",0,"Initial_Model"
"131","None","Bmp4ri",0,"Initial_Model"
"132","None","Gsk3i",0,"Initial_Model"
"133","Igfri","None",-0.801583159578431,"Initial_Model"
"134","Igfri","Igfri",NA,"Initial_Model"
"135","Igfri","Pi3ki",NA,"Initial_Model"
"136","Igfri","Fgf4",-0.809345111677856,"Initial_Model"
"137","Igfri","Fgfri",-1.48681897779834,"Initial_Model"
"138","Igfri","Meki",-0.780791908813308,"Initial_Model"
"139","Igfri","NoLif",-0.780791908813308,"Initial_Model"
"140","Igfri","Jaki",-0.780791908813308,"Initial_Model"
"141","Igfri","Activin",-0.780791908813308,"Initial_Model"
"142","Igfri","Bmp4ri",-0.780791908813308,"Initial_Model"
"143","Igfri","Gsk3i",-0.780791908813308,"Initial_Model"
"144","Pi3ki","None",-1.32597741740379,"Initial_Model"
"145","Pi3ki","Igfri",NA,"Initial_Model"
"146","Pi3ki","Pi3ki",NA,"Initial_Model"
"147","Pi3ki","Fgf4",-1.743717733132,"Initial_Model"
"148","Pi3ki","Fgfri",-1.74371776581416,"Initial_Model"
"149","Pi3ki","Meki",-1.74371773175456,"Initial_Model"
"150","Pi3ki","NoLif",-1.74371773175456,"Initial_Model"
"151","Pi3ki","Jaki",-1.74371773175456,"Initial_Model"
"152","Pi3ki","Activin",-1.74371773175456,"Initial_Model"
"153","Pi3ki","Bmp4ri",-1.74371773175456,"Initial_Model"
"154","Pi3ki","Gsk3i",-1.74371773175456,"Initial_Model"
"155","Fgf4","None",-0.343555699846334,"Initial_Model"
"156","Fgf4","Igfri",-1.14513885942476,"Initial_Model"
"157","Fgf4","Pi3ki",-1.32597741937954,"Initial_Model"
"158","Fgf4","Fgf4",NA,"Initial_Model"
"159","Fgf4","Fgfri",-0.706027068985029,"Initial_Model"
"160","Fgf4","Meki",-0.0285532028645483,"Initial_Model"
"161","Fgf4","NoLif",-0.0285532028645483,"Initial_Model"
"162","Fgf4","Jaki",-0.0285532028645483,"Initial_Model"
"163","Fgf4","Activin",-0.0285532028645483,"Initial_Model"
"164","Fgf4","Bmp4ri",-0.0285532028645483,"Initial_Model"
"165","Fgf4","Gsk3i",-0.0285532028645483,"Initial_Model"
"166","Fgfri","None",-0.682469312600676,"Initial_Model"
"167","Fgfri","Igfri",-1.48405247217911,"Initial_Model"
"168","Fgfri","Pi3ki",-1.32597742132861,"Initial_Model"
"169","Fgfri","Fgf4",-0.739825585303324,"Initial_Model"
"170","Fgfri","Fgfri",NA,"Initial_Model"
"171","Fgfri","Meki",NA,"Initial_Model"
"172","Fgfri","NoLif",-0.706027068985029,"Initial_Model"
"173","Fgfri","Jaki",-0.706027068985029,"Initial_Model"
"174","Fgfri","Activin",-0.706027068985029,"Initial_Model"
"175","Fgfri","Bmp4ri",-0.706027068985029,"Initial_Model"
"176","Fgfri","Gsk3i",-0.706027068985029,"Initial_Model"
"177","Meki","None",0,"Initial_Model"
"178","Meki","Igfri",-0.801583159578431,"Initial_Model"
"179","Meki","Pi3ki",-1.32597741740379,"Initial_Model"
"180","Meki","Fgf4",-0.343555699846334,"Initial_Model"
"181","Meki","Fgfri",NA,"Initial_Model"
"182","Meki","Meki",NA,"Initial_Model"
"183","Meki","NoLif",0,"Initial_Model"
"184","Meki","Jaki",0,"Initial_Model"
"185","Meki","Activin",0,"Initial_Model"
"186","Meki","Bmp4ri",0,"Initial_Model"
"187","Meki","Gsk3i",0,"Initial_Model"
"188","NoLif","None",0,"Initial_Model"
"189","NoLif","Igfri",-0.801583159578431,"Initial_Model"
"190","NoLif","Pi3ki",-1.32597741740379,"Initial_Model"
"191","NoLif","Fgf4",-0.343555699846334,"Initial_Model"
"192","NoLif","Fgfri",-0.682469312600676,"Initial_Model"
"193","NoLif","Meki",0,"Initial_Model"
"194","NoLif","NoLif",NA,"Initial_Model"
"195","NoLif","Jaki",0,"Initial_Model"
"196","NoLif","Activin",0,"Initial_Model"
"197","NoLif","Bmp4ri",0,"Initial_Model"
"198","NoLif","Gsk3i",0,"Initial_Model"
"199","Jaki","None",0,"Initial_Model"
"200","Jaki","Igfri",-0.801583159578431,"Initial_Model"
"201","Jaki","Pi3ki",-1.32597741740379,"Initial_Model"
"202","Jaki","Fgf4",-0.343555699846334,"Initial_Model"
"203","Jaki","Fgfri",-0.682469312600676,"Initial_Model"
"204","Jaki","Meki",0,"Initial_Model"
"205","Jaki","NoLif",0,"Initial_Model"
"206","Jaki","Jaki",NA,"Initial_Model"
"207","Jaki","Activin",0,"Initial_Model"
"208","Jaki","Bmp4ri",0,"Initial_Model"
"209","Jaki","Gsk3i",0,"Initial_Model"
"210","Activin","None",0,"Initial_Model"
"211","Activin","Igfri",-0.801583159578431,"Initial_Model"
"212","Activin","Pi3ki",-1.32597741740379,"Initial_Model"
"213","Activin","Fgf4",-0.343555699846334,"Initial_Model"
"214","Activin","Fgfri",-0.682469312600676,"Initial_Model"
"215","Activin","Meki",0,"Initial_Model"
"216","Activin","NoLif",0,"Initial_Model"
"217","Activin","Jaki",0,"Initial_Model"
"218","Activin","Activin",NA,"Initial_Model"
"219","Activin","Bmp4ri",0,"Initial_Model"
"220","Activin","Gsk3i",0,"Initial_Model"
"221","Bmp4ri","None",0,"Initial_Model"
"222","Bmp4ri","Igfri",-0.801583159578431,"Initial_Model"
"223","Bmp4ri","Pi3ki",-1.32597741740379,"Initial_Model"
"224","Bmp4ri","Fgf4",-0.343555699846334,"Initial_Model"
"225","Bmp4ri","Fgfri",-0.682469312600676,"Initial_Model"
"226","Bmp4ri","Meki",0,"Initial_Model"
"227","Bmp4ri","NoLif",0,"Initial_Model"
"228","Bmp4ri","Jaki",0,"Initial_Model"
"229","Bmp4ri","Activin",0,"Initial_Model"
