"","Pert1","Pert2","phospho_value","Category"
"1","None","None",NA,"Exp"
"2","None","Igfri",-0.159093245613317,"Exp"
"3","None","Pi3ki",-0.0737154190600944,"Exp"
"4","None","Fgf4",0.32444255325538,"Exp"
"5","None","Fgfri",-0.886123381794171,"Exp"
"6","None","Meki",2.52414011089782,"Exp"
"7","None","NoLif",-0.383797947096448,"Exp"
"8","None","Jaki",-0.0708092003046359,"Exp"
"9","None","Activin",-0.242009644892115,"Exp"
"10","None","Bmp4ri",-0.193850859288726,"Exp"
"11","None","Gsk3i",-0.181495974357188,"Exp"
"12","Igfri","None",-0.406436049947549,"Exp"
"13","Igfri","Igfri",NA,"Exp"
"14","Igfri","Pi3ki",NA,"Exp"
"15","Igfri","Fgf4",0.386889504153711,"Exp"
"16","Igfri","Fgfri",-0.557576486827379,"Exp"
"17","Igfri","Meki",2.65171455258876,"Exp"
"18","Igfri","NoLif",-0.224031843121663,"Exp"
"19","Igfri","Jaki",0.0457606038472926,"Exp"
"20","Igfri","Activin",0.03574031068358,"Exp"
"21","Igfri","Bmp4ri",-0.0791000433166393,"Exp"
"22","Igfri","Gsk3i",-0.0178091807285557,"Exp"
"23","Pi3ki","None",0.156484987091855,"Exp"
"24","Pi3ki","Igfri",NA,"Exp"
"25","Pi3ki","Pi3ki",NA,"Exp"
"26","Pi3ki","Fgf4",0.515515042124873,"Exp"
"27","Pi3ki","Fgfri",-0.566533506217368,"Exp"
"28","Pi3ki","Meki",3.03618430561669,"Exp"
"29","Pi3ki","NoLif",-0.206026151297096,"Exp"
"30","Pi3ki","Jaki",-0.13335729553157,"Exp"
"31","Pi3ki","Activin",-0.103152233771613,"Exp"
"32","Pi3ki","Bmp4ri",-0.17787947012596,"Exp"
"33","Pi3ki","Gsk3i",0.039563646344691,"Exp"
"34","Fgf4","None",0.0398861107837891,"Exp"
"35","Fgf4","Igfri",-0.220984929620043,"Exp"
"36","Fgf4","Pi3ki",0.240073557989053,"Exp"
"37","Fgf4","Fgf4",NA,"Exp"
"38","Fgf4","Fgfri",-0.805579166882752,"Exp"
"39","Fgf4","Meki",4.04377116761547,"Exp"
"40","Fgf4","NoLif",0.521436893749298,"Exp"
"41","Fgf4","Jaki",0.177311926772695,"Exp"
"42","Fgf4","Activin",0.890347223022352,"Exp"
"43","Fgf4","Bmp4ri",-0.0400837206537116,"Exp"
"44","Fgf4","Gsk3i",0.467107461010626,"Exp"
"45","Fgfri","None",-1.25563642755176,"Exp"
"46","Fgfri","Igfri",-1.24219659950212,"Exp"
"47","Fgfri","Pi3ki",-0.755013156274424,"Exp"
"48","Fgfri","Fgf4",-1.51277790320744,"Exp"
"49","Fgfri","Fgfri",NA,"Exp"
"50","Fgfri","Meki",NA,"Exp"
"51","Fgfri","NoLif",-0.928406179483563,"Exp"
"52","Fgfri","Jaki",-0.957789785249456,"Exp"
"53","Fgfri","Activin",-0.953951789243772,"Exp"
"54","Fgfri","Bmp4ri",-1.04316144921412,"Exp"
"55","Fgfri","Gsk3i",-0.834467132272948,"Exp"
"56","Meki","None",0.612988425622606,"Exp"
"57","Meki","Igfri",0.370700684608157,"Exp"
"58","Meki","Pi3ki",0.677704797780512,"Exp"
"59","Meki","Fgf4",0.368745452085751,"Exp"
"60","Meki","Fgfri",NA,"Exp"
"61","Meki","Meki",NA,"Exp"
"62","Meki","NoLif",2.50074443284698,"Exp"
"63","Meki","Jaki",2.48877568357858,"Exp"
"64","Meki","Activin",2.93391986132626,"Exp"
"65","Meki","Bmp4ri",2.75477463274148,"Exp"
"66","Meki","Gsk3i",3.08576389813407,"Exp"
"67","NoLif","None",-0.0686586810518818,"Exp"
"68","NoLif","Igfri",-0.18459741722241,"Exp"
"69","NoLif","Pi3ki",0.195652319675746,"Exp"
"70","NoLif","Fgf4",0.232688098309231,"Exp"
"71","NoLif","Fgfri",-1.61816371642805,"Exp"
"72","NoLif","Meki",0.506005142004798,"Exp"
"73","NoLif","NoLif",NA,"Exp"
"74","NoLif","Jaki",-0.166178547215677,"Exp"
"75","NoLif","Activin",0.0609703912800297,"Exp"
"76","NoLif","Bmp4ri",-0.368747570323529,"Exp"
"77","NoLif","Gsk3i",-0.351847539531758,"Exp"
"78","Jaki","None",0.0265162295830894,"Exp"
"79","Jaki","Igfri",0.0578501789662562,"Exp"
"80","Jaki","Pi3ki",0.186267151070742,"Exp"
"81","Jaki","Fgf4",0.191505994940309,"Exp"
"82","Jaki","Fgfri",-1.31096058112807,"Exp"
"83","Jaki","Meki",0.45638907161911,"Exp"
"84","Jaki","NoLif",0.176538723697921,"Exp"
"85","Jaki","Jaki",NA,"Exp"
"86","Jaki","Activin",-0.187443641443429,"Exp"
"87","Jaki","Bmp4ri",-0.133729748123025,"Exp"
"88","Jaki","Gsk3i",0.111986343628153,"Exp"
"89","Activin","None",0.196004362883904,"Exp"
"90","Activin","Igfri",-0.021394434208683,"Exp"
"91","Activin","Pi3ki",0.188990001234646,"Exp"
"92","Activin","Fgf4",0.716048478835556,"Exp"
"93","Activin","Fgfri",-1.31852623079685,"Exp"
"94","Activin","Meki",0.477104551150394,"Exp"
"95","Activin","NoLif",0.311442741204829,"Exp"
"96","Activin","Jaki",0.0346759295019364,"Exp"
"97","Activin","Activin",NA,"Exp"
"98","Activin","Bmp4ri",-0.346754343086607,"Exp"
"99","Activin","Gsk3i",-0.200293470381799,"Exp"
"100","Bmp4ri","None",0.0103554601128721,"Exp"
"101","Bmp4ri","Igfri",-0.0521404480483703,"Exp"
"102","Bmp4ri","Pi3ki",0.259437782728318,"Exp"
"103","Bmp4ri","Fgf4",0.264513917448949,"Exp"
"104","Bmp4ri","Fgfri",-0.878757502636745,"Exp"
"105","Bmp4ri","Meki",0.534306657251576,"Exp"
"106","Bmp4ri","NoLif",0.1505132796936,"Exp"
"107","Bmp4ri","Jaki",0.451169998903108,"Exp"
"108","Bmp4ri","Activin",0.174058635648129,"Exp"
"109","Bmp4ri","Bmp4ri",NA,"Exp"
"110","Bmp4ri","Gsk3i",0.207195379472421,"Exp"
"111","Gsk3i","None",0.0185458169039659,"Exp"
"112","Gsk3i","Igfri",0.0887596143010218,"Exp"
"113","Gsk3i","Pi3ki",0.379761311229861,"Exp"
"114","Gsk3i","Fgf4",0.0696784424205069,"Exp"
"115","Gsk3i","Fgfri",-1.11841856112707,"Exp"
"116","Gsk3i","Meki",0.746884760475469,"Exp"
"117","Gsk3i","NoLif",0.168913998804411,"Exp"
"118","Gsk3i","Jaki",0.400055334453575,"Exp"
"119","Gsk3i","Activin",0.0187776064570673,"Exp"
"120","Gsk3i","Bmp4ri",0.340085758830531,"Exp"
"121","Gsk3i","Gsk3i",NA,"Exp"
"122","None","None",NA,"Initial_Model"
"123","None","Igfri",0,"Initial_Model"
"124","None","Pi3ki",0,"Initial_Model"
"125","None","Fgf4",-0.0331525354810605,"Initial_Model"
"126","None","Fgfri",-0.819753481462385,"Initial_Model"
"127","None","Meki",0,"Initial_Model"
"128","None","NoLif",0,"Initial_Model"
"129","None","Jaki",0,"Initial_Model"
"130","None","Activin",0,"Initial_Model"
"131","None","Bmp4ri",0,"Initial_Model"
"132","None","Gsk3i",0,"Initial_Model"
"133","Igfri","None",0,"Initial_Model"
"134","Igfri","Igfri",NA,"Initial_Model"
"135","Igfri","Pi3ki",NA,"Initial_Model"
"136","Igfri","Fgf4",-0.0331525354810605,"Initial_Model"
"137","Igfri","Fgfri",-0.819753481462385,"Initial_Model"
"138","Igfri","Meki",0,"Initial_Model"
"139","Igfri","NoLif",0,"Initial_Model"
"140","Igfri","Jaki",0,"Initial_Model"
"141","Igfri","Activin",0,"Initial_Model"
"142","Igfri","Bmp4ri",0,"Initial_Model"
"143","Igfri","Gsk3i",0,"Initial_Model"
"144","Pi3ki","None",0,"Initial_Model"
"145","Pi3ki","Igfri",NA,"Initial_Model"
"146","Pi3ki","Pi3ki",NA,"Initial_Model"
"147","Pi3ki","Fgf4",-0.0331525354810605,"Initial_Model"
"148","Pi3ki","Fgfri",-0.819753481462385,"Initial_Model"
"149","Pi3ki","Meki",0,"Initial_Model"
"150","Pi3ki","NoLif",0,"Initial_Model"
"151","Pi3ki","Jaki",0,"Initial_Model"
"152","Pi3ki","Activin",0,"Initial_Model"
"153","Pi3ki","Bmp4ri",0,"Initial_Model"
"154","Pi3ki","Gsk3i",0,"Initial_Model"
"155","Fgf4","None",-0.477425969613162,"Initial_Model"
"156","Fgf4","Igfri",-0.477425969613162,"Initial_Model"
