"","Pert1","Pert2","phospho_value","Category"
"1","None","None",NA,"Exp"
"2","None","Igfri",-0.237851768961162,"Exp"
"3","None","Pi3ki",-0.323338937495842,"Exp"
"4","None","Fgf4",0.131530295510434,"Exp"
"5","None","Fgfri",-0.228396169525204,"Exp"
"6","None","Meki",-0.0977563740776667,"Exp"
"7","None","NoLif",0.131365522621561,"Exp"
"8","None","Jaki",-0.276908839223687,"Exp"
"9","None","Activin",1.65269154330847,"Exp"
"10","None","Bmp4ri",-0.278004598634008,"Exp"
"11","None","Gsk3i",0.310357086188993,"Exp"
"12","Igfri","None",-0.305478078472808,"Exp"
"13","Igfri","Igfri",NA,"Exp"
"14","Igfri","Pi3ki",NA,"Exp"
"15","Igfri","Fgf4",-0.056649958675004,"Exp"
"16","Igfri","Fgfri",-0.35262242487593,"Exp"
"17","Igfri","Meki",0.097515622250768,"Exp"
"18","Igfri","NoLif",-0.202326825083701,"Exp"
"19","Igfri","Jaki",-0.593776578707844,"Exp"
"20","Igfri","Activin",1.49250668473863,"Exp"
"21","Igfri","Bmp4ri",-0.655067373666484,"Exp"
"22","Igfri","Gsk3i",-0.217903049443123,"Exp"
"23","Pi3ki","None",-0.159159599522999,"Exp"
"24","Pi3ki","Igfri",NA,"Exp"
"25","Pi3ki","Pi3ki",NA,"Exp"
"26","Pi3ki","Fgf4",-0.120410676855716,"Exp"
"27","Pi3ki","Fgfri",-0.0599662096873426,"Exp"
"28","Pi3ki","Meki",0.567480690996278,"Exp"
"29","Pi3ki","NoLif",-0.117370207643085,"Exp"
"30","Pi3ki","Jaki",-0.47361218555961,"Exp"
"31","Pi3ki","Activin",1.89097882065915,"Exp"
"32","Pi3ki","Bmp4ri",-0.77915267230904,"Exp"
"33","Pi3ki","Gsk3i",-0.0325591461188108,"Exp"
"34","Fgf4","None",-0.0119319396121244,"Exp"
"35","Fgf4","Igfri",-0.13603856021151,"Exp"
"36","Fgf4","Pi3ki",-0.401495947710886,"Exp"
"37","Fgf4","Fgf4",NA,"Exp"
"38","Fgf4","Fgfri",-0.159317731236434,"Exp"
"39","Fgf4","Meki",-0.284456526206894,"Exp"
"40","Fgf4","NoLif",0.0450817049985935,"Exp"
"41","Fgf4","Jaki",-0.205025940616733,"Exp"
"42","Fgf4","Activin",1.26623304719203,"Exp"
"43","Fgf4","Bmp4ri",-0.276537431443133,"Exp"
"44","Fgf4","Gsk3i",-0.0482050336273883,"Exp"
"45","Fgfri","None",0.164972064648974,"Exp"
"46","Fgfri","Igfri",-0.5829270304034,"Exp"
"47","Fgfri","Pi3ki",-0.210311046911803,"Exp"
"48","Fgfri","Fgf4",-0.344838892200675,"Exp"
"49","Fgfri","Fgfri",NA,"Exp"
"50","Fgfri","Meki",NA,"Exp"
"51","Fgfri","NoLif",0.046283363961261,"Exp"
"52","Fgfri","Jaki",-0.539905322843998,"Exp"
"53","Fgfri","Activin",1.44851730190153,"Exp"
"54","Fgfri","Bmp4ri",-0.506146336769336,"Exp"
"55","Fgfri","Gsk3i",-0.156035015594998,"Exp"
"56","Meki","None",0.0340968388244538,"Exp"
"57","Meki","Igfri",-0.03820714689244,"Exp"
"58","Meki","Pi3ki",0.146748322889024,"Exp"
"59","Meki","Fgf4",-0.116355293387031,"Exp"
"60","Meki","Fgfri",NA,"Exp"
"61","Meki","Meki",NA,"Exp"
"62","Meki","NoLif",-0.0171550596441305,"Exp"
"63","Meki","Jaki",-0.193714246381448,"Exp"
"64","Meki","Activin",1.25975615157854,"Exp"
"65","Meki","Bmp4ri",-0.445291946735475,"Exp"
"66","Meki","Gsk3i",-0.147944798979071,"Exp"
"67","NoLif","None",-0.072445212779824,"Exp"
"68","NoLif","Igfri",-0.365658349516776,"Exp"
"69","NoLif","Pi3ki",-0.106373439272107,"Exp"
"70","NoLif","Fgf4",-0.0979516455718347,"Exp"
"71","NoLif","Fgfri",0.317988561205571,"Exp"
"72","NoLif","Meki",-0.331030978345236,"Exp"
"73","NoLif","NoLif",NA,"Exp"
"74","NoLif","Jaki",-0.545604313497838,"Exp"
"75","NoLif","Activin",1.21184984697027,"Exp"
"76","NoLif","Bmp4ri",-0.557367187972743,"Exp"
"77","NoLif","Gsk3i",-0.196608027890223,"Exp"
"78","Jaki","None",0.0348153698297023,"Exp"
"79","Jaki","Igfri",0.0214828576657633,"Exp"
"80","Jaki","Pi3ki",0.0739295520433626,"Exp"
"81","Jaki","Fgf4",-0.437029207872331,"Exp"
"82","Jaki","Fgfri",-0.273475877372297,"Exp"
"83","Jaki","Meki",-0.0626185404497643,"Exp"
"84","Jaki","NoLif",-0.551906689400704,"Exp"
"85","Jaki","Jaki",NA,"Exp"
"86","Jaki","Activin",1.35558964421133,"Exp"
"87","Jaki","Bmp4ri",-0.804272135935001,"Exp"
"88","Jaki","Gsk3i",-0.0263481744737617,"Exp"
"89","Activin","None",0.562514511245629,"Exp"
"90","Activin","Igfri",0.792495623042619,"Exp"
"91","Activin","Pi3ki",0.869786166946277,"Exp"
"92","Activin","Fgf4",0.90242015890425,"Exp"
"93","Activin","Fgfri",0.294346888380111,"Exp"
"94","Activin","Meki",0.544466722624818,"Exp"
"95","Activin","NoLif",-0.0249784318869,"Exp"
"96","Activin","Jaki",0.814377790161189,"Exp"
"97","Activin","Activin",NA,"Exp"
"98","Activin","Bmp4ri",0.246887916495774,"Exp"
"99","Activin","Gsk3i",1.70681686501702,"Exp"
"100","Bmp4ri","None",-0.38863444329182,"Exp"
"101","Bmp4ri","Igfri",-0.580935510514989,"Exp"
"102","Bmp4ri","Pi3ki",-0.754529669681201,"Exp"
"103","Bmp4ri","Fgf4",-0.763995100661138,"Exp"
"104","Bmp4ri","Fgfri",-0.135270978791602,"Exp"
"105","Bmp4ri","Meki",0.256933784624183,"Exp"
"106","Bmp4ri","NoLif",-0.465098001571961,"Exp"
"107","Bmp4ri","Jaki",-0.4879445595503,"Exp"
"108","Bmp4ri","Activin",0.143690661072829,"Exp"
"109","Bmp4ri","Bmp4ri",NA,"Exp"
"110","Bmp4ri","Gsk3i",-0.359444835833017,"Exp"
"111","Gsk3i","None",-0.0605240311393108,"Exp"
"112","Gsk3i","Igfri",-0.0357235021799977,"Exp"
"113","Gsk3i","Pi3ki",-0.0957620021339688,"Exp"
"114","Gsk3i","Fgf4",-0.168121493144052,"Exp"
"115","Gsk3i","Fgfri",-0.380042343010948,"Exp"
"116","Gsk3i","Meki",-0.0710786606545467,"Exp"
"117","Gsk3i","NoLif",-0.53038920238303,"Exp"
"118","Gsk3i","Jaki",-0.0202456778191253,"Exp"
"119","Gsk3i","Activin",0.803276811356186,"Exp"
"120","Gsk3i","Bmp4ri",0.0256056776555283,"Exp"
"121","Gsk3i","Gsk3i",NA,"Exp"
"122","None","None",NA,"Initial_Model"
"123","None","Igfri",0,"Initial_Model"
"124","None","Pi3ki",0,"Initial_Model"
"125","None","Fgf4",0,"Initial_Model"
"126","None","Fgfri",0,"Initial_Model"
"127","None","Meki",0,"Initial_Model"
"128","None","NoLif",0,"Initial_Model"
"129","None","Jaki",0,"Initial_Model"
"130","None","Activin",1.12466954238944,"Initial_Model"
"131","None","Bmp4ri",0,"Initial_Model"
"132","None","Gsk3i",0,"Initial_Model"
"133","Igfri","None",0,"Initial_Model"
"134","Igfri","Igfri",NA,"Initial_Model"
"135","Igfri","Pi3ki",NA,"Initial_Model"
"136","Igfri","Fgf4",0,"Initial_Model"
"137","Igfri","Fgfri",0,"Initial_Model"
"138","Igfri","Meki",0,"Initial_Model"
"139","Igfri","NoLif",0,"Initial_Model"
"140","Igfri","Jaki",0,"Initial_Model"
"141","Igfri","Activin",1.12466954238944,"Initial_Model"
"142","Igfri","Bmp4ri",0,"Initial_Model"
"143","Igfri","Gsk3i",0,"Initial_Model"
"144","Pi3ki","None",0,"Initial_Model"
"145","Pi3ki","Igfri",NA,"Initial_Model"
"146","Pi3ki","Pi3ki",NA,"Initial_Model"
"147","Pi3ki","Fgf4",0,"Initial_Model"
"148","Pi3ki","Fgfri",0,"Initial_Model"
"149","Pi3ki","Meki",0,"Initial_Model"
"150","Pi3ki","NoLif",0,"Initial_Model"
"151","Pi3ki","Jaki",0,"Initial_Model"
"152","Pi3ki","Activin",1.12466954238944,"Initial_Model"
"153","Pi3ki","Bmp4ri",0,"Initial_Model"
"154","Pi3ki","Gsk3i",0,"Initial_Model"
"155","Fgf4","None",0,"Initial_Model"
"156","Fgf4","Igfri",0,"Initial_Model"
"157","Fgf4","Pi3ki",0,"Initial_Model"
"158","Fgf4","Fgf4",NA,"Initial_Model"
"159","Fgf4","Fgfri",0,"Initial_Model"
"160","Fgf4","Meki",0,"Initial_Model"
"161","Fgf4","NoLif",0,"Initial_Model"
"162","Fgf4","Jaki",0,"Initial_Model"
"163","Fgf4","Activin",1.12466954238944,"Initial_Model"
"164","Fgf4","Bmp4ri",0,"Initial_Model"
"165","Fgf4","Gsk3i",0,"Initial_Model"
"166","Fgfri","None",0,"Initial_Model"
"167","Fgfri","Igfri",0,"Initial_Model"
"168","Fgfri","Pi3ki",0,"Initial_Model"
"169","Fgfri","Fgf4",0,"Initial_Model"
"170","Fgfri","Fgfri",NA,"Initial_Model"
"171","Fgfri","Meki",NA,"Initial_Model"
"172","Fgfri","NoLif",0,"Initial_Model"
"173","Fgfri","Jaki",0,"Initial_Model"
"174","Fgfri","Activin",1.12466954238944,"Initial_Model"
"175","Fgfri","Bmp4ri",0,"Initial_Model"
"176","Fgfri","Gsk3i",0,"Initial_Model"
"177","Meki","None",0,"Initial_Model"
"178","Meki","Igfri",0,"Initial_Model"
"179","Meki","Pi3ki",0,"Initial_Model"
"180","Meki","Fgf4",0,"Initial_Model"
"181","Meki","Fgfri",NA,"Initial_Model"
