"","Pert1","Pert2","phospho_value","Category"
"1","None","None",NA,"Exp"
"2","None","Igfri",0.00958163363112856,"Exp"
"3","None","Pi3ki",0.0697325424159837,"Exp"
"4","None","Fgf4",-0.0924783269963434,"Exp"
"5","None","Fgfri",0.127386528472137,"Exp"
"6","None","Meki",-0.056116841972728,"Exp"
"7","None","NoLif",-1.59822786449141,"Exp"
"8","None","Jaki",-1.39317233805181,"Exp"
"9","None","Activin",-0.0285401893538291,"Exp"
"10","None","Bmp4ri",-0.00479448118181677,"Exp"
"11","None","Gsk3i",-0.367383036989942,"Exp"
"12","Igfri","None",-0.153539114408387,"Exp"
"13","Igfri","Igfri",NA,"Exp"
"14","Igfri","Pi3ki",NA,"Exp"
"15","Igfri","Fgf4",0.113772158884178,"Exp"
"16","Igfri","Fgfri",-0.113216343038111,"Exp"
"17","Igfri","Meki",-0.0208855381523868,"Exp"
"18","Igfri","NoLif",-1.3367443256592,"Exp"
"19","Igfri","Jaki",-1.68977891457772,"Exp"
"20","Igfri","Activin",0.148299860725161,"Exp"
"21","Igfri","Bmp4ri",-0.131433800416581,"Exp"
"22","Igfri","Gsk3i",-0.684637683859078,"Exp"
"23","Pi3ki","None",-0.234288876080514,"Exp"
"24","Pi3ki","Igfri",NA,"Exp"
"25","Pi3ki","Pi3ki",NA,"Exp"
"26","Pi3ki","Fgf4",0.234930352698192,"Exp"
"27","Pi3ki","Fgfri",-0.384068801316336,"Exp"
"28","Pi3ki","Meki",-0.220378387808838,"Exp"
"29","Pi3ki","NoLif",-1.50816146214086,"Exp"
"30","Pi3ki","Jaki",-1.95449189023892,"Exp"
"31","Pi3ki","Activin",0.035559321947854,"Exp"
"32","Pi3ki","Bmp4ri",-0.142064085984115,"Exp"
"33","Pi3ki","Gsk3i",-0.615976227777985,"Exp"
"34","Fgf4","None",-0.0621464607885949,"Exp"
"35","Fgf4","Igfri",0.0980670920228659,"Exp"
"36","Fgf4","Pi3ki",-0.38369719682033,"Exp"
"37","Fgf4","Fgf4",NA,"Exp"
"38","Fgf4","Fgfri",0.136347948354548,"Exp"
"39","Fgf4","Meki",0.0908744456499022,"Exp"
"40","Fgf4","NoLif",-2.56424960036887,"Exp"
"41","Fgf4","Jaki",-2.5526196919441,"Exp"
"42","Fgf4","Activin",-0.19012279099798,"Exp"
"43","Fgf4","Bmp4ri",0.501509289873401,"Exp"
"44","Fgf4","Gsk3i",-0.720364442897062,"Exp"
"45","Fgfri","None",0.120291003590206,"Exp"
"46","Fgfri","Igfri",-0.389334523624012,"Exp"
"47","Fgfri","Pi3ki",-0.716695081258815,"Exp"
"48","Fgfri","Fgf4",-0.150967094332752,"Exp"
"49","Fgfri","Fgfri",NA,"Exp"
"50","Fgfri","Meki",NA,"Exp"
"51","Fgfri","NoLif",-1.24567509307957,"Exp"
"52","Fgfri","Jaki",-1.97009911698825,"Exp"
"53","Fgfri","Activin",-0.0758200458635077,"Exp"
"54","Fgfri","Bmp4ri",-0.150218031942105,"Exp"
"55","Fgfri","Gsk3i",-0.413422606149975,"Exp"
"56","Meki","None",0.208798343093714,"Exp"
"57","Meki","Igfri",-0.228519233454955,"Exp"
"58","Meki","Pi3ki",-0.20133721891686,"Exp"
"59","Meki","Fgf4",-0.0744620985087559,"Exp"
"60","Meki","Fgfri",NA,"Exp"
"61","Meki","Meki",NA,"Exp"
"62","Meki","NoLif",-1.12968403266641,"Exp"
"63","Meki","Jaki",-1.9963093856168,"Exp"
"64","Meki","Activin",-0.179740935598353,"Exp"
"65","Meki","Bmp4ri",-0.357347001092951,"Exp"
"66","Meki","Gsk3i",-0.274082851973806,"Exp"
"67","NoLif","None",-1.33027334848335,"Exp"
"68","NoLif","Igfri",-0.994733090820873,"Exp"
"69","NoLif","Pi3ki",-1.16432393080032,"Exp"
"70","NoLif","Fgf4",-1.82371747884247,"Exp"
"71","NoLif","Fgfri",-1.27267551796929,"Exp"
"72","NoLif","Meki",-1.5488592595109,"Exp"
"73","NoLif","NoLif",NA,"Exp"
"74","NoLif","Jaki",-2.18935860552607,"Exp"
"75","NoLif","Activin",-0.858311887674653,"Exp"
"76","NoLif","Bmp4ri",-1.64391312832181,"Exp"
"77","NoLif","Gsk3i",-1.63903990464741,"Exp"
"78","Jaki","None",-1.88648149618106,"Exp"
"79","Jaki","Igfri",-1.70501941881046,"Exp"
"80","Jaki","Pi3ki",-1.9413757398267,"Exp"
"81","Jaki","Fgf4",-1.74158160285397,"Exp"
"82","Jaki","Fgfri",-1.66104454495753,"Exp"
"83","Jaki","Meki",-1.66040537002266,"Exp"
"84","Jaki","NoLif",-1.73631782510299,"Exp"
"85","Jaki","Jaki",NA,"Exp"
"86","Jaki","Activin",-1.62858436869251,"Exp"
"87","Jaki","Bmp4ri",-1.91672889032119,"Exp"
"88","Jaki","Gsk3i",-2.04022883393236,"Exp"
"89","Activin","None",-0.272745472560007,"Exp"
"90","Activin","Igfri",0.066836232823369,"Exp"
"91","Activin","Pi3ki",-0.0671418138513923,"Exp"
"92","Activin","Fgf4",-0.126829559700164,"Exp"
"93","Activin","Fgfri",-0.241259163224797,"Exp"
"94","Activin","Meki",-0.150228292744183,"Exp"
"95","Activin","NoLif",-1.52351746633462,"Exp"
"96","Activin","Jaki",-1.56244441041252,"Exp"
"97","Activin","Activin",NA,"Exp"
"98","Activin","Bmp4ri",-0.0159109396344057,"Exp"
"99","Activin","Gsk3i",-0.0266926196089478,"Exp"
"100","Bmp4ri","None",-0.400136722555667,"Exp"
"101","Bmp4ri","Igfri",-0.248502385305766,"Exp"
"102","Bmp4ri","Pi3ki",-0.366458898763422,"Exp"
"103","Bmp4ri","Fgf4",-0.0574369311563855,"Exp"
"104","Bmp4ri","Fgfri",-0.15399318929128,"Exp"
"105","Bmp4ri","Meki",-0.152224635612594,"Exp"
"106","Bmp4ri","NoLif",-1.4758717840449,"Exp"
"107","Bmp4ri","Jaki",-1.83269014774331,"Exp"
"108","Bmp4ri","Activin",-0.0645601506004153,"Exp"
"109","Bmp4ri","Bmp4ri",NA,"Exp"
"110","Bmp4ri","Gsk3i",-0.722086997419654,"Exp"
"111","Gsk3i","None",0.0105258643653437,"Exp"
"112","Gsk3i","Igfri",-0.140782602806876,"Exp"
"113","Gsk3i","Pi3ki",-0.307350129237619,"Exp"
"114","Gsk3i","Fgf4",-0.206930658744065,"Exp"
"115","Gsk3i","Fgfri",-0.143751104534759,"Exp"
"116","Gsk3i","Meki",-0.0358962635733373,"Exp"
"117","Gsk3i","NoLif",-1.4738139737053,"Exp"
"118","Gsk3i","Jaki",-1.97539842438411,"Exp"
"119","Gsk3i","Activin",-0.0811438340307538,"Exp"
"120","Gsk3i","Bmp4ri",-0.228862401423022,"Exp"
"121","Gsk3i","Gsk3i",NA,"Exp"
"122","None","None",NA,"Initial_Model"
"123","None","Igfri",0,"Initial_Model"
"124","None","Pi3ki",0,"Initial_Model"
"125","None","Fgf4",0,"Initial_Model"
"126","None","Fgfri",0,"Initial_Model"
"127","None","Meki",0,"Initial_Model"
"128","None","NoLif",-1.55874418327758,"Initial_Model"
"129","None","Jaki",-1.91300225823373,"Initial_Model"
"130","None","Activin",0,"Initial_Model"
"131","None","Bmp4ri",0,"Initial_Model"
"132","None","Gsk3i",0,"Initial_Model"
"133","Igfri","None",0,"Initial_Model"
"134","Igfri","Igfri",NA,"Initial_Model"
"135","Igfri","Pi3ki",NA,"Initial_Model"
"136","Igfri","Fgf4",0,"Initial_Model"
"137","Igfri","Fgfri",0,"Initial_Model"
"138","Igfri","Meki",0,"Initial_Model"
"139","Igfri","NoLif",-1.55874418327758,"Initial_Model"
"140","Igfri","Jaki",-1.91300225823373,"Initial_Model"
"141","Igfri","Activin",0,"Initial_Model"
"142","Igfri","Bmp4ri",0,"Initial_Model"
"143","Igfri","Gsk3i",0,"Initial_Model"
"144","Pi3ki","None",0,"Initial_Model"
"145","Pi3ki","Igfri",NA,"Initial_Model"
"146","Pi3ki","Pi3ki",NA,"Initial_Model"
"147","Pi3ki","Fgf4",0,"Initial_Model"
"148","Pi3ki","Fgfri",0,"Initial_Model"
"149","Pi3ki","Meki",0,"Initial_Model"
"150","Pi3ki","NoLif",-1.55874418327758,"Initial_Model"
"151","Pi3ki","Jaki",-1.91300225823373,"Initial_Model"
"152","Pi3ki","Activin",0,"Initial_Model"
"153","Pi3ki","Bmp4ri",0,"Initial_Model"
"154","Pi3ki","Gsk3i",0,"Initial_Model"
"155","Fgf4","None",0,"Initial_Model"
"156","Fgf4","Igfri",0,"Initial_Model"
"157","Fgf4","Pi3ki",0,"Initial_Model"
"158","Fgf4","Fgf4",NA,"Initial_Model"
"159","Fgf4","Fgfri",0,"Initial_Model"
"160","Fgf4","Meki",0,"Initial_Model"
"161","Fgf4","NoLif",-1.55874418327758,"Initial_Model"
"162","Fgf4","Jaki",-1.91300225823373,"Initial_Model"
"163","Fgf4","Activin",0,"Initial_Model"
"164","Fgf4","Bmp4ri",0,"Initial_Model"
"165","Fgf4","Gsk3i",0,"Initial_Model"
"166","Fgfri","None",0,"Initial_Model"
"167","Fgfri","Igfri",0,"Initial_Model"
"168","Fgfri","Pi3ki",0,"Initial_Model"
"169","Fgfri","Fgf4",0,"Initial_Model"
"170","Fgfri","Fgfri",NA,"Initial_Model"
"171","Fgfri","Meki",NA,"Initial_Model"
"172","Fgfri","NoLif",-1.55874418327758,"Initial_Model"
"173","Fgfri","Jaki",-1.91300225823373,"Initial_Model"
"174","Fgfri","Activin",0,"Initial_Model"
"175","Fgfri","Bmp4ri",0,"Initial_Model"
"176","Fgfri","Gsk3i",0,"Initial_Model"
"177","Meki","None",0,"Initial_Model"
"178","Meki","Igfri",0,"Initial_Model"
"179","Meki","Pi3ki",0,"Initial_Model"
"180","Meki","Fgf4",0,"Initial_Model"
"181","Meki","Fgfri",NA,"Initial_Model"
"182","Meki","Meki",NA,"Initial_Model"
"183","Meki","NoLif",-1.55874418327758,"Initial_Model"
"184","Meki","Jaki",-1.91300225823373,"Initial_Model"
"185","Meki","Activin",0,"Initial_Model"
"186","Meki","Bmp4ri",0,"Initial_Model"
"187","Meki","Gsk3i",0,"Initial_Model"
"188","NoLif","None",-1.42722849921293,"Initial_Model"
"189","NoLif","Igfri",-1.42722849921293,"Initial_Model"
"190","NoLif","Pi3ki",-1.42722849921293,"Initial_Model"
"191","NoLif","Fgf4",-1.42722849921293,"Initial_Model"
"192","NoLif","Fgfri",-1.42722849921293,"Initial_Model"
"193","NoLif","Meki",-1.42722849921293,"Initial_Model"
"194","NoLif","NoLif",NA,"Initial_Model"
"195","NoLif","Jaki",-2.16024791624664,"Initial_Model"
"196","NoLif","Activin",-1.55874418327758,"Initial_Model"
"197","NoLif","Bmp4ri",-1.55874418327758,"Initial_Model"
"198","NoLif","Gsk3i",-1.55874418327758,"Initial_Model"
"199","Jaki","None",-1.76418262955719,"Initial_Model"
"200","Jaki","Igfri",-1.76418262955719,"Initial_Model"
"201","Jaki","Pi3ki",-1.76418262955719,"Initial_Model"
"202","Jaki","Fgf4",-1.76418262955719,"Initial_Model"
"203","Jaki","Fgfri",-1.76418262955719,"Initial_Model"
"204","Jaki","Meki",-1.76418262955719,"Initial_Model"
"205","Jaki","NoLif",-1.76418263106415,"Initial_Model"
"206","Jaki","Jaki",NA,"Initial_Model"
"207","Jaki","Activin",-1.91300225823373,"Initial_Model"
"208","Jaki","Bmp4ri",-1.91300225823373,"Initial_Model"
"209","Jaki","Gsk3i",-1.91300225823373,"Initial_Model"
"210","Activin","None",0,"Initial_Model"
"211","Activin","Igfri",0,"Initial_Model"
"212","Activin","Pi3ki",0,"Initial_Model"
"213","Activin","Fgf4",0,"Initial_Model"
"214","Activin","Fgfri",0,"Initial_Model"
"215","Activin","Meki",0,"Initial_Model"
"216","Activin","NoLif",-1.42722849921293,"Initial_Model"
"217","Activin","Jaki",-1.76418262955719,"Initial_Model"
"218","Activin","Activin",NA,"Initial_Model"
"219","Activin","Bmp4ri",0,"Initial_Model"
"220","Activin","Gsk3i",0,"Initial_Model"
"221","Bmp4ri","None",0,"Initial_Model"
"222","Bmp4ri","Igfri",0,"Initial_Model"
"223","Bmp4ri","Pi3ki",0,"Initial_Model"
"224","Bmp4ri","Fgf4",0,"Initial_Model"
"225","Bmp4ri","Fgfri",0,"Initial_Model"
"226","Bmp4ri","Meki",0,"Initial_Model"
"227","Bmp4ri","NoLif",-1.42722849921293,"Initial_Model"
"228","Bmp4ri","Jaki",-1.76418262955719,"Initial_Model"
"229","Bmp4ri","Activin",0,"Initial_Model"
"230","Bmp4ri","Bmp4ri",NA,"Initial_Model"
"231","Bmp4ri","Gsk3i",0,"Initial_Model"
"232","Gsk3i","None",0,"Initial_Model"
"233","Gsk3i","Igfri",0,"Initial_Model"
"234","Gsk3i","Pi3ki",0,"Initial_Model"
"235","Gsk3i","Fgf4",0,"Initial_Model"
"236","Gsk3i","Fgfri",0,"Initial_Model"
"237","Gsk3i","Meki",0,"Initial_Model"
"238","Gsk3i","NoLif",-1.42722849921293,"Initial_Model"
"239","Gsk3i","Jaki",-1.76418262955719,"Initial_Model"
"240","Gsk3i","Activin",0,"Initial_Model"
"241","Gsk3i","Bmp4ri",0,"Initial_Model"
"242","Gsk3i","Gsk3i",NA,"Initial_Model"
"243","None","None",NA,"Final_Model"
"244","None","Igfri",-0.132984126902945,"Final_Model"
"245","None","Pi3ki",-0.323773073702021,"Final_Model"
"246","None","Fgf4",0.0226056477740291,"Final_Model"
"247","None","Fgfri",-0.0487921437143943,"Final_Model"
"248","None","Meki",0,"Final_Model"
"249","None","NoLif",-1.54628395716798,"Final_Model"
"250","None","Jaki",-1.85837203271127,"Final_Model"
"251","None","Activin",0,"Final_Model"
"252","None","Bmp4ri",-0.0162300739789538,"Final_Model"
"253","None","Gsk3i",-0.251705861653244,"Final_Model"
"254","Igfri","None",-0.150988156451444,"Final_Model"
"255","Igfri","Igfri",NA,"Final_Model"
"256","Igfri","Pi3ki",NA,"Final_Model"
