"","Pert1","Pert2","phospho_value","Category"
"1","None","None",NA,"Exp"
"2","None","Igfri",-0.556152656164404,"Exp"
"3","None","Pi3ki",-0.940785570770724,"Exp"
"4","None","Fgf4",-0.0542916277032155,"Exp"
"5","None","Fgfri",-0.131206266828916,"Exp"
"6","None","Meki",-0.0970278727130287,"Exp"
"7","None","NoLif",-0.0116900247970319,"Exp"
"8","None","Jaki",-0.427931475706663,"Exp"
"9","None","Activin",0.0395009811142469,"Exp"
"10","None","Bmp4ri",0.0566213242746519,"Exp"
"11","None","Gsk3i",-0.128753026238637,"Exp"
"12","Igfri","None",-0.320506132997577,"Exp"
"13","Igfri","Igfri",NA,"Exp"
"14","Igfri","Pi3ki",NA,"Exp"
"15","Igfri","Fgf4",-0.470850302029475,"Exp"
"16","Igfri","Fgfri",-0.603970940193703,"Exp"
"17","Igfri","Meki",-0.585053332992686,"Exp"
"18","Igfri","NoLif",-0.606589455661793,"Exp"
"19","Igfri","Jaki",-0.678148515927037,"Exp"
"20","Igfri","Activin",-0.625421002316704,"Exp"
"21","Igfri","Bmp4ri",-0.357787138784245,"Exp"
"22","Igfri","Gsk3i",-0.478808730656328,"Exp"
"23","Pi3ki","None",-0.751307389204241,"Exp"
"24","Pi3ki","Igfri",NA,"Exp"
"25","Pi3ki","Pi3ki",NA,"Exp"
"26","Pi3ki","Fgf4",-0.677992638207944,"Exp"
"27","Pi3ki","Fgfri",-0.946356383982019,"Exp"
"28","Pi3ki","Meki",-1.17414839870471,"Exp"
"29","Pi3ki","NoLif",-0.748509592104286,"Exp"
"30","Pi3ki","Jaki",-0.794908705244229,"Exp"
"31","Pi3ki","Activin",-1.37752625878285,"Exp"
"32","Pi3ki","Bmp4ri",-0.925136581110112,"Exp"
"33","Pi3ki","Gsk3i",-0.836745692713018,"Exp"
"34","Fgf4","None",0.130862568677926,"Exp"
"35","Fgf4","Igfri",-0.442014786083623,"Exp"
"36","Fgf4","Pi3ki",-0.863466926138199,"Exp"
"37","Fgf4","Fgf4",NA,"Exp"
"38","Fgf4","Fgfri",-0.16776256491816,"Exp"
"39","Fgf4","Meki",0.232792327864672,"Exp"
"40","Fgf4","NoLif",-0.0732416679903736,"Exp"
"41","Fgf4","Jaki",-0.453715193371303,"Exp"
"42","Fgf4","Activin",-0.0338398710330378,"Exp"
"43","Fgf4","Bmp4ri",-0.0225643645889895,"Exp"
"44","Fgf4","Gsk3i",0.126578157968577,"Exp"
"45","Fgfri","None",0.0568803430907133,"Exp"
"46","Fgfri","Igfri",-0.51943494430949,"Exp"
"47","Fgfri","Pi3ki",-0.822214900693091,"Exp"
"48","Fgfri","Fgf4",-0.116273212548077,"Exp"
"49","Fgfri","Fgfri",NA,"Exp"
"50","Fgfri","Meki",NA,"Exp"
"51","Fgfri","NoLif",-0.323156691338883,"Exp"
"52","Fgfri","Jaki",-0.646059393993454,"Exp"
"53","Fgfri","Activin",-0.337604434875264,"Exp"
"54","Fgfri","Bmp4ri",-0.152334890668266,"Exp"
"55","Fgfri","Gsk3i",-0.40053721992755,"Exp"
"56","Meki","None",0.0386722610010055,"Exp"
"57","Meki","Igfri",-0.443159139559809,"Exp"
"58","Meki","Pi3ki",-1.08185192643767,"Exp"
"59","Meki","Fgf4",0.0363176617914298,"Exp"
"60","Meki","Fgfri",NA,"Exp"
"61","Meki","Meki",NA,"Exp"
"62","Meki","NoLif",-0.144508951745868,"Exp"
"63","Meki","Jaki",-0.474726619588898,"Exp"
"64","Meki","Activin",0.000629197901157559,"Exp"
"65","Meki","Bmp4ri",-0.0376731776771792,"Exp"
"66","Meki","Gsk3i",-0.280084820249322,"Exp"
"67","NoLif","None",0.0380938514818455,"Exp"
"68","NoLif","Igfri",-0.372538476286489,"Exp"
"69","NoLif","Pi3ki",-0.651235434926851,"Exp"
"70","NoLif","Fgf4",-0.123905569974418,"Exp"
"71","NoLif","Fgfri",-0.112307770028461,"Exp"
"72","NoLif","Meki",0.0309689507029431,"Exp"
"73","NoLif","NoLif",NA,"Exp"
"74","NoLif","Jaki",-0.132311524603512,"Exp"
"75","NoLif","Activin",-0.052406456851305,"Exp"
"76","NoLif","Bmp4ri",0.0405369722704554,"Exp"
"77","NoLif","Gsk3i",-0.259976351070674,"Exp"
"78","Jaki","None",-0.0159726882877757,"Exp"
"79","Jaki","Igfri",-0.651955886572234,"Exp"
"80","Jaki","Pi3ki",-0.957168919056805,"Exp"
"81","Jaki","Fgf4",-0.120830825302464,"Exp"
"82","Jaki","Fgfri",-0.204466768984483,"Exp"
"83","Jaki","Meki",-0.10765390226783,"Exp"
"84","Jaki","NoLif",-0.123143317516136,"Exp"
"85","Jaki","Jaki",NA,"Exp"
"86","Jaki","Activin",-0.370364113669034,"Exp"
"87","Jaki","Bmp4ri",-0.477489323663845,"Exp"
"88","Jaki","Gsk3i",-0.408656186897501,"Exp"
"89","Activin","None",0.193128709142062,"Exp"
"90","Activin","Igfri",-0.256793242640095,"Exp"
"91","Activin","Pi3ki",-0.719183990153688,"Exp"
"92","Activin","Fgf4",-0.0652096884902287,"Exp"
"93","Activin","Fgfri",0.000682937626989002,"Exp"
"94","Activin","Meki",-0.05169758968214,"Exp"
"95","Activin","NoLif",-0.133493103020262,"Exp"
"96","Activin","Jaki",-0.0478029641018552,"Exp"
"97","Activin","Activin",NA,"Exp"
"98","Activin","Bmp4ri",0.0463198947644228,"Exp"
"99","Activin","Gsk3i",-0.133343495566612,"Exp"
"100","Bmp4ri","None",0.0369484590033856,"Exp"
"101","Bmp4ri","Igfri",-0.257293176175951,"Exp"
"102","Bmp4ri","Pi3ki",-0.766762833953768,"Exp"
"103","Bmp4ri","Fgf4",0.12477872610948,"Exp"
"104","Bmp4ri","Fgfri",0.0618736760612964,"Exp"
"105","Bmp4ri","Meki",-0.0179646590721239,"Exp"
"106","Bmp4ri","NoLif",0.106232888093181,"Exp"
"107","Bmp4ri","Jaki",0.0693104650899905,"Exp"
"108","Bmp4ri","Activin",0.170797277218273,"Exp"
"109","Bmp4ri","Bmp4ri",NA,"Exp"
"110","Bmp4ri","Gsk3i",-0.021650186454129,"Exp"
"111","Gsk3i","None",0.0113228169521653,"Exp"
"112","Gsk3i","Igfri",-0.518492190925884,"Exp"
"113","Gsk3i","Pi3ki",-0.712008920585935,"Exp"
"114","Gsk3i","Fgf4",0.0023763676295672,"Exp"
"115","Gsk3i","Fgfri",-0.0596857761617207,"Exp"
"116","Gsk3i","Meki",0.0736868181863676,"Exp"
"117","Gsk3i","NoLif",-0.0137192388116303,"Exp"
"118","Gsk3i","Jaki",-0.173504797619903,"Exp"
"119","Gsk3i","Activin",-0.012921590533677,"Exp"
"120","Gsk3i","Bmp4ri",-0.0343130520795017,"Exp"
"121","Gsk3i","Gsk3i",NA,"Exp"
"122","None","None",NA,"Initial_Model"
"123","None","Igfri",-0.427521485027339,"Initial_Model"
"124","None","Pi3ki",-0.95477013239191,"Initial_Model"
"125","None","Fgf4",-0.0156342651007893,"Initial_Model"
"126","None","Fgfri",-0.386584104669752,"Initial_Model"
"127","None","Meki",0,"Initial_Model"
"128","None","NoLif",0,"Initial_Model"
"129","None","Jaki",0,"Initial_Model"
"130","None","Activin",0,"Initial_Model"
"131","None","Bmp4ri",0,"Initial_Model"
"132","None","Gsk3i",0,"Initial_Model"
"133","Igfri","None",-0.418427734905464,"Initial_Model"
"134","Igfri","Igfri",NA,"Initial_Model"
"135","Igfri","Pi3ki",NA,"Initial_Model"
"136","Igfri","Fgf4",-0.443155750128129,"Initial_Model"
"137","Igfri","Fgfri",-0.814105589697091,"Initial_Model"
"138","Igfri","Meki",-0.427521485027339,"Initial_Model"
"139","Igfri","NoLif",-0.427521485027339,"Initial_Model"
"140","Igfri","Jaki",-0.427521485027339,"Initial_Model"
"141","Igfri","Activin",-0.427521485027339,"Initial_Model"
"142","Igfri","Bmp4ri",-0.427521485027339,"Initial_Model"
"143","Igfri","Gsk3i",-0.427521485027339,"Initial_Model"
"144","Pi3ki","None",-0.692162404699042,"Initial_Model"
"145","Pi3ki","Igfri",NA,"Initial_Model"
"146","Pi3ki","Pi3ki",NA,"Initial_Model"
"147","Pi3ki","Fgf4",-0.954770133146125,"Initial_Model"
"148","Pi3ki","Fgfri",-0.954770151041192,"Initial_Model"
"149","Pi3ki","Meki",-0.95477013239191,"Initial_Model"
"150","Pi3ki","NoLif",-0.95477013239191,"Initial_Model"
"151","Pi3ki","Jaki",-0.95477013239191,"Initial_Model"
"152","Pi3ki","Activin",-0.95477013239191,"Initial_Model"
"153","Pi3ki","Bmp4ri",-0.95477013239191,"Initial_Model"
"154","Pi3ki","Gsk3i",-0.95477013239191,"Initial_Model"
"155","Fgf4","None",-0.179336643469613,"Initial_Model"
"156","Fgf4","Igfri",-0.597764378375077,"Initial_Model"
"157","Fgf4","Pi3ki",-0.692162405730392,"Initial_Model"
"158","Fgf4","Fgf4",NA,"Initial_Model"
"159","Fgf4","Fgfri",-0.386584104669752,"Initial_Model"
"160","Fgf4","Meki",-0.0156342651007893,"Initial_Model"
"161","Fgf4","NoLif",-0.0156342651007893,"Initial_Model"
"162","Fgf4","Jaki",-0.0156342651007893,"Initial_Model"
"163","Fgf4","Activin",-0.0156342651007893,"Initial_Model"
"164","Fgf4","Bmp4ri",-0.0156342651007893,"Initial_Model"
"165","Fgf4","Gsk3i",-0.0156342651007893,"Initial_Model"
"166","Fgfri","None",-0.356250109800428,"Initial_Model"
"167","Fgfri","Igfri",-0.774677844705892,"Initial_Model"
"168","Fgfri","Pi3ki",-0.692162406747806,"Initial_Model"
"169","Fgfri","Fgf4",-0.386190179003243,"Initial_Model"
