"","phospho_value","Pert1","x_status","Category"
"Activin...1",-0.147144531967988,"Activin","XX","Exp"
"Bmp4ri...2",-1.12261412274255,"Bmp4ri","XX","Exp"
"Fgf4...3",-0.971321963632671,"Fgf4","XX","Exp"
"Fgfri...4",-1.36073782294047,"Fgfri","XX","Exp"
"Gsk3i...5",-1.83286210078772,"Gsk3i","XX","Exp"
"Igfri...6",-2.03189431112528,"Igfri","XX","Exp"
"Jaki...7",-1.601015278042,"Jaki","XX","Exp"
"Meki...8",-1.05013922198468,"Meki","XX","Exp"
"NoLif...9",-0.500930436553689,"NoLif","XX","Exp"
"Pi3ki...10",-2.84469655373454,"Pi3ki","XX","Exp"
"Activin...11",0.0316041553878166,"Activin","XO","Exp"
"Bmp4ri...12",-0.108499430813809,"Bmp4ri","XO","Exp"
"Fgf4...13",-0.288391160128993,"Fgf4","XO","Exp"
"Fgfri...14",0.458332320557253,"Fgfri","XO","Exp"
"Gsk3i...15",-0.526233709947068,"Gsk3i","XO","Exp"
"Igfri...16",-0.593588864376197,"Igfri","XO","Exp"
"Jaki...17",-0.498388769666399,"Jaki","XO","Exp"
"Meki...18",0.0102502260495213,"Meki","XO","Exp"
"NoLif...19",0.0540778584148019,"NoLif","XO","Exp"
"Pi3ki...20",-0.97357538510155,"Pi3ki","XO","Exp"
"Activin...21",0,"Activin","XX","Initial_Model"
"Bmp4ri...22",0,"Bmp4ri","XX","Initial_Model"
"Fgf4...23",-0.743577173752551,"Fgf4","XX","Initial_Model"
"Fgfri...24",-1.47710721394941,"Fgfri","XX","Initial_Model"
"Gsk3i...25",0,"Gsk3i","XX","Initial_Model"
"Igfri...26",-1.73491209895096,"Igfri","XX","Initial_Model"
"Jaki...27",0,"Jaki","XX","Initial_Model"
"Meki...28",0,"Meki","XX","Initial_Model"
"Pi3ki...29",-2.86988846621907,"Pi3ki","XX","Initial_Model"
"NoLif...30",0,"NoLif","XX","Initial_Model"
"Activin...31",0,"Activin","XO","Initial_Model"
"Bmp4ri...32",0,"Bmp4ri","XO","Initial_Model"
"Fgf4...33",-0.0122706026129647,"Fgf4","XO","Initial_Model"
"Fgfri...34",-0.303411762197365,"Fgfri","XO","Initial_Model"
"Gsk3i...35",0,"Gsk3i","XO","Initial_Model"
"Igfri...36",-0.335541595172909,"Igfri","XO","Initial_Model"
"Jaki...37",0,"Jaki","XO","Initial_Model"
"Meki...38",0,"Meki","XO","Initial_Model"
"Pi3ki...39",-0.749354370402563,"Pi3ki","XO","Initial_Model"
"NoLif...40",0,"NoLif","XO","Initial_Model"
"Activin...41",0,"Activin","XX","Final_Model"
"Bmp4ri...42",-0.352805956192932,"Bmp4ri","XX","Final_Model"
"Fgf4...43",-0.179615148652563,"Fgf4","XX","Final_Model"
"Fgfri...44",-1.06117294374104,"Fgfri","XX","Final_Model"
"Gsk3i...45",-1.35183334490644,"Gsk3i","XX","Final_Model"
"Igfri...46",-1.48673611327167,"Igfri","XX","Final_Model"
"Jaki...47",-1.06969408602999,"Jaki","XX","Final_Model"
"Meki...48",0,"Meki","XX","Final_Model"
"Pi3ki...49",-2.74531891389722,"Pi3ki","XX","Final_Model"
"NoLif...50",-0.25856775011025,"NoLif","XX","Final_Model"
"Activin...51",0,"Activin","XO","Final_Model"
"Bmp4ri...52",-0.0397813884149502,"Bmp4ri","XO","Final_Model"
"Fgf4...53",0.0554085000250981,"Fgf4","XO","Final_Model"
"Fgfri...54",-0.119593984797444,"Fgfri","XO","Final_Model"
"Gsk3i...55",-0.354840148342238,"Gsk3i","XO","Final_Model"
"Igfri...56",-0.325956197871262,"Igfri","XO","Final_Model"
"Jaki...57",-0.320601637578793,"Jaki","XO","Final_Model"
"Meki...58",0,"Meki","XO","Final_Model"
"Pi3ki...59",-0.793597270101456,"Pi3ki","XO","Final_Model"
"NoLif...60",0.00512090668439295,"NoLif","XO","Final_Model"
