"","phospho_value","Pert1","x_status","Category"
"Activin...1",-0.907934634007736,"Activin","XX","Exp"
"Bmp4ri...2",-1.69861166216169,"Bmp4ri","XX","Exp"
"Fgf4...3",-0.769157424569457,"Fgf4","XX","Exp"
"Fgfri...4",-2.96690068757551,"Fgfri","XX","Exp"
"Gsk3i...5",-0.64933602845894,"Gsk3i","XX","Exp"
"Igfri...6",-1.09600433894405,"Igfri","XX","Exp"
"Jaki...7",-0.992965924726843,"Jaki","XX","Exp"
"Meki...8",-5.82802323208374,"Meki","XX","Exp"
"NoLif...9",-0.805106013511446,"NoLif","XX","Exp"
"Pi3ki...10",-0.386264625241897,"Pi3ki","XX","Exp"
"Activin...11",-1.27083942357997,"Activin","XO","Exp"
"Bmp4ri...12",-1.79277649293011,"Bmp4ri","XO","Exp"
"Fgf4...13",0.743075904733799,"Fgf4","XO","Exp"
"Fgfri...14",-2.55527624177968,"Fgfri","XO","Exp"
"Gsk3i...15",0.152601292927312,"Gsk3i","XO","Exp"
"Igfri...16",-0.900359162429068,"Igfri","XO","Exp"
"Jaki...17",0.0175493198871051,"Jaki","XO","Exp"
"Meki...18",-2.14058130955281,"Meki","XO","Exp"
"NoLif...19",-1.92531048865942,"NoLif","XO","Exp"
"Pi3ki...20",-0.595882779059192,"Pi3ki","XO","Exp"
"Activin...21",0,"Activin","XX","Initial_Model"
"Bmp4ri...22",0,"Bmp4ri","XX","Initial_Model"
"Fgf4...23",-1.4983038414762,"Fgf4","XX","Initial_Model"
"Fgfri...24",-2.97636276509625,"Fgfri","XX","Initial_Model"
"Gsk3i...25",0,"Gsk3i","XX","Initial_Model"
"Igfri...26",0,"Igfri","XX","Initial_Model"
"Jaki...27",0,"Jaki","XX","Initial_Model"
"Meki...28",-6.54434930667153,"Meki","XX","Initial_Model"
"Pi3ki...29",0,"Pi3ki","XX","Initial_Model"
"NoLif...30",0,"NoLif","XX","Initial_Model"
"Activin...31",0,"Activin","XO","Initial_Model"
"Bmp4ri...32",0,"Bmp4ri","XO","Initial_Model"
"Fgf4...33",-0.131580751835187,"Fgf4","XO","Initial_Model"
"Fgfri...34",-3.25356048474644,"Fgfri","XO","Initial_Model"
"Gsk3i...35",0,"Gsk3i","XO","Initial_Model"
"Igfri...36",0,"Igfri","XO","Initial_Model"
"Jaki...37",0,"Jaki","XO","Initial_Model"
"Meki...38",-3.16826249305212,"Meki","XO","Initial_Model"
"Pi3ki...39",0,"Pi3ki","XO","Initial_Model"
"NoLif...40",0,"NoLif","XO","Initial_Model"
"Activin...41",-0.594827986342759,"Activin","XX","Final_Model"
"Bmp4ri...42",-1.02273590724727,"Bmp4ri","XX","Final_Model"
"Fgf4...43",-0.520679593946759,"Fgf4","XX","Final_Model"
"Fgfri...44",-3.07619430543217,"Fgfri","XX","Final_Model"
"Gsk3i...45",-0.034034234170672,"Gsk3i","XX","Final_Model"
"Igfri...46",-0.0366175214752628,"Igfri","XX","Final_Model"
"Jaki...47",-0.418426360263223,"Jaki","XX","Final_Model"
"Meki...48",-6.48920867991664,"Meki","XX","Final_Model"
"Pi3ki...49",-0.067615747938523,"Pi3ki","XX","Final_Model"
"NoLif...50",-0.32760334136809,"NoLif","XX","Final_Model"
"Activin...51",-0.616651048366041,"Activin","XO","Final_Model"
"Bmp4ri...52",-0.95908259306563,"Bmp4ri","XO","Final_Model"
"Fgf4...53",1.33583391629381,"Fgf4","XO","Final_Model"
"Fgfri...54",-2.88327063545822,"Fgfri","XO","Final_Model"
"Gsk3i...55",-0.170202881563914,"Gsk3i","XO","Final_Model"
"Igfri...56",-0.0899235379441579,"Igfri","XO","Final_Model"
"Jaki...57",-1.25662657559,"Jaki","XO","Final_Model"
"Meki...58",-2.40303648284018,"Meki","XO","Final_Model"
"Pi3ki...59",-0.218934552238622,"Pi3ki","XO","Final_Model"
"NoLif...60",-1.04559339022707,"NoLif","XO","Final_Model"
