"","phospho_value","Pert1","x_status","Category"
"Activin...1",0.084150540541612,"Activin","XX","Exp"
"Bmp4ri...2",-0.228569329222031,"Bmp4ri","XX","Exp"
"Fgf4...3",-0.09417446084343,"Fgf4","XX","Exp"
"Fgfri...4",-0.343195271067583,"Fgfri","XX","Exp"
"Gsk3i...5",-0.847847254317562,"Gsk3i","XX","Exp"
"Igfri...6",-0.541768797969046,"Igfri","XX","Exp"
"Jaki...7",-0.536004922915316,"Jaki","XX","Exp"
"Meki...8",-0.0776469307208635,"Meki","XX","Exp"
"NoLif...9",-0.138098969458603,"NoLif","XX","Exp"
"Pi3ki...10",-1.3886498966537,"Pi3ki","XX","Exp"
"Activin...11",-0.140133013911654,"Activin","XO","Exp"
"Bmp4ri...12",-0.156402175685558,"Bmp4ri","XO","Exp"
"Fgf4...13",-0.344961438787465,"Fgf4","XO","Exp"
"Fgfri...14",-0.543984017687768,"Fgfri","XO","Exp"
"Gsk3i...15",-0.835389251457206,"Gsk3i","XO","Exp"
"Igfri...16",-0.529773182264702,"Igfri","XO","Exp"
"Jaki...17",-1.13822207233574,"Jaki","XO","Exp"
"Meki...18",-0.358527613388666,"Meki","XO","Exp"
"NoLif...19",-0.196800663184761,"NoLif","XO","Exp"
"Pi3ki...20",-1.90937663909562,"Pi3ki","XO","Exp"
"Activin...21",0,"Activin","XX","Initial_Model"
"Bmp4ri...22",0,"Bmp4ri","XX","Initial_Model"
"Fgf4...23",-0.343555699846334,"Fgf4","XX","Initial_Model"
"Fgfri...24",-0.682469312600676,"Fgfri","XX","Initial_Model"
"Gsk3i...25",0,"Gsk3i","XX","Initial_Model"
"Igfri...26",-0.801583159578431,"Igfri","XX","Initial_Model"
"Jaki...27",0,"Jaki","XX","Initial_Model"
"Meki...28",0,"Meki","XX","Initial_Model"
"Pi3ki...29",-1.32597741740379,"Pi3ki","XX","Initial_Model"
"NoLif...30",0,"NoLif","XX","Initial_Model"
"Activin...31",0,"Activin","XO","Initial_Model"
"Bmp4ri...32",0,"Bmp4ri","XO","Initial_Model"
"Fgf4...33",-0.0285532028645483,"Fgf4","XO","Initial_Model"
"Fgfri...34",-0.706027068985029,"Fgfri","XO","Initial_Model"
"Gsk3i...35",0,"Gsk3i","XO","Initial_Model"
"Igfri...36",-0.780791908813308,"Igfri","XO","Initial_Model"
"Jaki...37",0,"Jaki","XO","Initial_Model"
"Meki...38",0,"Meki","XO","Initial_Model"
"Pi3ki...39",-1.74371773175456,"Pi3ki","XO","Initial_Model"
"NoLif...40",0,"NoLif","XO","Initial_Model"
"Activin...41",0,"Activin","XX","Final_Model"
"Bmp4ri...42",-0.162589347763188,"Bmp4ri","XX","Final_Model"
"Fgf4...43",-0.0827749910543981,"Fgf4","XX","Final_Model"
"Fgfri...44",-0.489037709704784,"Fgfri","XX","Final_Model"
"Gsk3i...45",-0.623005514299116,"Gsk3i","XX","Final_Model"
"Igfri...46",-0.685156955855443,"Igfri","XX","Final_Model"
"Jaki...47",-0.502516596111076,"Jaki","XX","Final_Model"
"Meki...48",0,"Meki","XX","Final_Model"
"Pi3ki...49",-1.26517028348694,"Pi3ki","XX","Final_Model"
"NoLif...50",-0.126986008909779,"NoLif","XX","Final_Model"
"Activin...51",0,"Activin","XO","Final_Model"
"Bmp4ri...52",-0.0824976747748009,"Bmp4ri","XO","Final_Model"
"Fgf4...53",0.114904798373308,"Fgf4","XO","Final_Model"
"Fgfri...54",-0.248011094030448,"Fgfri","XO","Final_Model"
"Gsk3i...55",-0.761833554546042,"Gsk3i","XO","Final_Model"
"Igfri...56",-0.675960027395832,"Igfri","XO","Final_Model"
"Jaki...57",-1.08447590872953,"Jaki","XO","Final_Model"
"Meki...58",0,"Meki","XO","Final_Model"
"Pi3ki...59",-1.64574269776857,"Pi3ki","XO","Final_Model"
"NoLif...60",-0.365473681304978,"NoLif","XO","Final_Model"
