"","phospho_value","Pert1","x_status","Category"
"Activin...1",0.196004362883904,"Activin","XX","Exp"
"Bmp4ri...2",0.0103554601128721,"Bmp4ri","XX","Exp"
"Fgf4...3",0.0398861107837891,"Fgf4","XX","Exp"
"Fgfri...4",-1.25563642755176,"Fgfri","XX","Exp"
"Gsk3i...5",0.0185458169039659,"Gsk3i","XX","Exp"
"Igfri...6",-0.406436049947549,"Igfri","XX","Exp"
"Jaki...7",0.0265162295830894,"Jaki","XX","Exp"
"Meki...8",0.612988425622606,"Meki","XX","Exp"
"NoLif...9",-0.0686586810518818,"NoLif","XX","Exp"
"Pi3ki...10",0.156484987091855,"Pi3ki","XX","Exp"
"Activin...11",-0.242009644892115,"Activin","XO","Exp"
"Bmp4ri...12",-0.193850859288726,"Bmp4ri","XO","Exp"
"Fgf4...13",0.32444255325538,"Fgf4","XO","Exp"
"Fgfri...14",-0.886123381794171,"Fgfri","XO","Exp"
"Gsk3i...15",-0.181495974357188,"Gsk3i","XO","Exp"
"Igfri...16",-0.159093245613317,"Igfri","XO","Exp"
"Jaki...17",-0.0708092003046359,"Jaki","XO","Exp"
"Meki...18",2.52414011089782,"Meki","XO","Exp"
"NoLif...19",-0.383797947096448,"NoLif","XO","Exp"
"Pi3ki...20",-0.0737154190600944,"Pi3ki","XO","Exp"
"Activin...21",0,"Activin","XX","Initial_Model"
"Bmp4ri...22",0,"Bmp4ri","XX","Initial_Model"
"Fgf4...23",-0.477425969613162,"Fgf4","XX","Initial_Model"
"Fgfri...24",-0.948401011671013,"Fgfri","XX","Initial_Model"
"Gsk3i...25",0,"Gsk3i","XX","Initial_Model"
"Igfri...26",0,"Igfri","XX","Initial_Model"
"Jaki...27",0,"Jaki","XX","Initial_Model"
"Meki...28",0,"Meki","XX","Initial_Model"
"Pi3ki...29",0,"Pi3ki","XX","Initial_Model"
"NoLif...30",0,"NoLif","XX","Initial_Model"
"Activin...31",0,"Activin","XO","Initial_Model"
"Bmp4ri...32",0,"Bmp4ri","XO","Initial_Model"
"Fgf4...33",-0.0331525354810605,"Fgf4","XO","Initial_Model"
"Fgfri...34",-0.819753481462385,"Fgfri","XO","Initial_Model"
"Gsk3i...35",0,"Gsk3i","XO","Initial_Model"
"Igfri...36",0,"Igfri","XO","Initial_Model"
"Jaki...37",0,"Jaki","XO","Initial_Model"
"Meki...38",0,"Meki","XO","Initial_Model"
"Pi3ki...39",0,"Pi3ki","XO","Initial_Model"
"NoLif...40",0,"NoLif","XO","Initial_Model"
"Activin...41",-0.172224083330944,"Activin","XX","Final_Model"
"Bmp4ri...42",-0.296118807721676,"Bmp4ri","XX","Final_Model"
"Fgf4...43",-0.150755458444309,"Fgf4","XX","Final_Model"
"Fgfri...44",-0.890668826223723,"Fgfri","XX","Final_Model"
"Gsk3i...45",-0.00985413416398506,"Gsk3i","XX","Final_Model"
"Igfri...46",-0.0106020886957634,"Igfri","XX","Final_Model"
"Jaki...47",-0.121149471767307,"Jaki","XX","Final_Model"
"Meki...48",0.636864854123174,"Meki","XX","Final_Model"
"Pi3ki...49",-0.019577189498172,"Pi3ki","XX","Final_Model"
"NoLif...50",-0.0948529431343198,"NoLif","XX","Final_Model"
"Activin...51",-0.140282768693285,"Activin","XO","Final_Model"
"Bmp4ri...52",-0.218182977094232,"Bmp4ri","XO","Final_Model"
"Fgf4...53",0.303890637644474,"Fgf4","XO","Final_Model"
"Fgfri...54",-0.655919078879168,"Fgfri","XO","Final_Model"
"Gsk3i...55",-0.038719680325895,"Gsk3i","XO","Final_Model"
"Igfri...56",-0.0204568254719225,"Igfri","XO","Final_Model"
"Jaki...57",-0.285871654162318,"Jaki","XO","Final_Model"
"Meki...58",3.3137282645394,"Meki","XO","Final_Model"
"Pi3ki...59",-0.0498057130236607,"Pi3ki","XO","Final_Model"
"NoLif...60",-0.237863433617946,"NoLif","XO","Final_Model"
