"","phospho_value","Pert1","x_status","Category"
"Activin...1",0.562514511245629,"Activin","XX","Exp"
"Bmp4ri...2",-0.38863444329182,"Bmp4ri","XX","Exp"
"Fgf4...3",-0.0119319396121244,"Fgf4","XX","Exp"
"Fgfri...4",0.164972064648974,"Fgfri","XX","Exp"
"Gsk3i...5",-0.0605240311393108,"Gsk3i","XX","Exp"
"Igfri...6",-0.305478078472808,"Igfri","XX","Exp"
"Jaki...7",0.0348153698297023,"Jaki","XX","Exp"
"Meki...8",0.0340968388244538,"Meki","XX","Exp"
"NoLif...9",-0.072445212779824,"NoLif","XX","Exp"
"Pi3ki...10",-0.159159599522999,"Pi3ki","XX","Exp"
"Activin...11",1.65269154330847,"Activin","XO","Exp"
"Bmp4ri...12",-0.278004598634008,"Bmp4ri","XO","Exp"
"Fgf4...13",0.131530295510434,"Fgf4","XO","Exp"
"Fgfri...14",-0.228396169525204,"Fgfri","XO","Exp"
"Gsk3i...15",0.310357086188993,"Gsk3i","XO","Exp"
"Igfri...16",-0.237851768961162,"Igfri","XO","Exp"
"Jaki...17",-0.276908839223687,"Jaki","XO","Exp"
"Meki...18",-0.0977563740776667,"Meki","XO","Exp"
"NoLif...19",0.131365522621561,"NoLif","XO","Exp"
"Pi3ki...20",-0.323338937495842,"Pi3ki","XO","Exp"
"Activin...21",0.473088900369067,"Activin","XX","Initial_Model"
"Bmp4ri...22",0,"Bmp4ri","XX","Initial_Model"
"Fgf4...23",0,"Fgf4","XX","Initial_Model"
"Fgfri...24",0,"Fgfri","XX","Initial_Model"
"Gsk3i...25",0,"Gsk3i","XX","Initial_Model"
"Igfri...26",0,"Igfri","XX","Initial_Model"
"Jaki...27",0,"Jaki","XX","Initial_Model"
"Meki...28",0,"Meki","XX","Initial_Model"
"Pi3ki...29",0,"Pi3ki","XX","Initial_Model"
"NoLif...30",0,"NoLif","XX","Initial_Model"
"Activin...31",1.12466954238944,"Activin","XO","Initial_Model"
"Bmp4ri...32",0,"Bmp4ri","XO","Initial_Model"
"Fgf4...33",0,"Fgf4","XO","Initial_Model"
"Fgfri...34",0,"Fgfri","XO","Initial_Model"
"Gsk3i...35",0,"Gsk3i","XO","Initial_Model"
"Igfri...36",0,"Igfri","XO","Initial_Model"
"Jaki...37",0,"Jaki","XO","Initial_Model"
"Meki...38",0,"Meki","XO","Initial_Model"
"Pi3ki...39",0,"Pi3ki","XO","Initial_Model"
"NoLif...40",0,"NoLif","XO","Initial_Model"
"Activin...41",0.615393734078602,"Activin","XX","Final_Model"
"Bmp4ri...42",-0.376102763012118,"Bmp4ri","XX","Final_Model"
"Fgf4...43",-0.0033806183931236,"Fgf4","XX","Final_Model"
"Fgfri...44",-0.0199728185445833,"Fgfri","XX","Final_Model"
"Gsk3i...45",-0.0260084287798883,"Gsk3i","XX","Final_Model"
"Igfri...46",-0.0279825364839875,"Igfri","XX","Final_Model"
"Jaki...47",-0.319754871990377,"Jaki","XX","Final_Model"
"Meki...48",0,"Meki","XX","Final_Model"
"Pi3ki...49",-0.0516708957175055,"Pi3ki","XX","Final_Model"
"NoLif...50",-0.250349343231811,"NoLif","XX","Final_Model"
"Activin...51",1.39774467268504,"Activin","XO","Final_Model"
"Bmp4ri...52",-0.58703304204783,"Bmp4ri","XO","Final_Model"
"Fgf4...53",0.00313770699192032,"Fgf4","XO","Final_Model"
"Fgfri...54",-0.00677244253355695,"Fgfri","XO","Final_Model"
"Gsk3i...55",-0.0349372532878311,"Gsk3i","XO","Final_Model"
"Igfri...56",-0.0184584502496404,"Igfri","XO","Final_Model"
"Jaki...57",-0.257945579746965,"Jaki","XO","Final_Model"
"Meki...58",0,"Meki","XO","Final_Model"
"Pi3ki...59",-0.044940319662839,"Pi3ki","XO","Final_Model"
"NoLif...60",-0.214627160097331,"NoLif","XO","Final_Model"
