"","phospho_value","Pert1","x_status","Category"
"Activin...1",-0.272745472560007,"Activin","XX","Exp"
"Bmp4ri...2",-0.400136722555667,"Bmp4ri","XX","Exp"
"Fgf4...3",-0.0621464607885949,"Fgf4","XX","Exp"
"Fgfri...4",0.120291003590206,"Fgfri","XX","Exp"
"Gsk3i...5",0.0105258643653437,"Gsk3i","XX","Exp"
"Igfri...6",-0.153539114408387,"Igfri","XX","Exp"
"Jaki...7",-1.88648149618106,"Jaki","XX","Exp"
"Meki...8",0.208798343093714,"Meki","XX","Exp"
"NoLif...9",-1.33027334848335,"NoLif","XX","Exp"
"Pi3ki...10",-0.234288876080514,"Pi3ki","XX","Exp"
"Activin...11",-0.0285401893538291,"Activin","XO","Exp"
"Bmp4ri...12",-0.00479448118181677,"Bmp4ri","XO","Exp"
"Fgf4...13",-0.0924783269963434,"Fgf4","XO","Exp"
"Fgfri...14",0.127386528472137,"Fgfri","XO","Exp"
"Gsk3i...15",-0.367383036989942,"Gsk3i","XO","Exp"
"Igfri...16",0.00958163363112856,"Igfri","XO","Exp"
"Jaki...17",-1.39317233805181,"Jaki","XO","Exp"
"Meki...18",-0.056116841972728,"Meki","XO","Exp"
"NoLif...19",-1.59822786449141,"NoLif","XO","Exp"
"Pi3ki...20",0.0697325424159837,"Pi3ki","XO","Exp"
"Activin...21",0,"Activin","XX","Initial_Model"
"Bmp4ri...22",0,"Bmp4ri","XX","Initial_Model"
"Fgf4...23",0,"Fgf4","XX","Initial_Model"
"Fgfri...24",0,"Fgfri","XX","Initial_Model"
"Gsk3i...25",0,"Gsk3i","XX","Initial_Model"
"Igfri...26",0,"Igfri","XX","Initial_Model"
"Jaki...27",-1.76418262955719,"Jaki","XX","Initial_Model"
"Meki...28",0,"Meki","XX","Initial_Model"
"Pi3ki...29",0,"Pi3ki","XX","Initial_Model"
"NoLif...30",-1.42722849921293,"NoLif","XX","Initial_Model"
"Activin...31",0,"Activin","XO","Initial_Model"
"Bmp4ri...32",0,"Bmp4ri","XO","Initial_Model"
"Fgf4...33",0,"Fgf4","XO","Initial_Model"
"Fgfri...34",0,"Fgfri","XO","Initial_Model"
"Gsk3i...35",0,"Gsk3i","XO","Initial_Model"
"Igfri...36",0,"Igfri","XO","Initial_Model"
"Jaki...37",-1.91300225823373,"Jaki","XO","Initial_Model"
"Meki...38",0,"Meki","XO","Initial_Model"
"Pi3ki...39",0,"Pi3ki","XO","Initial_Model"
"NoLif...40",-1.55874418327758,"NoLif","XO","Initial_Model"
"Activin...41",0,"Activin","XX","Final_Model"
"Bmp4ri...42",-0.0358298425895071,"Bmp4ri","XX","Final_Model"
"Fgf4...43",-0.0182411390452631,"Fgf4","XX","Final_Model"
"Fgfri...44",-0.107769324375276,"Fgfri","XX","Final_Model"
"Gsk3i...45",-0.140336267082905,"Gsk3i","XX","Final_Model"
"Igfri...46",-0.150988156451444,"Igfri","XX","Final_Model"
"Jaki...47",-1.72533317934996,"Jaki","XX","Final_Model"
"Meki...48",0,"Meki","XX","Final_Model"
"Pi3ki...49",-0.278805793429245,"Pi3ki","XX","Final_Model"
"NoLif...50",-1.35083486177285,"NoLif","XX","Final_Model"
"Activin...51",0,"Activin","XO","Final_Model"
"Bmp4ri...52",-0.0162300739789538,"Bmp4ri","XO","Final_Model"
"Fgf4...53",0.0226056477740291,"Fgf4","XO","Final_Model"
"Fgfri...54",-0.0487921437143943,"Fgfri","XO","Final_Model"
"Gsk3i...55",-0.251705861653244,"Gsk3i","XO","Final_Model"
"Igfri...56",-0.132984126902945,"Igfri","XO","Final_Model"
"Jaki...57",-1.85837203271127,"Jaki","XO","Final_Model"
"Meki...58",0,"Meki","XO","Final_Model"
"Pi3ki...59",-0.323773073702021,"Pi3ki","XO","Final_Model"
"NoLif...60",-1.54628395716798,"NoLif","XO","Final_Model"
