"","phospho_value","Pert1","x_status","Category"
"Activin...1",0.193128709142062,"Activin","XX","Exp"
"Bmp4ri...2",0.0369484590033856,"Bmp4ri","XX","Exp"
"Fgf4...3",0.130862568677926,"Fgf4","XX","Exp"
"Fgfri...4",0.0568803430907133,"Fgfri","XX","Exp"
"Gsk3i...5",0.0113228169521653,"Gsk3i","XX","Exp"
"Igfri...6",-0.320506132997577,"Igfri","XX","Exp"
"Jaki...7",-0.0159726882877757,"Jaki","XX","Exp"
"Meki...8",0.0386722610010055,"Meki","XX","Exp"
"NoLif...9",0.0380938514818455,"NoLif","XX","Exp"
"Pi3ki...10",-0.751307389204241,"Pi3ki","XX","Exp"
"Activin...11",0.0395009811142469,"Activin","XO","Exp"
"Bmp4ri...12",0.0566213242746519,"Bmp4ri","XO","Exp"
"Fgf4...13",-0.0542916277032155,"Fgf4","XO","Exp"
"Fgfri...14",-0.131206266828916,"Fgfri","XO","Exp"
"Gsk3i...15",-0.128753026238637,"Gsk3i","XO","Exp"
"Igfri...16",-0.556152656164404,"Igfri","XO","Exp"
"Jaki...17",-0.427931475706663,"Jaki","XO","Exp"
"Meki...18",-0.0970278727130287,"Meki","XO","Exp"
"NoLif...19",-0.0116900247970319,"NoLif","XO","Exp"
"Pi3ki...20",-0.940785570770724,"Pi3ki","XO","Exp"
"Activin...21",0,"Activin","XX","Initial_Model"
"Bmp4ri...22",0,"Bmp4ri","XX","Initial_Model"
"Fgf4...23",-0.179336643469613,"Fgf4","XX","Initial_Model"
"Fgfri...24",-0.356250109800428,"Fgfri","XX","Initial_Model"
"Gsk3i...25",0,"Gsk3i","XX","Initial_Model"
"Igfri...26",-0.418427734905464,"Igfri","XX","Initial_Model"
"Jaki...27",0,"Jaki","XX","Initial_Model"
"Meki...28",0,"Meki","XX","Initial_Model"
"Pi3ki...29",-0.692162404699042,"Pi3ki","XX","Initial_Model"
"NoLif...30",0,"NoLif","XX","Initial_Model"
"Activin...31",0,"Activin","XO","Initial_Model"
"Bmp4ri...32",0,"Bmp4ri","XO","Initial_Model"
"Fgf4...33",-0.0156342651007893,"Fgf4","XO","Initial_Model"
"Fgfri...34",-0.386584104669752,"Fgfri","XO","Initial_Model"
"Gsk3i...35",0,"Gsk3i","XO","Initial_Model"
"Igfri...36",-0.427521485027339,"Igfri","XO","Initial_Model"
"Jaki...37",0,"Jaki","XO","Initial_Model"
"Meki...38",0,"Meki","XO","Initial_Model"
"Pi3ki...39",-0.95477013239191,"Pi3ki","XO","Initial_Model"
"NoLif...40",0,"NoLif","XO","Initial_Model"
"Activin...41",0,"Activin","XX","Final_Model"
"Bmp4ri...42",-0.0811481008601622,"Bmp4ri","XX","Final_Model"
"Fgf4...43",-0.0413128745221656,"Fgf4","XX","Final_Model"
"Fgfri...44",-0.244077991193785,"Fgfri","XX","Final_Model"
"Gsk3i...45",-0.310932133352674,"Gsk3i","XX","Final_Model"
"Igfri...46",-0.341960814307341,"Igfri","XX","Final_Model"
"Jaki...47",-0.246037919879142,"Jaki","XX","Final_Model"
"Meki...48",0,"Meki","XX","Final_Model"
"Pi3ki...49",-0.63144460065866,"Pi3ki","XX","Final_Model"
"NoLif...50",-0.0594725839992838,"NoLif","XX","Final_Model"
"Activin...51",0,"Activin","XO","Final_Model"
"Bmp4ri...52",-0.0478624416497385,"Bmp4ri","XO","Final_Model"
"Fgf4...53",0.0666639904994904,"Fgf4","XO","Final_Model"
"Fgfri...54",-0.143887891979059,"Fgfri","XO","Final_Model"
"Gsk3i...55",-0.426921145080807,"Gsk3i","XO","Final_Model"
"Igfri...56",-0.392169809114074,"Igfri","XO","Final_Model"
"Jaki...57",-0.385727542019595,"Jaki","XO","Final_Model"
"Meki...58",0,"Meki","XO","Final_Model"
"Pi3ki...59",-0.954805866437483,"Pi3ki","XO","Final_Model"
"NoLif...60",0.00616114990303851,"NoLif","XO","Final_Model"
