"","Cell_line","Replicate","Treatment","log2Treatment","Treatment_Fctr","Analyte","Signal"
"1","XO","R1",0,0,"0","FCoCntrl_M2_Mek",0.788702968809976
"2","XO","R1",0.4,0.485426827170242,"0.4","FCoCntrl_M2_Mek",0.81140483500069
"3","XO","R1",1.3,1.20163386116965,"1.3","FCoCntrl_M2_Mek",0.899567633101465
"4","XO","R1",4,2.32192809488736,"4","FCoCntrl_M2_Mek",1.77370833846025
"5","XO","R1",12,3.70043971814109,"12","FCoCntrl_M2_Mek",4.63023583651267
"6","XO","R1",37,5.24792751344359,"37","FCoCntrl_M2_Mek",9.61866637466406
"7","XO","R1",111,6.8073549220576,"111","FCoCntrl_M2_Mek",16.4857631713458
"8","XO","R1",333,8.38370429247405,"333","FCoCntrl_M2_Mek",20.691239708258
"9","XO","R1",1000,9.96722625883599,"1000","FCoCntrl_M2_Mek",25.3467826067706
"10","XX","R1",0,0,"0","FCoCntrl_M2_Mek",0.904642262714657
"11","XX","R1",0.4,0.485426827170242,"0.4","FCoCntrl_M2_Mek",0.963828716268169
"12","XX","R1",1.3,1.20163386116965,"1.3","FCoCntrl_M2_Mek",1.11730379255696
"13","XX","R1",4,2.32192809488736,"4","FCoCntrl_M2_Mek",1.81164062049012
"14","XX","R1",12,3.70043971814109,"12","FCoCntrl_M2_Mek",2.53528249807193
"15","XX","R1",37,5.24792751344359,"37","FCoCntrl_M2_Mek",4.41514413787666
"16","XX","R1",111,6.8073549220576,"111","FCoCntrl_M2_Mek",6.18609554336471
"17","XX","R1",333,8.38370429247405,"333","FCoCntrl_M2_Mek",7.34377882289706
"18","XX","R1",1000,9.96722625883599,"1000","FCoCntrl_M2_Mek",7.68912097522447
"19","XX","R2",0,0,"0","FCoCntrl_M2_Mek",0.848707776137001
"20","XX","R2",0.4,0.485426827170242,"0.4","FCoCntrl_M2_Mek",1.01213389723773
"21","XX","R2",1.3,1.20163386116965,"1.3","FCoCntrl_M2_Mek",1.08632480588363
"22","XX","R2",4,2.32192809488736,"4","FCoCntrl_M2_Mek",1.61348683038935
"23","XX","R2",12,3.70043971814109,"12","FCoCntrl_M2_Mek",2.33129140003455
"24","XX","R2",37,5.24792751344359,"37","FCoCntrl_M2_Mek",4.17938932513102
"25","XX","R2",111,6.8073549220576,"111","FCoCntrl_M2_Mek",4.76445390332121
