"","Cell_line","Replicate","Treatment","log2Treatment","Treatment_Fctr","Analyte","Signal"
"1","XO","R1",0,0,"0","FCoXX_M2_Mek",0.21652624791555
"2","XO","R1",0.4,0.485426827170242,"0.4","FCoXX_M2_Mek",0.22275869549258
"3","XO","R1",1.3,1.20163386116965,"1.3","FCoXX_M2_Mek",0.2469624333171
"4","XO","R1",4,2.32192809488736,"4","FCoXX_M2_Mek",0.48694429539526
"5","XO","R1",12,3.70043971814109,"12","FCoXX_M2_Mek",1.27115990720425
"6","XO","R1",37,5.24792751344359,"37","FCoXX_M2_Mek",2.64065665075399
"7","XO","R1",111,6.8073549220576,"111","FCoXX_M2_Mek",4.52591226948444
"8","XO","R1",333,8.38370429247405,"333","FCoXX_M2_Mek",5.68046105558629
"9","XO","R1",1000,9.96722625883599,"1000","FCoXX_M2_Mek",6.95856862673667
"10","XX","R1",0,0,"0","FCoXX_M2_Mek",0.904642262714657
"11","XX","R1",0.4,0.485426827170242,"0.4","FCoXX_M2_Mek",0.963828716268169
"12","XX","R1",1.3,1.20163386116965,"1.3","FCoXX_M2_Mek",1.11730379255696
"13","XX","R1",4,2.32192809488736,"4","FCoXX_M2_Mek",1.81164062049012
"14","XX","R1",12,3.70043971814109,"12","FCoXX_M2_Mek",2.53528249807193
"15","XX","R1",37,5.24792751344359,"37","FCoXX_M2_Mek",4.41514413787666
"16","XX","R1",111,6.8073549220576,"111","FCoXX_M2_Mek",6.18609554336471
"17","XX","R1",333,8.38370429247405,"333","FCoXX_M2_Mek",7.34377882289706
"18","XX","R1",1000,9.96722625883599,"1000","FCoXX_M2_Mek",7.68912097522447
"19","XX","R2",0,0,"0","FCoXX_M2_Mek",0.848707776137001
"20","XX","R2",0.4,0.485426827170242,"0.4","FCoXX_M2_Mek",1.01213389723773
"21","XX","R2",1.3,1.20163386116965,"1.3","FCoXX_M2_Mek",1.08632480588363
"22","XX","R2",4,2.32192809488736,"4","FCoXX_M2_Mek",1.61348683038935
"23","XX","R2",12,3.70043971814109,"12","FCoXX_M2_Mek",2.33129140003455
"24","XX","R2",37,5.24792751344359,"37","FCoXX_M2_Mek",4.17938932513102
