"","Cell_line","Treatment","Replicate","Treatment_numeric","Analyte","Signal","Treatment_factor"
"1","XX","0","R1",0,"pMek_FCoXX_M2",1.02434394998119,"0"
"2","XX","15 min","R1",0.25,"pMek_FCoXX_M2",3.18863345212167,"0.25"
"3","XX","30 min","R1",0.5,"pMek_FCoXX_M2",5.90016461725946,"0.5"
"4","XX","1 h","R1",1,"pMek_FCoXX_M2",4.59737878080659,"1"
"5","XX","2 h","R1",2,"pMek_FCoXX_M2",4.64811921643864,"2"
"6","XX","4 h","R1",4,"pMek_FCoXX_M2",5.69452951836459,"4"
"7","XX","24 h","R1",24,"pMek_FCoXX_M2",7.42831851958425,"24"
"8","XX","48 h","R1",48,"pMek_FCoXX_M2",7.01349563075386,"48"
"9","XO","0","R1",0,"pMek_FCoXX_M2",0.116832522153469,"0"
"10","XO","15 min","R1",0.25,"pMek_FCoXX_M2",0.262904955489742,"0.25"
"11","XO","30 min","R1",0.5,"pMek_FCoXX_M2",0.609099692935998,"0.5"
"12","XO","1 h","R1",1,"pMek_FCoXX_M2",1.1415352855449,"1"
"13","XO","2 h","R1",2,"pMek_FCoXX_M2",2.63586048798903,"2"
"14","XO","4 h","R1",4,"pMek_FCoXX_M2",4.66489774013971,"4"
"15","XO","24 h","R1",24,"pMek_FCoXX_M2",6.01810463090464,"24"
"16","XO","48 h","R1",48,"pMek_FCoXX_M2",5.48887774663906,"48"
"17","XX","0","R2",0,"pMek_FCoXX_M2",1.10522169768437,"0"
"18","XX","15 min","R2",0.25,"pMek_FCoXX_M2",2.47810753713453,"0.25"
"19","XX","30 min","R2",0.5,"pMek_FCoXX_M2",3.53547976809321,"0.5"
"20","XX","1 h","R2",1,"pMek_FCoXX_M2",5.09283892547924,"1"
"21","XX","2 h","R2",2,"pMek_FCoXX_M2",5.28311201122242,"2"
"22","XX","4 h","R2",4,"pMek_FCoXX_M2",6.5243221179725,"4"
"23","XX","24 h","R2",24,"pMek_FCoXX_M2",7.72002244547082,"24"
"24","XX","48 h","R2",48,"pMek_FCoXX_M2",5.49522594166923,"48"
"25","XO","0","R2",0,"pMek_FCoXX_M2",0.269785129773009,"0"
