"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","1/26/2017","10:38 AM"

"SN","MAGPX13254704"
"Batch","170126_Zeba_XO3"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","as_Vol65_allAnalytes"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","65 uL"
"SampleWash","On"
"BatchStartTime","1/26/2017 10:40:37 AM"
"BatchStopTime","1/26/2017 11:33:38 AM"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/26/2017 9:34:28 AM"
"Last VER Verification","Passed 1/26/2017 9:35:33 AM"
"Last Fluidics Test","Passed 1/26/2017 9:36:48 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B36313","6/12/2018","1/26/2017 9:34:28 AM","26.2","26.2","26.2","26.2","200","233","418","418","0.00708","0.00703","0.00386","0.11432","Pass","MAGPX13254704"


"Samples","73","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"1(1,A1)","Unknown1","NaN","NaN","48","NaN","235","NaN","NaN","NaN","NaN","NaN","NaN","230","NaN","NaN","NaN","NaN","NaN","NaN","44.5","NaN","49","NaN","41","NaN","NaN","NaN","220","NaN","NaN","NaN","178","NaN","35","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","127","NaN","NaN","NaN","2623"
"2(1,B1)","Unknown2","NaN","NaN","49","NaN","221","NaN","NaN","NaN","NaN","NaN","NaN","203","NaN","NaN","NaN","NaN","NaN","NaN","44","NaN","46","NaN","39","NaN","NaN","NaN","177","NaN","NaN","NaN","167","NaN","31","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","130","NaN","NaN","NaN","3127"
"3(1,C1)","Unknown3","NaN","NaN","47","NaN","206","NaN","NaN","NaN","NaN","NaN","NaN","233","NaN","NaN","NaN","NaN","NaN","NaN","42","NaN","45","NaN","41","NaN","NaN","NaN","149","NaN","NaN","NaN","170","NaN","35.5","NaN","28.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","65","NaN","NaN","NaN","2969"
"4(1,D1)","Unknown4","NaN","NaN","47","NaN","286","NaN","NaN","NaN","NaN","NaN","NaN","166","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","45","NaN","43","NaN","NaN","NaN","210","NaN","NaN","NaN","166","NaN","34","NaN","32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","171","NaN","NaN","NaN","2797"
"5(1,E1)","Unknown5","NaN","NaN","51","NaN","278.5","NaN","NaN","NaN","NaN","NaN","NaN","348","NaN","NaN","NaN","NaN","NaN","NaN","47","NaN","48","NaN","40","NaN","NaN","NaN","194","NaN","NaN","NaN","157","NaN","35","NaN","29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","146","NaN","NaN","NaN","3170"
"6(1,F1)","Unknown6","NaN","NaN","48","NaN","185","NaN","NaN","NaN","NaN","NaN","NaN","221.5","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","46","NaN","38","NaN","NaN","NaN","204","NaN","NaN","NaN","158","NaN","34","NaN","29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","56","NaN","NaN","NaN","3778"
"7(1,G1)","Unknown7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","11"
"8(1,H1)","Unknown8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3"
"9(1,A2)","Unknown9","NaN","NaN","48","NaN","145.5","NaN","NaN","NaN","NaN","NaN","NaN","265.5","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","48","NaN","38","NaN","NaN","NaN","172","NaN","NaN","NaN","151","NaN","34","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","83","NaN","NaN","NaN","2969"
"10(1,B2)","Unknown10","NaN","NaN","49","NaN","279","NaN","NaN","NaN","NaN","NaN","NaN","269","NaN","NaN","NaN","NaN","NaN","NaN","43","NaN","48","NaN","39","NaN","NaN","NaN","213","NaN","NaN","NaN","176","NaN","35","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","227","NaN","NaN","NaN","2823"
"11(1,C2)","Unknown11","NaN","NaN","48","NaN","84","NaN","NaN","NaN","NaN","NaN","NaN","232","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","47","NaN","35.5","NaN","NaN","NaN","110","NaN","NaN","NaN","163","NaN","30","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","NaN","NaN","3219"
