"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","1/26/2017","2:05 PM"

"SN","MAGPX13254704"
"Batch","170126_Zeba_XX4"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","150211VL test protocol"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","90 uL"
"SampleWash","On"
"BatchStartTime","1/26/2017 2:06:33 PM"
"BatchStopTime","1/26/2017 3:02:45 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/26/2017 9:34:28 AM"
"Last VER Verification","Passed 1/26/2017 9:35:33 AM"
"Last Fluidics Test","Passed 1/26/2017 9:36:48 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B36313","6/12/2018","1/26/2017 9:34:28 AM","26.2","26.2","26.2","26.2","200","233","418","418","0.00708","0.00703","0.00386","0.11432","Pass","MAGPX13254704"


"Samples","71","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"1(1,A1)","Unknown1","NaN","NaN","41","NaN","205","NaN","NaN","NaN","NaN","NaN","NaN","6946","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","36","NaN","29","NaN","NaN","NaN","157","NaN","NaN","NaN","117","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","81","NaN","NaN","NaN","3960"
"2(1,B1)","Unknown13","NaN","NaN","40","NaN","203","NaN","NaN","NaN","NaN","NaN","NaN","6333","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","39","NaN","27","NaN","NaN","NaN","149.5","NaN","NaN","NaN","108.5","NaN","27","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","276.5","NaN","NaN","NaN","4123"
"3(1,C1)","Unknown25","NaN","NaN","39","NaN","151","NaN","NaN","NaN","NaN","NaN","NaN","4129","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","34","NaN","30","NaN","NaN","NaN","108","NaN","NaN","NaN","117","NaN","30","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58","NaN","NaN","NaN","4035"
"4(1,D1)","Unknown37","NaN","NaN","41","NaN","203","NaN","NaN","NaN","NaN","NaN","NaN","7157","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","37","NaN","27","NaN","NaN","NaN","132","NaN","NaN","NaN","114","NaN","30","NaN","16.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","183","NaN","NaN","NaN","4595"
"5(1,E1)","Unknown47","NaN","NaN","43","NaN","257.5","NaN","NaN","NaN","NaN","NaN","NaN","7284","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","46","NaN","33","NaN","NaN","NaN","137","NaN","NaN","NaN","121","NaN","31","NaN","21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","618","NaN","NaN","NaN","4006"
"6(1,F1)","Unknown53","NaN","NaN","43","NaN","207","NaN","NaN","NaN","NaN","NaN","NaN","5682","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","38","NaN","30","NaN","NaN","NaN","137","NaN","NaN","NaN","119.5","NaN","30","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","136","NaN","NaN","NaN","3645"
"7(1,G1)","Unknown64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58"
"8(1,H1)","Unknown68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44"
"9(1,A2)","Unknown2","NaN","NaN","36","NaN","159.5","NaN","NaN","NaN","NaN","NaN","NaN","6967.5","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","33","NaN","25","NaN","NaN","NaN","150","NaN","NaN","NaN","110.5","NaN","29","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","65.5","NaN","NaN","NaN","3196"
